id,text_x,text_top,text_w,text_h,ocr,score
29350,0.0148,0.0157,0.9852,0.3568,VIDEO CREMA INTO A OF DARKNESS UNS AND SIN DVD TM,1.0393
29397,0.5202,0.6777,0.4718,0.2031,PIRIT IS WILLING,0.4875
29405,0.028,0.03,0.9644,0.1858,LIKE NOTHING YOUR EYES HAVE EVER SEEN BEFORE!,0.3813
29504,0.2718,0.7539,0.5104,0.2461,SEX,0.7303
29640,-1.0,-1.0,-1.0,-1.0,,0.0
29643,0.0522,0.6794,0.9073,0.3183,DELTA DELTA DIE! FULL MOON ENTERTAINMENT PRESENTS 'DELTA DELTA DIE' JULIE STRAIN,1.6147
29660,0.0933,0.6485,0.8601,0.2855,Joe Estevez Guns of Conrad Brooks El Chupacabra,1.3771
29689,0.148,0.1996,0.705,0.1063,BARE WENCH THE PATH OF THE WICKED,0.3522
29763,0.0,0.6673,1.0,0.3327,CATACOMBS A TODD SHEETS FILM,1.9528
29765,-1.0,-1.0,-1.0,-1.0,,0.0
29768,0.0,0.6788,1.0,0.3134,VIOLENT NEW BREED,1.9972
29770,0.1024,0.0,0.8393,0.2166,SMIVERS,0.6301
29848,0.0,0.0408,1.0,0.2109,H.P. LOVERCRAFT'S BEYOND THE DUNWICH HORROR,1.1912
29850,0.0464,0.7085,0.9536,0.241,SUGAR COOKIES,1.4136
29899,0.0,0.0049,0.9907,0.2539,MELANIE LYNSKEY SHEER! RAPPAPORT and MARYLYNN RAJSKUB SERIAL SLAYER,0.7404
30030,0.0,0.0069,1.0,0.0944,Brinke Stevens Tom Savini,0.1831
30379,0.2248,0.3416,0.6846,0.2749,VEGIDDO,0.156
30383,0.0,0.0,1.0,0.2021,TORMENT,1.3106
30392,0.0725,0.0,0.9055,0.2347,DARK 3 HARVEST SCARECROW,1.1822
30394,0.021,0.0576,0.9775,0.1379,DEATH PLOTS,0.7388
30399,0.0,0.0,0.8042,0.224,DEBBIE ROCHON LLOYD KAUFMAN AND CONRAD BROOKS P,0.4751
30401,0.1134,0.0,0.7709,0.255,SCREAM QUEENS tm NAKED CHRISTMAS,1.1316
30405,-1.0,-1.0,-1.0,-1.0,,0.0
30419,0.0,0.6845,1.0,0.3155,EMPIREOF THE DARK,2.0752
30445,0.053,0.0753,0.8634,0.2774,A HUGO ARMSTRONG CHRISTMAS NIGHTMARE,1.3807
30457,0.0152,0.1091,0.4336,0.2206,AMPIRE,0.462
30479,0.1615,0.5559,0.6187,0.2031,لف WAYS MIDNIGHT,0.2844
30515,0.0825,0.3062,0.9099,0.2735,SCREECH® OF THE DECAPITATED,0.3593
30737,0.0034,0.0472,0.9843,0.1451,MRJOLLY LIVES NEXTDOOR,0.8022
