id,title,year,genre_names
49402,Demon Fighter Kocho,1997,"Animation, Horror"
88879,Psycho Diver: Soul Siren,1997,"Action, Animation, Horror, Music, Mystery, Science Fiction, Thriller"
54818,Stage Fright,1997,"Animation, Drama, Horror"
65639,Todd McFarlane's Spawn,1997,"Action, Animation, Horror"
573475,Spooky Kitaro: Ghost Nighter,1997,"Animation, Comedy, Family, Fantasy, Horror"
38863,Go to Hell!,1997,"Animation, Horror"
731437,Hell Teacher Nube: At 0 a.m. Nube is Dead!!,1997,"Adventure, Animation, Comedy, Horror"
968416,Spy of Darkness,1997,"Action, Animation, Horror, Science Fiction"
272108,Alien from the Darkness,1997,"Animation, Horror, Science Fiction"
382466,Hell Teacher Nube: Summer Holiday of Fear! Legend of the Sea of Suspicion,1997,"Adventure, Animation, Fantasy, Horror"
968411,Mission of Darkness,1997,"Animation, Horror, Science Fiction"
339748,Professor Pain,1998,"Animation, Horror"
872466,Satanika,1998,"Action, Animation, Fantasy, Horror"
37110,NightWalker - Eternal Darkness,1998,"Animation, Horror, Mystery"
20089,Twilight of the Dark Master,1998,"Animation, Fantasy, Horror, Science Fiction"
883349,The Old Man and the Goblins,1998,"Animation, Fantasy, Horror"
568634,Oddworld: Abe's Exoddus: The Movie,1998,"Animation, Drama, Fantasy, Horror, Science Fiction, Thriller"
318356,Todd McFarlane's Spawn 2,1998,"Action, Animation, Horror"
846004,New Legend of Lyon: Another Flare,1999,"Action, Adventure, Animation, Fantasy, Horror"
733517,Gregory Horror Show: The Nightmare Begins,1999,"Animation, Comedy, Horror"
69724,Son of Bambi Meets Godzilla,1999,"Animation, Comedy, Horror"
911700,Shin Gakkou no Yuurei,1999,"Animation, Horror"
365309,"My Dread is School!, School is Dreadful! Kanako Inuki Shout Collection",1999,"Animation, Horror"
846013,Demon Warrior Koji,1999,"Animation, Horror"
911056,Devilman Memorial,1999,"Action, Animation, Horror"
50515,Todd McFarlane's Spawn 3: The Ultimate Battle,1999,"Action, Animation, Horror"
968409,Sins of the Flesh,1999,"Animation, Horror, Romance"
530104,Expelling the Demon,1999,"Animation, Horror"
220648,I Am a Machine - Noisy Birth,2000,"Animation, Horror, Music"
783113,The Grim Adventures of Billy & Mandy: Meet the Reaper,2000,"Animation, Comedy, Fantasy, Horror"
796050,Hideshi Hino's Yotsuya Kaidan,2000,"Animation, Horror"
248506,Monster Mash,2000,"Animation, Comedy, Family, Horror, Music"
919,Blood: The Last Vampire,2000,"Animation, Fantasy, Horror"
62182,Devilman - Volume 3: Devilman Apocalypse,2000,"Animation, Fantasy, Horror"
463360,Oni-Tensei : The Demon Collection,2000,"Animation, Horror"
34772,Sin: The Movie,2000,"Action, Animation, Horror, Science Fiction, Thriller"
763302,Haunted House,2000,"Animation, Comedy, Horror"
834423,The Gregory Gallery Tour Special,2000,"Animation, Comedy, Horror, Mystery"
53986,Biohazard 4D: Executer,2000,"Animation, Horror"
911738,Tales from the Snow Country,2000,"Animation, Horror"
725791,There Is Nothing to Be Scared of,2000,"Animation, Horror"
15999,Vampire Hunter D: Bloodlust,2000,"Action, Animation, Fantasy, Horror"
741808,The Truth of Grimm Brother's Fairy Tales,2000,"Animation, Horror, Mystery"
837759,The Truth of Japanese Fairy Tales,2000,"Animation, Horror"
527780,Bag,2001,"Animation, Horror"
50113,Malice@Doll,2001,"Animation, Horror, Science Fiction"
942367,Horror,2001,"Animation, Horror"
46921,The Cat with Hands,2001,"Animation, Fantasy, Horror, Mystery"
688532,Wicked!,2001,"Animation, Horror"
275613,Broken Saints,2001,"Animation, Horror, Mystery, Romance, Science Fiction"
527782,Mushroom,2001,"Animation, Horror"
557326,Rout City,2002,"Animation, Horror"
524086,The Pig Walks,2002,"Animation, Horror"
80394,Galerions Rion,2002,"Action, Animation, Horror, Science Fiction"
729999,The Restaurant of Many Orders,2002,"Animation, Comedy, Fantasy, Horror"
836294,Play With Me,2002,"Animation, Horror"
724774,Devil Eyes,2002,"Animation, Drama, Fantasy, Horror"
99658,A.F. Archetypes Forces,2002,"Action, Animation, Horror, Science Fiction"
865356,Guilstein,2002,"Action, Animation, Horror, Science Fiction"
432925,A Lasanha Assassina: O Ataque das Massas,2002,"Animation, Comedy, Horror"
787732,The Mummy: Quest for the Lost Scrolls,2002,"Action, Animation, Comedy, Family, Fantasy, Horror"
87069,Ichi the Killer: Episode 0,2002,"Animation, Drama, Horror, Thriller"
131871,Gorillaz: Phase One - Celebrity Take Down,2002,"Animation, Comedy, Documentary, Horror, Music"
48632,Urotsukidōji: New Saga,2002,"Animation, Fantasy, Horror"
140359,Dominator,2003,"Animation, Comedy, Horror"
699758,The Restaurant of Many Orders,2003,"Animation, Comedy, Horror"
115845,The Haunted Pumpkin of Sleepy Hollow,2003,"Animation, Horror"
529139,Moodswing,2003,"Animation, Horror"
527784,Usagi,2003,"Animation, Horror"
256036,Mécanix,2003,"Animation, Fantasy, Horror"
677895,Sweet dreams,2003,"Animation, Family, Fantasy, Horror"
201199,Bug Crawls,2004,"Animation, Horror"
795952,Television,2004,"Animation, Horror"
353328,Milkman,2004,"Animation, Horror"
250858,Gorgonas,2004,"Animation, Horror"
317591,Tales from the Cryptkeeper: Stacks of Fear,2004,"Animation, Horror"
16226,Lady Death,2004,"Action, Animation, Fantasy, Horror, Science Fiction"
27300,Hair High,2004,"Animation, Comedy, Horror"
637253,Falsely Accused,2004,"Animation, Drama, History, Horror"
999669,Smile!,2004,"Animation, Horror"
7092,Van Helsing: The London Assignment,2004,"Action, Animation, Fantasy, Horror"
462652,Alan,2004,"Animation, Horror"
870914,Zero4D,2004,"Animation, Horror"
852262,Redrat: The Rebellious Rodent,2005,"Animation, Horror"
497874,Video Dating Tape,2005,"Animation, Horror"
528977,Historietas Assombradas (Para Crianças Malcriadas),2005,"Animation, Family, Horror"
550300,Elfen Lied Special,2005,"Action, Animation, Drama, Horror, Romance, Science Fiction"
438245,The Tell Tale Heart,2005,"Animation, Crime, Horror"
60860,Zoo,2005,"Animation, Horror"
529027,Smile,2005,"Animation, Horror"
164661,Torchbearer,2005,"Animation, Fantasy, Horror"
797047,BORN BY MYSELF,2005,"Animation, Horror"
27812,Kakurenbo: Hide & Seek,2005,"Animation, Horror"
505675,Harker,2005,"Animation, Horror"
427040,Happy Tree Friends Winter Break,2005,"Animation, Comedy, Horror, Music"
710578,The Little Girl Who Was Forgotten By Absolutely Everyone (Even the Postman),2005,"Animation, Horror"
702171,Monster Hotel,2005,"Animation, Horror"
797937,Children of the Shadows,2006,"Animation, Horror"
516163,Bloody Night,2006,"Animation, Horror"
692623,From Beyond,2006,"Animation, Horror, Science Fiction"
350866,Stories from the Hotel Next to the Haunted Hospital,2006,"Animation, Horror"
487857,Forest Murmurs,2006,"Animation, Horror"
415964,A Noite do Vampiro,2006,"Animation, Comedy, Horror"
75724,Screaming in the Hallway,2006,"Animation, Horror"
16774,Hellboy Animated: Sword of Storms,2006,"Action, Animation, Fantasy, Horror, Science Fiction, Thriller, TV Movie"
747822,The Tell-Tale Heart,2006,"Animation, Horror"
9984,City of Rott,2006,"Animation, Horror"
900537,Meat Days,2006,"Animation, Horror"
872800,Cat City,2006,"Animation, Fantasy, Horror"
473729,The Other Gods: A Tale of the Dream Cycle,2006,"Animation, Horror"
