id,title,original_title,year,year_mode
845251,Cut,Cut,2003,none
854114,Sissy Sorcery,Sissy Sorcery,2021,none
855044,Ordalie,Ordalie,2020,none
861418,Dr Sander´s Hour of Horror,Sanderi õuduste tund,2021,none
862789,Garin Movie Project,การิน ปริศนาคดีอาถรรพ์,2012,none
870542,Suzanne's Hypnosis,Suzanne's Hypnosis,1997,none
876177,Killer Horizon,Killer Horizon,2008,none
881219,Night of the Ghoul Log,Night of the Ghoul Log,2021,none
881402,Followers of the Dead Light,Followers of the Dead Light,2020,none
883275,From The Depths Of Depravity: Forgive Me Father For I Have Sinned,From The Depths Of Depravity: Forgive Me Father For I Have Sinned,2004,none
884826,Irving Undead,Irving Undead,2021,none
896268,Man-Horse,Man-Horse,2021,none
914572,Pandemic Hotel,Pandemic Hotel,2021,none
916042,"Shinshu, A Curse Video Legend: 13 Infectious Straw Dolls",心霊投稿　真集　呪いの動画伝説　伝染するわら人形編　13本,2020,none
923855,Mysterious! Ambilly Bubble Spirit Medium,怪奇！アンビリーバブル　霊媒師・門外不出コレクション,2004,none
930765,The Undying Curse,The Undying Curse,2020,none
930308,Beasts: Baby,Beasts: Baby,1976,none
937693,1-900 Vampire,1-900 Vampire,2017,none
963140,Chupa La Mingus Presenta: Una Noche Solo en Tijuana,Chupa La Mingus Presenta: Una Noche Solo en Tijuana,2022,none
969005,UFO・UMA 11,投稿!UFO・UMA 11連発 衝撃の現場集,2017,none
971725,Di Gal Bite Mi,Di Gal Bite Mi,2013,none
973936,The Ghost of the Mikogami Festival,心霊盂蘭盆4 ~御子神祭の怨霊~,2018,none
979094,Expediente 212 Archivo Fantasma,Expediente 212 Archivo Fantasma,2019,none
978071,Dead Vision,Dead Vision,2021,none
981631,"Tales of Terror from Tokyo and All Over Japan (Volume 3, Part 1)","Tales of Terror from Tokyo and All Over Japan (Volume 3, Part 1)",2007,none
983825,Broadcast Dekinai Forbidden Spiritual Video,放送デキナイ禁断霊映像 劇場版,2014,none
984072,Ghost Tower: A Complete Urban Legend from Hell,怨霊塔　都市伝説全集の地獄,2011,none
985276,Honto ni Atta! Noroi no Video: Vol. 83,ほんとにあった！呪いのビデオ83,2019,none
987102,Turd Merchants of Death,Turd Merchants of Death,2009,none
988498,Highland Invasion,Highland Invasion,2022,none
999981,Death Cabin,Death Cabin,2000,none
1009154,Horny as Hell for Evil,Horny as Hell for Evil,2015,none
1016519,S.O.V. The True Independents,S.O.V. The True Independents,2018,none
1022828,Octoberland,Octoberland,2016,none
1025508,Junji Inagawa's Mystery Night Tour 2020,Junji Inagawa's Mystery Night Tour 2020,2020,none
1032667,Shaye Saint John: The Triggers Compilation,Shaye Saint John: The Triggers Compilation,2006,none
1031989,The Mutilator Watchalong Live,The Mutilator Watchalong Live,2021,none
1173172,Monster Cat Akabe Daimyojin,怪猫赤壁大明神,1938,none
1026401,The Ghost Catcher,鍾馗捉鬼,1939,none
362702,The Skulls of Terror Return,Vuelven las calaveras del terror,1944,none
966661,Ghost Woman of the Old Mansion,古園妖姬,1949,none
1298828,The Razor's Edge,千鈞一髮,1949,none
1173194,Monsters Catcher Oedo Seven Changes,怪異大捕物　大江戸七変化,1949,none
1173196,Yaji Kita Cat Ghost Road,弥次喜多猫化け道中,1949,none
957841,Silent Monologues,Silent Monologues,2023,none
1019581,Gouge Away,Gouge Away,2023,none
1045940,Barkley Dubis' Danse Macabre,Barkley Dubis' Danse Macabre,2023,none
1046021,I am Perfectly Normal: Part II,I am Perfectly Normal: Part II,2023,none
1064418,Auteur,Auteur,2023,none
1074103,The Awnik,The Awnik,2023,none
1083669,Between the Ocean and the Clouds,Between the Ocean and the Clouds,2024,none
1086611,Monotonous Green,Monotonous Green,2023,none
1093098,MUSTARD,MUSTARD,2025,none
1101818,Imposter Cleaning Crew,Imposter Cleaning Crew,2023,none
1103391,The James Allen Vianes Show,The James Allen Vianes Show,2023,none
1117550,Scared Crazy,Scared Crazy,2023,none
1124630,Dinner By Breakfast,Dinner By Breakfast,2023,none
1139126,The Pill,The Pill,2023,none
1145765,"Up, Up, & Up","Up, Up, & Up",2023,none
1160618,Variant II,Variant II,2023,none
1161988,The Redeye Tapes,The Redeye Tapes,2023,none
1163878,Saco Part II,Saco Part II,2025,none
1166240,Our House Is Not Haunted,Our House Is Not Haunted,2023,none
1173214,Mama Casserole,Mama Casserole,2023,none
1183937,Auditions for Her Nightmare,Auditions for Her Nightmare,2023,none
1185927,I Heard You Edit Baby Videos,I Heard You Edit Baby Videos,2023,none
1185950,Black Forest,Black Forest,2023,none
1185980,Black Forest 2,Black Forest 2,2023,none
1185988,Black Forest 3,Black Forest 3,2023,none
1189281,Grand Hampton the Movie: Anthology,Grand Hampton the Movie: Anthology,2023,none
1193038,Maya Valai,Maya Valai,2023,none
1194372,Hiding Henry,Hiding Henry,2024,none
1194816,Surviving a Week at the Real Conjuring House,Surviving a Week at the Real Conjuring House,2023,none
1198618,"Young Blondes, Stalked and Murdered","Young Blondes, Stalked and Murdered",2024,none
1208069,"End All, Say All","End All, Say All",2024,none
1214421,What's Wrong With You?,What's Wrong With You?,2024,none
1225091,Sex Pervert Kills A Sasquach,Sex Pervert Kills A Sasquach,2023,none
1226617,The Salvages,The Salvages,2024,none
1227907,Redgate,Redgate,2023,none
1228463,Behind the Camera,Behind the Camera,2023,none
1230431,The Bizarre Trial of Doctor victor Frankenstien,The Bizarre Trial of Doctor victor Frankenstien,2025,none
1234015,The Gocuyyeh Tapes,The Gocuyyeh Tapes,2024,none
1239657,The Last Beta Player,The Last Beta Player,2023,none
1244062,Vimy Bridge,Vimy Bridge,2024,none
1245234,From The Other Side Of The Window,S Druge Strane Prozora,2023,none
1255162,Question Mark (?),Question Mark (?),2024,none
1256728,Short Shits,Short Shits,2024,none
1263318,It's Only a Movie,It's Only a Movie,2023,none
1274566,The Demoniacal,The Demoniacal,2023,none
1277003,Empath,Empath,2024,none
1278989,Wake The Dead,Wake The Dead,2023,none
1283609,Night Owls Episode 335,Night Owls Episode 335,2024,none
1284008,"Tales of the Twisted, True & Macabre","Tales of the Twisted, True & Macabre",2024,none
1290158,Ghost Adventures: Skinwalker Invasion,Ghost Adventures: Skinwalker Invasion,2024,none
1293271,The Chef 2: The Aroma Of Vengeance,The Chef 2: The Aroma Of Vengeance,2024,none
1294340,The Cloudvale Tapes,The Cloudvale Tapes,2024,none
1298306,Tasmogor,Tasmogor,2024,none
1300379,YO-YO: Influence of a Murder,YO-YO: Influence of a Murder,2023,none
1301196,Frankie News 4,Frankie News 4,2023,none
1302433,In Search of Gladys Glover,In Search of Gladys Glover,2024,none
1305044,The Vacation Tapes,The Vacation Tapes,2024,none
1310671,Wolf Awakened,Wolf Awakened,2024,none
1311488,The Porcelain Pianist,The Porcelain Pianist,2024,none
1312448,Adrenochrome,Adrenochrome,2024,none
1321137,The Limestone Surveyors,The Limestone Surveyors,2023,none
1321451,InDIEpendence Day,InDIEpendence Day,2024,none
1322374,OHSS Studios 2023 recap,OHSS Studios 2023 recap,2024,none
1323351,Paryl,Paryl,2024,none
1326338,Photosynthesis,Photosynthesis,2024,none
1328192,MalHare,MalHare,2024,none
1330059,Bad Ben 15: Poltergeist,Bad Ben 15: Poltergeist,2025,none
1336344,I'm Heather,I'm Heather,2023,none
1337800,The Punk Rocker's Ghost,The Punk Rocker's Ghost,2024,none
1341400,MUNAA : THE LEGEND ( PART 1),MUNAA : THE LEGEND ( PART 1),2024,none
1351591,Midwest Sessions,Midwest Sessions,2024,none
1355994,Weird Visions Society,Weird Visions Society,2024,none
1357778,Chasing Zombies,Chasing Zombies,2024,none
1362472,Footprints of Fear,Footprints of Fear,2024,none
1362575,Koma: Berhenti Sebelum Mati,Koma: Berhenti Sebelum Mati,2024,none
1365229,Beautiful Dreams,Beautiful Dreams,2025,none
1365512,Ladder Man,Ladder Man,2024,none
1376188,Mawang: Jangan Sebut Namanya,Mawang: Jangan Sebut Namanya,2024,none
1377314,Radha and Maeve Become Vampires,Radha and Maeve Become Vampires,2024,none
1377969,Tales From the Graveyard,Tales From the Graveyard,2023,none
1381049,No Escape (A Backrooms Film),No Escape (A Backrooms Film),2024,none
1385156,The Hundred Voices of Harry Hoffman,The Hundred Voices of Harry Hoffman,2024,none
1386947,Violated,Violated,2024,none
1388524,Crimson Maw,Crimson Maw,2024,none
1389514,She's a Bitch,She's a Bitch,2025,none
1394063,Liquid Vinegar,Liquid Vinegar,2024,none
1394697,Death O' Lantern: Corn on the Mac-Cob,Death O' Lantern: Corn on the Mac-Cob,2024,none
1397440,Noise: Reflejo,Noise: Reflejo,2025,none
1400005,Son Of Gacy: Chapter One,Son Of Gacy: Chapter One,2023,none
1400500,The Moon King,The Moon King,2024,none
1403029,Yaksha,Yaksha,2025,none
1412171,The Bombay Halloween Special,The Bombay Halloween Special,2024,none
1416731,The Edensphere Saga,The Edensphere Saga,2025,none
1417569,The man in the window,The man in the window,2024,none
1431516,The Haunting at St. Madeline,The Haunting at St. Madeline,2024,none
1436932,Satellite,Satellite,2023,none
1441202,Scrupulosity,Scrupulosity,2025,none
1441969,Alienated,Alienated,2023,none
1442704,Heat Sig,Heat Sig,2024,none
1442912,To Be a Starfish,To Be a Starfish,2025,none
1445945,housofpsychoticmn.mp4,housofpsychoticmn.mp4,2025,none
1450678,Xander,Xander,2025,none
1451359,Heavily Pregnant Susan,Heavily Pregnant Susan,2025,none
1451570,The Beast of Bray Road,The Beast of Bray Road,2025,none
