id,title,year,tconst,titleType,primaryTitle,startYear,match_reason
585537,The Painted,2018,tt6669996,movie,Painted,2017,unique_year_fuzzy
590476,Adventures of the Haunted Hunted,2013,tt21066024,video,Adventures of the Haunted Hunted,2013,unique
607967,Severed Ties,2005,tt13422584,video,Severed Ties,2005,unique
617638,Who Wants To Be A Vampire Bride?,2003,tt43502419,movie,Who Wants to Be A Vampire Bride?,2003,unique
632110,Bad Blood,1997,tt12147928,video,Bad Blood,1997,unique
634269,Cabeza de pescado,2010,tt0431670,movie,Cabeza de pescado,2009,unique_year_fuzzy
635896,Zombarella's House Of Whorrors,2019,tt14272662,video,Zombarella's House of Whorrors,2019,unique
639052,The Bleak,2019,tt11367102,video,The Bleak,2019,unique
638732,A Wolf in Sheep's Clothing,2019,tt8217368,movie,A Wolf in Sheep's Clothing,2018,unique_year_fuzzy
641333,"Twitz from Pluto: Graff, Jackass and TV Casualty",2022,tt21286660,movie,"Twitz from Pluto: Graff, Jackass and TV Casualty",2022,unique
664994,The Things that Haunt Us,2019,tt18252176,movie,The Things That Haunt Us,2019,unique
677063,Habitual,2019,tt10847812,movie,Habitual,2019,unique
687281,In Sickness and in Health,2008,tt1080700,movie,In Sickness and in Health,2007,unique_year_fuzzy
690481,Aurora,2019,tt8553606,movie,Aurora,2019,unique
725813,Fighting Chupacabra and cartel in Mexico,2020,tt11718590,movie,Fighting Chupacabra and cartel in Mexico,2020,unique
729341,For Roger,2021,tt15396826,movie,For Roger,2021,unique
752004,The Black Box,2011,tt1731658,movie,The Black Box,2011,unique
752289,IMPIOUS ANTHEM,2016,tt5928472,video,Impious Anthem,2016,unique
752295,MARTYRDOM,2018,tt9415984,video,Martyrdom,2018,unique
759239,The Hangry Dead,2020,tt12689212,movie,The Hangry Dead: The Biggest Instagram Movie Ever,2020,unique
764065,Stir Crazy,2020,tt13204230,video,Stir Crazy,2020,unique
766325,Blazeland,1992,tt0103832,movie,Blazeland,1992,unique
782179,The Howling,2020,tt11363416,movie,The Howling,2020,unique
783233,The AGFA Horror Trailer Show: Videorage,2021,tt43349235,movie,The AGFA Horror Trailer Show: Videorage,2021,unique
791528,The Hideous Bog Monster,2021,tt16063376,movie,The Hideous Bog Monster,2021,unique
794567,The Holy Ghost,2020,tt35219842,movie,The Holy Ghost,2021,unique_year_fuzzy
795444,Ulong Pugot: Naglalagot,1993,tt1392255,movie,Ulong pugot: Naglalagot,1993,unique
795604,Samana,2015,tt43636819,movie,Samana,2015,unique
796265,Last Holler,2021,tt26932003,movie,Last Holler,2021,unique
806190,At the Mountains of Madness,2021,tt13289298,movie,At the Mountains of Madness,2021,unique
806892,Image of Perception,2021,tt15087626,movie,Image of Perception,2021,unique
806944,Borrasca,2018,tt7239416,movie,Borrasca,2017,unique_year_fuzzy
808648,Friday the 13th Part X: To Hell and Back,1995,tt2620500,video,Friday the 13th Part X: To Hell and Back,1995,unique
808433,"Symbolicus, Vol.1",2021,tt14663150,movie,Symbolicus Vol 1,2021,unique
818999,Are We The Waiting,2017,tt5768204,movie,Are We the Waiting,2017,unique
848239,Arthur Parker,2013,tt3505362,movie,Arthur Parker,2013,unique
848842,Chaos.TV,2001,tt37985691,video,Chaos.TV,2001,unique
850243,Play Dead,2018,tt8463428,movie,Play Dead,2018,unique
859497,Gravedigger Dave’s Anthology Festival,2021,tt15249650,movie,Gravedigger Dave's Anthology Festival,2021,unique
869071,Pappy's Graveyard,2021,tt15319218,movie,Pappy's Graveyard,2021,unique
872325,Detak,2021,tt11423002,movie,Detak,2020,unique_year_fuzzy
872618,The Phantom Lake Kids in The Beast Walks Among Us,2021,tt15576024,movie,The Phantom Lake Kids in the Beast Walks Among Us,2021,unique
873355,Escape of Shark,2021,tt15334014,movie,Escape of Shark,2021,unique
875236,Blowing Raspberries,2015,tt41280775,movie,Blowing Raspberries,2015,unique
878367,Dream Visions,2021,tt15660966,movie,Dream Visions,2021,unique
882904,House On The Hill,2016,tt15658958,movie,House on the Hill,2017,unique_year_fuzzy
882948,Itoro,2013,tt20861726,movie,Itoro,2013,unique
886884,The Ultimate Underground Amateur Slaughterfest of Death,2020,tt41159885,movie,The Ultimate Underground Amateur Slaughterfest of Death,2020,unique
887445,ForgotteNation,2021,tt16263830,movie,Forgotten Nation,2021,unique
890574,DV5: Cord Cutter Hell,2021,tt14444980,video,DV5: Cord Cutter Hell,2021,unique
900913,Puri,1984,tt0757311,movie,Puri,1984,unique
905070,The Field,2022,tt24512956,movie,The Field,2023,unique_year_fuzzy
911425,The Outsider,2021,tt15011630,movie,The Outsider,2021,unique
917222,Story Behind the Chirag Project,2019,tt14752504,video,Story Behind the Chirag Project,2019,unique
924618,Tardy Terror,2021,tt13427442,movie,Tardy Terror,2021,unique
931049,Beware the Woods,2022,tt15089424,movie,Beware the Woods,2022,unique
934553,The Human Zoo,2020,tt5575918,movie,Human Zoo,2020,unique
936820,Too Dumb to Live Part 2,2022,tt18114476,movie,Too Dumb to Live Part 2,2022,unique
947775,Blood Sick Psychosis,2022,tt18259430,movie,Blood Sick Psychosis,2022,unique
951955,Friday the 13th: Nine Lives,2020,tt14734290,movie,Friday the 13th: Nine Lives,2020,unique
953165,Jersey Devil,2013,tt4051824,movie,Jersey Devil,2013,unique
953211,The Jersey Devil,2005,tt0419857,movie,The Jersey Devil,2005,unique
956351,The Supernatural,2019,tt31996489,movie,The Supernatural,2018,unique_year_fuzzy
959742,The Breaking,2021,tt12311620,movie,Breaking,2022,unique_year_fuzzy
962458,Hell Van,2022,tt18566948,movie,Hell Van,2022,unique
