id,cluster,file_path,is_rep,is_canonical,vote_average,vote_count,iso_639_1
571,2,/eClg8QPg8mwB6INIC4pyR5pAbDr.jpg,1,1,6.312,9,en
571,3,/5wyRUcjY3pvqzK40v4Ml5rUL20F.jpg,1,0,5.25,8,en
571,4,/jmMfKPV246fv4qBPDU3Epph1Pjy.jpg,1,0,3.334,1,en
573,0,/4SFvqrlSigAt9tnhXFSMyKeJWQk.jpg,1,1,6.2,25,en
573,1,/zDUR4PY5kyp2hpvbTvWSGiXVmgg.jpg,1,0,6.2,10,en
573,2,/iXLEQo8N2rEclRnLF2IvxS7eiQk.jpg,1,0,2.066,5,en
573,3,/fuF1CtdCpAO3oCZxSeRjP6zMweX.jpg,1,0,1.75,2,en
573,4,/5GnyMUZPRTEISqT1Z21Cv6PutZT.jpg,1,0,3.334,1,en
578,0,/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,1,1,5.778,27,en
578,0,/s2xcqSFfT6F7ZXHxowjxfG0yisT.jpg,0,0,5.25,26,en
578,0,/tjbLSFwi0I3phZwh8zoHWNfbsEp.jpg,0,0,4.572,14,en
578,1,/aqXIpCOYCjoSyWFsS826aIAwIut.jpg,1,0,4.3,10,en
578,1,/N7QqRrmBbY7HZyh9KolQ1Zi0u6.jpg,0,0,4.722,9,en
579,0,/cN3ijEwsn4kBaRuHfcJpAQJbeWe.jpg,1,1,6.312,7,en
579,1,/7i87g95cKSF5s2TTm24m8PRb3hq.jpg,1,0,3.334,1,
579,2,/587glKjdq5AamjPPH11MZLYbD64.jpg,1,0,1.75,4,en
579,3,/czrejDPooiWjuXTehPiPlulG264.jpg,1,0,1.75,4,en
579,4,/70UBVFhKiQQ5oNbmZqPa7nVmfEQ.jpg,1,0,1.75,4,en
580,0,/ebYw9tR0iqBzDGA6HVBhtd2xJM3.jpg,1,1,1.75,4,en
580,0,/6mupOKQ0IFK38hPoWsow24RXIJR.jpg,0,0,1.75,2,en
580,1,/1pP3cRH1UzOxibGOr6Gv97ibvTQ.jpg,1,0,3.334,1,
580,2,/vTIxWwdRPh1VAswe11aPAoDANvf.jpg,1,0,3.334,1,
580,3,/8dLHxbjXlLkogGVKxOg3SH1Kjel.jpg,1,0,1.444,9,en
588,0,/r0bEDWO2w4a43K2xTNSF284qOsc.jpg,1,1,7.206,17,en
588,1,/zQMxsqLzTz681cyFYfXiobC91y5.jpg,1,0,4.722,9,en
588,2,/o0zhNnSYWJ04TCVAnzsVgPxpfc2.jpg,1,0,6.546,11,en
588,3,/2unufUp5RqyaArqLD9KRKSLLQWJ.jpg,1,0,6.722,6,en
588,4,/ljAIu5OJWS8AYy5c5zmtwHPdHd1.jpg,1,0,4.722,10,en
609,0,/4eMN3GANH5GG4kXdHkrTZEUuQ9M.jpg,1,1,6.346,13,en
609,1,/68zgcTgDnze9egbVsCUTht6io9b.jpg,1,0,5.616,13,en
609,2,/xPazCcKp62IshnLVf9BLAjf9vgC.jpg,1,0,4.97,17,en
