id,title,original_title,year,reason,n_candidates
736189,Dorm,Dorm,2016,no_title_year_match,0
745213,Life in the Dead Zone,Life in the Dead Zone,2018,no_title_year_match,0
751801,Full Moon Massacre,Full Moon Massacre,2006,no_title_year_match,0
758772,Duck Dynasty: Quack Or Treat,Duck Dynasty: Quack Or Treat,2013,no_title_year_match,0
772318,3 Dukun Santet,3 Dukun Santet,2020,no_title_year_match,0
773327,La Playa,La Playa,1999,no_title_year_match,0
772948,The Clock,The Clock,2020,no_title_year_match,0
774763,Method to the Madness,Method to the Madness,2020,no_title_year_match,0
791038,The Island of Dr. Moreau,The Island of Dr. Moreau,2021,no_title_year_match,0
793385,Tennis Court,Tennis Court,1985,no_title_year_match,0
800302,The Man With The Top Hat,The Man With The Top Hat,2021,no_title_year_match,0
803182,Moon Men,Moon Men,2017,no_title_year_match,0
804392,Sleepover Massacre: The Curse,Sleepover Massacre: The Curse,2016,no_title_year_match,0
813263,Sweaty Dreams,Sweaty Dreams,2020,no_title_year_match,0
813724,Smut Without Smut: Bizarro Horror Nite,Smut Without Smut: Bizarro Horror Nite,2018,no_title_year_match,0
814686,Insect,Insect,2021,no_title_year_match,0
814678,Die Moorde Van Boven,Die Moorde Van Boven,2021,no_title_year_match,0
817869,The Milkman Returns,The Milkman Returns,2021,no_title_year_match,0
818072,The Impalers,The Impalers,2021,no_title_year_match,0
818664,Kuyang the Movie,Kuyang the Movie,2021,no_title_year_match,0
819660,Curse of the Full Moon,Curse of the Full Moon,1971,no_title_year_match,0
826135,Hantu Rimau,Hantu Rimau,1959,no_title_year_match,0
837286,Semangat Ular,Semangat Ular,1972,no_title_year_match,0
839647,Pemuja Kubur,Pemuja Kubur,2021,no_title_year_match,0
843039,Camp Summerstar,Camp Summerstar,2021,no_title_year_match,0
845251,Cut,Cut,2003,no_title_year_match,0
854114,Sissy Sorcery,Sissy Sorcery,2021,no_title_year_match,0
855044,Ordalie,Ordalie,2020,no_title_year_match,0
861418,Dr Sander´s Hour of Horror,Sanderi õuduste tund,2021,no_title_year_match,0
870542,Suzanne's Hypnosis,Suzanne's Hypnosis,1997,no_title_year_match,0
876177,Killer Horizon,Killer Horizon,2008,no_title_year_match,0
881219,Night of the Ghoul Log,Night of the Ghoul Log,2021,no_title_year_match,0
881402,Followers of the Dead Light,Followers of the Dead Light,2020,no_title_year_match,0
881597,Ritual The Series,Ritual The Series,2021,no_title_year_match,0
883275,From The Depths Of Depravity: Forgive Me Father For I Have Sinned,From The Depths Of Depravity: Forgive Me Father For I Have Sinned,2004,no_title_year_match,0
884826,Irving Undead,Irving Undead,2021,no_title_year_match,0
