id,title,year
425565,I Am Alone,2016
425829,Project,1986
426331,Ding Dong Dead,2011
426513,Lesbos Slaughter,1998
426529,The New York Butcher,2016
428394,The Parting Glass,2015
428898,Turn Around,2016
428923,Take Back the Knife,2015
429021,The Last Abduction,2015
429713,The Void,2016
429960,Remnants,2016
430122,The Kingdom Of Shadows,2016
430483,Night Night Nancy,2015
430612,Condo Hell,2016
431215,A Visit From Krampus,2015
432212,Pine Bros. Presents: Cinema Insomnia Haunted House Special,2013
435515,Crush,2015
436118,T is for Talk,2011
437712,Big Fucking Monster,2017
437931,House of Spirits,2017
438470,Empathy,2007
440659,Catalina,2016
440978,Fleurs du Mal,2011
442560,Grampa’s Monster Movies,1988
442732,Big Dog,2016
443391,Primal Instinct X,2016
444829,Gags,2016
444879,Curse of the Swamp Creature 2,1997
444910,Monophobia,2016
444947,Psycho Charlie's Revenge,1997
444955,Perforations,1992
445365,Aberration,2015
445671,Archie: A Wee Ghost Story,2012
451811,Satanic Sluts: The Black Order Cometh,2008
460876,Set Yourself Free,2014
467438,King Spawn,2019
476718,Lex Talionis,2016
484373,Kusah Hakwaan,1999
494618,Dear Albion,2016
499142,The Association,2018
499770,Transcendent,2013
502923,Don't Run,2016
505898,Devil's Night,2014
506960,This Changed Earth,2011
507582,Scuttlers,2022
522806,Dead Week,2014
524619,Behind the Veil,2016
526969,Alien Vows,1996
529366,The Devil's Lettuce 2: Edible Evil,2019
550348,Cold Fish,2018
551632,Electric Flesh,1996
551635,Joanna Died and Went to Hell,1996
551744,Sebastian,2018
554075,The Wicked Little Witch,2017
561081,Who Decides,2018
563085,The Storymaker,2009
566102,Play With Me,2018
567501,World War Mud,1982
570056,My Haunted Vacation,2013
572755,Me,2017
577919,Antoni Psycho,2018
578912,La Fracture,2015
578919,Shriek of the Lycanthrope,1995
587921,Three Tickets to Hell,1997
593432,The Tell-tale Heart,2011
606638,Nightride,1997
611342,House Guests,2018
632205,Be Still My Beating Heart,2019
632926,Have You Checked On Denny?,2016
637165,The Deep Dark Woods,2003
639471,Detour to Hell,2006
644064,Tall Betsy,2019
659358,Trailer Terror,2011
659411,Two-Lane Trash Stop,2008
659412,Bonehead,2008
659413,Trash Day of the Dead,2008
659419,Butt-Head,2010
659788,Curse,2008
663283,Evil Brew,2012
665040,A Woman in Love,1968
671713,Strigoii,2009
676735,Danse Macabre,2020
683154,The Knock,2020
683630,Tumbal Jailangkung,2011
684812,Vermin,2015
684822,Squatters Last Rights,2019
685289,The Horror of It All: The Visual F/X of The Mist,2008
685454,The Mist: Taming the Beast - The Making of Scene 35,2008
689132,Eva of the Succubi,2012
692774,Burial Island,2011
697404,Hecatomb,2006
699633,Doll of the Dead,2010
710734,Dead Summer,2005
714440,Levande Skuggrik Död,2012
716472,The Vampire,1910
718083,The Fungus Among Us,2018
719950,"Stop It, You're Killing Me",2000
724479,Bautizo,2012
724484,Omega Shell,2001
725851,Crawler,2020
728948,The Thing at 2:37,2018
732675,The Eliminator,1996
733638,The Carver,2017
738583,The Appointment,2007
739453,Ronald,2019
740686,Rations,2009
741278,Mark of the Devil: Mark of the Times,2014
743305,Alone on County Road,2019
744405,Song of the Dead,2004
744442,Shadows of the Dead,2004
745407,The Great American Serial Killer,2011
746173,Bury the Hatchet,2013
746240,Saw Misgivings,2012
746666,The Path,2020
751197,Daddy Christmas,2014
752473,None of the Above,2020
752763,Witches in the Window,2020
754905,Coven,2019
755794,Special Delivery,2019
756566,Crop Dust,2018
757707,The Grudge 1.5,2006
758022,Be My Eyes,2020
759365,In the Shadow It Waits,2020
759776,Flashlight,2016
765847,Barbatachthian,2020
766506,The Walkers,2004
767069,The Adopted One,2020
784577,Moonlight Sonata,2010
785148,Facility 4,2005
785154,Harvest Moon,2008
785160,Prombies,2007
799344,Mr. Soul,2006
800472,UnTooned,2020
802963,Stalker,2002
808340,Pig Face,2018
808793,Snatched Away,2015
809610,Yesterday Is Tomorrow,2018
809645,Mommy,2017
811734,Teeth,2019
811755,"Jingle, Jingle",2018
811914,The Birthday Boy,2018
812310,EAS,2020
813289,Grinder,2009
813852,Wererock,2020
814895,Howl,2015
815072,Breaking Lights,2021
816820,Live Alone,2015
817348,Under the Parasol,2019
823849,Roller Girl,2020
824254,What It Takes,2020
825741,Spooky Town,2021
832458,Shattered,2020
832615,Where the Shadows Fall,2019
836439,Martel's Movie Madness The Movie Part One: The Beginning,2021
836738,Breathe,2018
839342,The Watcher,2020
842135,Scare Maze,2018
845020,Island,2007
845123,The Familiar Fingers of Culture,2018
849059,The Summertime Falsehoods,2019
850782,Terror Telly: Chopping Channels,2015
852431,Dreamer's Journey,2020
852766,The Shadows,2013
853854,The Haunting of Four Points,2017
854746,Midnight Kiss,2015
856090,Performance Anxiety,2021
857427,The Haunting,2021
857444,Vengeful Love,2019
857922,Heavy Metal,2016
860303,#iKllr,2014
860721,Til Death Do Us Part,2019
869618,Pipeline,2007
872514,Sunburn,2020
873343,Nightmares in the Makeup Chair,2021
873559,Z-Stuy,2018
873784,Brass Knuckles,2019
875986,Santayana's Passage,2021
878413,The Grime,9999
880324,Revenge,2019
880329,The Reason for Living,2018
880557,The Invite,2021
880650,From the Woods to the Cosmos: John Leman Riley on the History of Soviet Fantasy and Sci-Fi Film,2019
883316,The Mannequin,2019
884996,The Holy Sound,2013
886317,The Provider,2002
887347,Jagen GroßFuß,2018
888117,X,2009
888997,Coronoia 21,2021
889681,Killer Abs,2021
895158,Last Dance,2020
895267,Pictures of You,2021
895895,The Program,2015
896192,Vile & Sweet,2021
898349,Want to Hear A Story?,2021
913487,The Night of Nightmares,2021
919817,The Mystery Gang,2017
928119,Don't Open the Box,2022
931318,Cold Caller,2020
931922,S.K.B.,2019
936933,The Prince of Darkness,1900
939648,Beach Blanket Armageddon,1980
949942,The Mystery Box,2019
951571,Séance,2017
955341,Dead by Dawn,2004
961172,Cabin Fever: Beneath the Skin,2004
966342,Banned from Television: Prison Files,1998
972625,Monstrum,2013
977073,St. Patrick's Day,2016
977683,Picnic at Hermann's,2015
978097,The Apartment,2022
991743,Silhouette,2021
994551,I’ll Never Be Alive Again,2022
998395,Fork You,2013
1001922,Slice,2022
1007132,Stained,2015
1007147,Voodoo in My Heart,2021
1007963,Ghost Flight,2021
1010429,Scratched,2021
1015309,The Barista,2013
1019173,Reflected Visions,1996
1022947,The Uniform,2023
1025946,Suspicion,2018
1027816,Found,2014
1030677,Second Chances: New Beginnings,2017
1039803,The Color Of Blood,2006
1040616,Boris Karloff:  The Rest of the Story,2022
1043925,Alone?,2020
1045244,Sisterhood of the Shewolf,2002
1048352,Soulless,2022
1050610,Mortal Nightmare,2016
1050643,Verfolgt,2015
1058085,Skin & Bone,2022
1061261,Home Is Where I Lay,2022
1061417,Tlaloc Sacrificium,2019
1062384,Misguided,2018
1062962,Torment,2022
1063040,Black Star,2016
1066113,Deeper into the Darkness: The Making of Heartland of Darkness,2022
1068471,Rougge the Vampyre,2009
1070006,Alarm,2022
1077723,Legend of the Wendigo,2019
1080193,The Calling of the Things Beyond,2019
1084890,Don't Let It In,2021
1088143,The Vault of Horror: Horror Bites,1992
1094089,Penelope,2021
1100124,File Not Found,2023
1101146,Dinner with Friends,2022
1101194,The Dogsitter,2005
1101700,The Hollow World,2018
1102615,Coronapocalypse,2021
1102815,Mother,2018
1104044,I Spill Your Guts 2,2020
1107774,3 A.M.,2023
1118516,The Slit Mouthed Woman,2022
1119808,A River in the Woods,2011
1130450,Barbatachthian Returns,2021
1130453,Barbatachthian 3: Witch of the Woods,2022
1130458,Barbatachthian 5: Alive,2023
1132375,The Dentist,2023
1133651,Twelve,2001
1135261,Macronomicon,2021
1135868,We Will See The Sunrise,2020
1140097,Sally's Lullaby,2022
1147473,The Old God!,2022
1151186,Hell Hole High,2003
1153770,Hack The Living Dead,2020
1160140,The Terminal Game,1982
1161097,Biters and Bleeders,2023
1162232,Girl Trip,2016
1162479,A Ben Evans Film,2024
1165181,Rising Up: The Story of the Zombie Rights Movement,2009
1172776,Little Black Box,2007
1174423,Prom of the Dead,2022
1176216,Mostenire,2022
1186289,Starr,2023
1186657,Christmas Eve Massacre,2017
1188918,Girl At The Door,2013
1188962,Apocalypse Then,2021
1189797,The Witches of Eastwick,1992
1190496,BOX,2022
1190611,Five Minutes to Five Steps,2007
1196108,Bhoo,2014
1198727,Eye Catcher,2023
1207000,The Deep,2023
1214717,Jack the Ripper,2023
1216952,Sentinel,2023
1224968,How To,2023
1225154,Cajun Fried Werewolf,2019
1238091,The Woods,2022
1238559,Golden Pen,2020
1241327,It Came From the Tap,2023
1241821,Iris,2024
1244132,homer_a,2017
1244548,Swarm,2019
1249018,Minus Distance,2006
1249036,Nightmare Halloween Spectacular,1972
1251416,Zits,9999
1251882,Crimson Charlotte,2022
1252059,Ash Wednesday,2024
1253363,The Candy Crucible,2022
1253503,Lilies,2018
1254863,A Slice of Heaven,2023
1254948,"Murder, Madness and Mayhem",2023
1255326,Boxed,2023
1255337,The Keys,2022
1259409,Storage,2023
1267034,It Came from Alpha Centauri,1962
1269640,Dracula,1979
1270485,The Poltergeist,1950
1271048,Eidolon,2020
1271350,Hellswine 2,2021
1272814,Fraudulent Conversion,2023
1273341,The Spawn,1968
1273521,Zombies in Hertford,2015
1273556,Edgar Allan Poe's Plan 13: The House of Elvis,1986
1274771,Black Colossus,1979
