id,title,year,width,height,aspect,reason
949942,The Mystery Box,2019,1000,481,2.079,landscape
951571,Séance,2017,1000,843,1.1862,landscape
963679,Crank Up,2010,300,200,1.5,landscape
977073,St. Patrick's Day,2016,1000,451,2.2173,landscape
977683,Picnic at Hermann's,2015,1000,850,1.1765,landscape
980084,Santa Vs Zombies,2011,300,155,1.9355,landscape
993176,Middle,2016,300,143,2.0979,landscape
998395,Fork You,2013,1000,417,2.3981,landscape
1007132,Stained,2015,1000,472,2.1186,landscape
1007147,Voodoo in My Heart,2021,1000,1000,1.0,square
1010429,Scratched,2021,1000,563,1.7762,landscape
1015309,The Barista,2013,1000,595,1.6807,landscape
1022947,The Uniform,2023,1000,563,1.7762,landscape
1027816,Found,2014,1000,610,1.6393,landscape
1043893,The Mascot,2020,300,169,1.7751,landscape
1043925,Alone?,2020,1000,563,1.7762,landscape
1048352,Soulless,2022,1000,398,2.5126,landscape
1050643,Verfolgt,2015,1000,429,2.331,landscape
1058085,Skin & Bone,2022,1000,750,1.3333,landscape
1061417,Tlaloc Sacrificium,2019,1000,563,1.7762,landscape
1070006,Alarm,2022,1000,563,1.7762,landscape
1101146,Dinner with Friends,2022,1000,563,1.7762,landscape
1101194,The Dogsitter,2005,1000,563,1.7762,landscape
1102815,Mother,2018,1000,1000,1.0,square
1107774,3 A.M.,2023,1000,560,1.7857,landscape
1119808,A River in the Woods,2011,1000,403,2.4814,landscape
1130450,Barbatachthian Returns,2021,1000,563,1.7762,landscape
1130453,Barbatachthian 3: Witch of the Woods,2022,1000,500,2.0,landscape
1130458,Barbatachthian 5: Alive,2023,1000,563,1.7762,landscape
1135261,Macronomicon,2021,1000,417,2.3981,landscape
1135868,We Will See The Sunrise,2020,1000,527,1.8975,landscape
1151186,Hell Hole High,2003,1000,752,1.3298,landscape
1162743,Black Paris,2023,300,169,1.7751,landscape
1172776,Little Black Box,2007,1000,422,2.3697,landscape
1188962,Apocalypse Then,2021,1000,563,1.7762,landscape
1190496,BOX,2022,1000,494,2.0243,landscape
1244132,homer_a,2017,1000,563,1.7762,landscape
1249814,The Awakening,2023,300,169,1.7751,landscape
1252059,Ash Wednesday,2024,1000,501,1.996,landscape
1253363,The Candy Crucible,2022,1000,450,2.2222,landscape
1255326,Boxed,2023,1000,563,1.7762,landscape
1260708,Mr Topps,2016,300,300,1.0,square
1267034,It Came from Alpha Centauri,1962,1000,782,1.2788,landscape
1270485,The Poltergeist,1950,1000,881,1.1351,landscape
1273341,The Spawn,1968,1000,753,1.328,landscape
1273521,Zombies in Hertford,2015,1000,550,1.8182,landscape
1273556,Edgar Allan Poe's Plan 13: The House of Elvis,1986,1000,737,1.3569,landscape
1274771,Black Colossus,1979,1000,782,1.2788,landscape
1274792,The Tell-Tale Heart,1979,1000,758,1.3193,landscape
1274795,Bride of Frankenstein,1978,300,230,1.3043,landscape
1274809,The Ghost Soldier,1979,1000,772,1.2953,landscape
1274813,The Scythe,1979,1000,758,1.3193,landscape
1275644,The Road,1963,300,218,1.3761,landscape
1275700,Ten Little Indians,1949,1000,765,1.3072,landscape
1277577,Madeleine,2015,1000,657,1.5221,landscape
1280702,Alone,2023,1000,563,1.7762,landscape
1284274,The Haunting of Hewie Dowker,1976,1000,877,1.1403,landscape
1290366,Eat Me,2024,1000,467,2.1413,landscape
1292555,Farewell Nightmare Theatre,1977,1000,955,1.0471,landscape
1301696,Frankenstein Walks Again,1978,1000,773,1.2937,landscape
1304712,Son of Frankenstein,1979,1000,737,1.3569,landscape
1306667,Thark,1957,1000,560,1.7857,landscape
1309181,Killer Zombie,1978,1000,762,1.3123,landscape
1312473,The Devil on Derby Street,2023,1000,1000,1.0,square
1312576,Dr. Cadaverino's Halloween Special,1980,1000,825,1.2121,landscape
1313960,Cyanide Love,2018,1000,623,1.6051,landscape
1315514,Blood for Blood's Sake,2020,1000,811,1.233,landscape
1316210,Tortuga!,1976,1000,612,1.634,landscape
1317055,The Ruins,1972,1000,563,1.7762,landscape
1317068,Dracula Trucks Again,1976,1000,790,1.2658,landscape
1317081,Shell,1973,1000,773,1.2937,landscape
1317083,Dr. Jekyll Meets the Invisible Man,1977,1000,720,1.3889,landscape
1318259,Chunks VI: The Next Generation,1989,280,280,1.0,square
1318260,Zombie Hell 2,1989,280,280,1.0,square
1318302,Video Victims,1983,1000,892,1.1211,landscape
1321229,Z-TV,1989,1000,687,1.4556,landscape
1321903,The Four Poster,1964,1000,767,1.3038,landscape
1331102,Black Magic,1982,300,225,1.3333,landscape
1331250,The Bad Sanctum,1986,300,223,1.3453,landscape
1331261,Plan 10: The Vengeance of Bela,1983,1000,756,1.3228,landscape
1331275,The Raven,1988,1000,752,1.3298,landscape
1331386,The Wolf Man,1980,300,202,1.4851,landscape
1339547,Trilby and Svengali,1911,1000,782,1.2788,landscape
1341983,The Cave,2020,1000,417,2.3981,landscape
1354755,Welcome Back Mr. Fox,1986,1000,694,1.4409,landscape
1356797,Bonkey: The Mutated,2026,1000,750,1.3333,landscape
1363016,Stable House,2012,1000,563,1.7762,landscape
1365986,Chiller Theatre Fiend Club Show: Volume 3,1996,1000,655,1.5267,landscape
1367656,Desperate Scribbles,2013,1000,750,1.3333,landscape
1369198,Chiller Theatre Fiend Club Show: Volume 2,1996,1000,655,1.5267,landscape
1369581,Hostage,2008,1000,480,2.0833,landscape
1369835,Swim with Me,2016,1000,563,1.7762,landscape
