id,title,year,runtime,imdb_id
1526741,An Evening with Rodney Ascher,2025,96.0,nan
1530207,52AMGOD,2025,98.0,nan
1534580,"JPW x Brendan Underground - Die in Hell, Bro",2025,137.0,nan
1536383,The Veiled Abyss,2024,49.0,nan
1538712,Tulsa Terrors,2025,85.0,nan
1541383,The Killer Within,2025,60.0,nan
1542655,Death Cult,2025,83.0,nan
1549340,No Longer Humans,2025,129.0,nan
1555576,Spite,2025,86.0,nan
1558271,Amityville: Bed & Breakfast,2025,60.0,nan
1558416,Candleman: Part One,2025,47.0,nan
1562243,Smosh vs Aliens: The Movie,2025,140.0,nan
1562959,10/31: KNIGHTS,2025,134.0,nan
1565447,Lock Your Doors,2025,50.0,nan
1565756,Do Not Watch This Film,2025,80.0,nan
1566522,The Creature,2025,42.0,nan
1569796,Star Shark Squad,2025,90.0,nan
1571124,Screamityville: A Frightseeing Tour,2025,84.0,nan
1571731,The Tall-N-Short Halloween Special - Vol. VI,2025,43.0,nan
1571931,Midwest Angelica,2025,172.0,nan
1575401,The Cult of the Antichrist,2025,83.0,nan
1575406,Gacy's House,2025,85.0,nan
1575410,Nightmare Released,2025,82.0,nan
1583360,Come To Brazil,2025,66.0,nan
1591150,Cycle,2024,47.0,nan
1591158,VideoNapped,2023,68.0,nan
1593002,"It’s Not the House, It’s My Mother",2023,64.0,nan
1604261,The Seed of the Whampire,2025,42.0,nan
1606966,Unity for Nostalgia,2025,47.0,nan
1646290,Etouffe-moi Seul,2025,50.0,nan
1658267,Pinwydd,2025,41.0,nan
1664530,Theater in Quarantine: The Phantom of the Opera,2025,93.0,nan
1677112,Youming Flowers Bloom,2025,92.0,nan
1680371,The Mummy Creeps,2024,184.0,nan
1707748,Late At Night,2023,47.0,nan
1715382,Generation Loss: The Social Experiments (Founder's Cut),2024,143.0,nan
1725258,"Those Days Gone By, Forget Them and Sleep",2025,50.0,nan
1727787,Found Footage #1,2024,110.0,nan
1734127,As Dark As Us,2024,48.0,nan
1250854,Duped (The Jezbel Experience),2026,160.0,nan
1282686,Whispered Voices,2026,90.0,nan
1445246,REEL,2026,60.0,nan
1465155,Amityville Alone,2026,69.0,nan
1471251,Intrusion,2026,95.0,nan
1530929,Over the Rainbow,2026,119.0,nan
1532053,Samhain,2026,80.0,nan
1545812,Watergate,2026,90.0,nan
1573153,Fall Dies,2026,52.0,nan
1606871,"Knock, Knock, Knock",2026,100.0,nan
1606969,Banana: The Whole Bunchy Affair,2026,42.0,nan
1607468,Into the Spiral,2026,63.0,nan
1615290,The Nursing Home,2026,87.0,nan
1622520,biarkan aku ganti,2026,79.0,nan
1625875,The Chattanooga Syndrome - NOCLIP 3,2026,72.0,nan
1627299,Mapleshade Stories,2026,105.0,nan
1630746,The Strangers,2026,270.0,nan
1637260,Hoppy Ending,2026,102.0,nan
1637971,The Colored Experiment (Film Edition),2026,61.0,nan
1638528,The Coohatch,2026,78.0,nan
1640477,G2.22,2026,102.0,nan
1643458,when i go i want it to hurt,2026,42.0,nan
1646522,Come In From the Cold,2026,155.0,nan
1646650,Kodak,2026,51.0,nan
1649517,What Lurks In the Shadows,2026,70.0,nan
1654803,Channel 9 FM,2026,65.0,nan
1659399,House of Leaves,2026,203.0,nan
1660952,My Body is a Prison,2026,54.0,nan
1661127,She Fell Asleep and Dreamt of a Library,2026,66.0,nan
1664807,Don't Make Friends,2026,86.0,nan
1677050,2 hours of On This Spot files to sleep to (or if you’re really high),2026,121.0,nan
1679959,The Second Skeleton,2026,118.0,nan
1683446,Break Out,2026,50.0,nan
1688202,Night of the Blood Curse,2026,90.0,nan
1688495,The Shadowman's Nightmare,2026,60.0,nan
1691931,LAKESVILLE MOVIE,2026,75.0,nan
1696147,Incident At Grandma's,2026,105.0,nan
1697835,WE WHO HUNGER,2026,42.0,nan
1704110,M.E.N.A.G.E.R.I.E,2026,120.0,nan
1706084,the grievance of the day,2026,41.0,nan
1711104,Agatha,2026,64.0,nan
1714195,Devils Lake,2026,95.0,nan
1723448,Himalaya: Black Ice Edition,2026,85.0,nan
1728171,Berber,2026,41.0,nan
1728239,The Mineco Movie,2026,125.0,nan
1728338,The Creeps III,2026,45.0,nan
1728343,Doll Killer 4,2026,50.0,nan
1729087,The Shrimp-Off,2026,84.0,nan
1299747,"""I Don't Wanna Do This Anymore""",2027,85.0,nan
1490000,The Stars That Fade,2027,80.0,nan
1505506,Rocky Wake,2027,130.0,nan
1525218,Narco Shark 3,2028,99.0,nan
1573756,The Hollow Season,2027,109.0,nan
1597138,The Fields of Abbottsville,2027,71.0,nan
1636855,Fish in a Barrel,2027,95.0,nan
1659742,All Legs,2027,90.0,nan
1680924,Soft Things Rot,2027,70.0,nan
1711651,Carver,2027,50.0,nan
1729815,The Marked Room,2028,93.0,nan
27772,"Play Dead, Inc.",1998,86.0,nan
44954,A Little Death,2010,79.0,nan
126512,The Dark Angel,1987,148.0,nan
136705,Amerikill,1999,54.0,nan
251721,Final Destinations,1990,74.0,nan
272350,The Gothfather,2010,82.0,nan
272810,The Pizza Man,2001,48.0,nan
273675,A Ripper in Canada: Paranormal Hauntings in the Great White North,2014,66.0,nan
275804,Goosebumps: Scary House,2005,44.0,nan
279428,Beranak Dalam Kubur,2013,96.0,nan
281114,Nenek Bongkok Tiga,2012,86.0,nan
302644,Blood Effects,2013,82.0,nan
354325,Govan Ghost Story,1989,59.0,nan
365537,Blood Sacrifice,2002,43.0,nan
379565,Kids And The Occult,1994,116.0,nan
418266,The Vampire's Curse,1998,70.0,nan
419279,The Witching,1983,87.0,nan
429031,Black Mass of the Brain,2016,78.0,nan
444913,Strangled 6,1998,80.0,nan
444972,The Archer,1997,43.0,nan
451331,Dive into Doom,2013,57.0,nan
452499,Tangerine Dream: Inferno,2004,71.0,nan
471177,Game Changer: The Legacy of Saw,2015,58.0,nan
478819,Zombie Lust,2002,86.0,nan
479331,The Perils of Penelope,1994,80.0,nan
496865,Re-Animator of the Living Dead,2015,97.0,nan
502940,Graveyard Rot,1992,74.0,nan
531502,Funnel Web Family Refrigerated,2016,59.0,nan
575514,Werewolf of Carle Place,2013,76.0,nan
579156,Lunch Meat,1992,60.0,nan
594030,Mystic Demon Killer,2019,77.0,nan
594094,Death O Lantern: The Remake,2019,65.0,nan
618418,Deadly Encounter,1997,42.0,nan
643502,Rien the Serial Killer,2008,85.0,nan
645510,Klaus The Devil's Primate,2014,69.0,nan
659158,Purveyors Of Blood,2004,56.0,nan
669974,Ashley,2020,44.0,nan
674895,Sludge Warriors,2019,106.0,nan
704262,An Evening with my Great Aunt Bedelia,2012,44.0,nan
708706,Feed Your Head! Lose Your Head!,2020,55.0,nan
717859,Bara,2018,102.0,nan
721257,Channel 309 (1-3),2019,60.0,nan
728690,The Intercessor,1983,52.0,nan
732550,In Search of the Real Frankenstein,2006,50.0,nan
735423,TAKAYAMANIA EMPIRE II,2019,188.0,nan
742191,Autophobia,2020,94.0,nan
757360,How to Build a Haunted House,1985,84.0,nan
759802,A Soundass Halloween,2020,73.0,nan
766069,Fright Night of the Living Dead,1986,46.0,nan
771820,The Monstrologist,2015,120.0,nan
791335,Lord of the Shadows,1990,110.0,nan
802657,Dracula Is Not Dead,2017,66.0,nan
805748,Wilderness,1996,90.0,nan
812341,FUBAR Vol. 1,2014,89.0,nan
822075,The Tenderizer,2001,69.0,nan
828192,Kidnapped and Chloroformed Again,2000,55.0,nan
834192,I Speak for the Dead: The Legacy of Jigsaw,2018,81.0,nan
842819,The Hair Witch Project,1999,60.0,nan
865008,A Darker Light,1996,62.0,nan
881800,The Hound of Hannibal: An American Werewolf,2020,58.0,nan
882157,The Black Beyond,1992,73.0,nan
896662,Banned & Exposed 200X II,2005,57.0,nan
904669,Dying IV,1989,45.0,nan
934611,Sheets of Gore,2018,96.0,nan
936852,The Ominous Project Universe Presents: CARNAGE,2021,44.0,nan
958633,Archimime!,2021,43.0,nan
973970,Deathday,1971,50.0,nan
975026,Welcome Home,1971,50.0,nan
977639,Within 304,2003,43.0,nan
982498,Elvira's Movie Macabre: The Satanic Rites Of Dracula,2010,99.0,nan
1006453,Witchfinder 2,2008,95.0,nan
1012855,Kidnapped & Chloroformed Coeds,1998,64.0,nan
1017752,The Shackled Demon Project,2022,93.0,nan
1027876,No Sleep: Fragments of Horror,2021,77.0,nan
1029539,"100 Best Kills: Texas Birth Control, Dick Destruction",2022,90.0,nan
1034245,APOPHENIA,2022,44.0,nan
1035882,Cannibal Sacrifice 2,2010,55.0,nan
1037017,Dead Body Man Chronicles,2008,110.0,nan
1037684,Cicada: I Was a Teenage Horror Movie!,2022,63.0,nan
1038092,John Doe: Video Diary of a Serial Killer,2017,75.0,nan
1038454,DVD,2016,41.0,nan
1040938,The Sleep Study Murders,2016,47.0,nan
1042091,The Witch of Devils Canyon,2017,47.0,nan
1042114,They're Gone,2022,94.0,nan
1042158,Hoax,2022,80.0,nan
1042678,Toilet Paper Soldiers,2021,55.0,nan
1047376,Valley of Sickness and Death,2022,122.0,nan
1050988,Hadron,2016,100.0,nan
1052907,Trepidation,2015,73.0,nan
1054422,Blamed,2022,90.0,nan
1055384,Maniacal Night,2022,81.0,nan
1061347,3: All Hallow's Eve,2014,104.0,nan
1069869,Suicide School Girls,2003,72.0,nan
1071607,Tales of the Undead,1985,90.0,nan
1078479,The Harvester,1992,60.0,nan
1078492,One for the Road,1995,90.0,nan
1089235,The Man Who Went Missing in Black Hawk County,2020,64.0,nan
1098008,Horrifying Tales From the Dead,2020,80.0,nan
1100841,Sailor Fight!,1993,111.0,nan
1100849,Sailor Fight!,2014,57.0,nan
1106982,15/05/11 - ABANDONED GRAIN ELEVATOR,2011,55.0,nan
1109928,Necrophiliac and the Killer Gimps,2018,77.0,nan
1113305,Slay Ride,2022,58.0,nan
1113412,Guinea Pig: Slaughter Special,1988,73.0,nan
1115037,453%%#$**---,2021,77.0,nan
1117178,Majestic Mountains,2010,60.0,nan
1125639,"The Haunted Jizo of Shimo-Mizuno, Sayama City",2022,105.0,nan
1138689,The Eyes of the Panther,1989,60.0,nan
1144180,Bloody Bluefield,1998,88.0,nan
1144279,Crypts,2018,65.0,nan
1150497,Shock-X-Treme Vol 2: Death.com,2006,65.0,nan
1151692,Mondo Shock 2,2021,44.0,nan
1151713,The Horror House Cult Murders,2009,73.0,nan
1152303,Ravenwing & Cybercop vs Spellbynder,1999,59.0,nan
1152639,Watch Them Die Slowly,2021,60.0,nan
1158427,Temptation,2005,78.0,nan
1164563,Return of the Redneck Zombies,2017,70.0,nan
1166592,Neethraa,2020,83.0,nan
1167553,Frankenstein (I Swear on My Mother's Eyes) The True Story,1983,57.0,nan
1167764,Sympathy,2004,100.0,nan
1169439,"Strange Encounters: Vampires, UFOs and Hauntings",2010,87.0,nan
1170919,Pizza Express,1999,74.0,nan
1172491,Skinny Puppy: Last Rights Backing Film,1992,66.0,nan
1172493,Skinny Puppy: Too Dark Park Backing Film,1990,63.0,nan
1173124,Pill Head Ed,2020,80.0,nan
1173316,The Silver Scream 2: Welcome to Horrorwood,2021,42.0,nan
1183096,Elvira’s Movie Macabre: Night Of The Living Dead,2010,90.0,nan
1186362,The Man Who Would Be Michael,2019,41.0,nan
1187937,Halloween Top 20,2016,42.0,nan
1188626,Operation Storm Cloud,2005,53.0,nan
1189016,A Haunting on Adams Street: The Haunted Saginaw Museum,2022,115.0,nan
1195715,Psychoville Halloween Special,2010,48.0,nan
1205119,Ghostwriter: Attack of the Slime Monster,1995,89.0,nan
1206952,Shocktail Hour: Werewolves! Zombies! ...and Blobs!,2022,108.0,nan
1213042,Manananggal,1984,43.0,nan
1214934,Enigma,2003,44.0,nan
1215712,Suburban Strangler,2004,60.0,nan
1220973,Realm of the Bizarre,1999,59.0,nan
1223357,Mummy A Gore Gore,1986,50.0,nan
1223359,Cokehead The Soda Slasher,2008,72.0,nan
1226585,Godzilla Resurrection,2018,113.0,nan
1228244,Nightmare City,1984,61.0,nan
1236249,Dead Guys 2: Blind Date,2005,89.0,nan
1239491,Sinema,2014,96.0,nan
1239817,W.A.V.E.'s Triple Feature,2018,75.0,nan
1247276,The Torture Memos,2021,76.0,nan
1253367,The starving dead,2001,62.0,nan
1256600,Club Dead Presents: The Dead Files,1990,58.0,nan
1258604,Bigfoot In Kentucky,2021,118.0,nan
1259560,Party Levitation,2021,46.0,nan
1259895,Psychotic Bimbo,1998,89.0,nan
1262718,Twisted Weekend III: Slacker Holocaust,2003,60.0,nan
1265633,Curse of the Wolf,2004,73.0,nan
1272407,Killer sprite mega movie.,2022,100.0,nan
1277427,Glomer,2022,75.0,nan
1278924,The Great Satan At Large (666israel),1991,52.0,nan
1281640,Plantasma,2022,117.0,nan
1287025,The Last Lonely Man,1969,49.0,nan
1293005,The Terrorists,1998,80.0,nan
1300172,The Passion of Dracula,1980,100.0,nan
1309747,FortySix,2015,83.0,nan
1315974,The Jersey Devil: Monster in the Pines,2020,42.0,nan
1316590,"Seducer of the Night: Terror in the summer resort, bloodsucking fangs for blonde beauties",1982,111.0,nan
