id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason,tmdb_poster_path,src,dest,status,error
56383,"Lisa, Lisa","Lisa, Lisa",1974,56383.jpg,0.0,0.3571,rV6Irmd9RD0HZXhD7H8ucZceo3V,posters_multi/56383/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,1.0,0.0,1.0,-0.3571,5,1,overlap_gain,/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,posters_multi/56383/rV6Irmd9RD0HZXhD7H8ucZceo3V.jpg,posters/56383.jpg,ok,
64623,Vendetta,Zai shi zhui hun,1993,64623.jpg,0.0,0.2857,3kL2yacKNzPZ6IrxFI8dHJqu6lx,posters_multi/64623/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg,1.0,0.1481,1.0,-0.1376,1,1,overlap_gain,/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg,posters_multi/64623/3kL2yacKNzPZ6IrxFI8dHJqu6lx.jpg,posters/64623.jpg,ok,
69142,The Wrath,The Wrath,2008,69142.jpg,0.0,0.2553,gp2Zfza1j955qUU6iyDDdDsJk1H,posters_multi/69142/gp2Zfza1j955qUU6iyDDdDsJk1H.jpg,0.5,0.186,0.5,-0.0693,4,1,overlap_gain,/gp2Zfza1j955qUU6iyDDdDsJk1H.jpg,posters_multi/69142/gp2Zfza1j955qUU6iyDDdDsJk1H.jpg,posters/69142.jpg,ok,
72654,Parents,Foreldrar,2007,72654.jpg,0.0,0.0041,6cSYVV21o7T1iMclovdKqnLqy2d,posters_multi/72654/6cSYVV21o7T1iMclovdKqnLqy2d.jpg,1.0,0.4,1.0,0.3959,2,1,overlap_gain,/6cSYVV21o7T1iMclovdKqnLqy2d.jpg,posters_multi/72654/6cSYVV21o7T1iMclovdKqnLqy2d.jpg,posters/72654.jpg,ok,
82972,Curio,Curio,2010,82972.jpg,0.0,0.2286,pFupZQWYGKBaMg9dZhcfj88BZ4A,posters_multi/82972/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,1.0,0.098,1.0,-0.1306,2,1,overlap_gain,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,posters_multi/82972/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,posters/82972.jpg,ok,
84233,Don't Hang Up,Don't Hang Up,1974,84233.jpg,0.3333,0.1374,fccbAyx3DcSHwlR6iwEfwVFhvyD,posters_multi/84233/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg,1.0,0.241,0.6667,0.1036,5,1,overlap_gain,/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg,posters_multi/84233/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg,posters/84233.jpg,ok,
92312,Django the Bastard,Django il bastardo,1969,92312.jpg,0.3333,0.3429,mEgACOh9FGP9g9XoAp8T4kYVK96,posters_multi/92312/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg,1.0,0.5,0.6667,0.1571,5,1,overlap_gain,/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg,posters_multi/92312/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg,posters/92312.jpg,ok,
95008,Scream... and Die!,Scream... and Die!,1973,95008.jpg,0.0,0.375,lASZNs0GbkObV1ErUhzwgfIpNj9,posters_multi/95008/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,1.0,1.0,1.0,0.625,6,1,overlap_gain,/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,posters_multi/95008/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,posters/95008.jpg,ok,
100467,The Hand That Feeds the Dead,La mano che nutre la morte,1974,100467.jpg,0.0,0.2439,wijtfpys0hHRi9ZGSYh7T3aJxCt,posters_multi/100467/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg,1.0,1.0,1.0,0.7561,2,1,overlap_gain,/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg,posters_multi/100467/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg,posters/100467.jpg,ok,
109707,Flora,Flora,1989,109707.jpg,0.0,0.099,mgHbHHaclA8YfPvQBi6wRb8q1EY,posters_multi/109707/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg,1.0,1.0,1.0,0.901,5,1,overlap_gain,/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg,posters_multi/109707/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg,posters/109707.jpg,ok,
