id,source,status,in_w,in_h,out_w,out_h,error
240490,up,ok,1600,2400,1000,1500,
240507,up,ok,1916,2820,1000,1500,
240611,up,ok,1000,1500,1000,1500,
240896,up,ok,1600,2400,1000,1500,
241047,orig,ok,1200,1800,1000,1500,
241438,orig,ok,1000,1500,1000,1500,
241958,orig,ok,1400,2100,1000,1500,
242033,orig,ok,1000,1500,1000,1500,
242245,up,ok,1000,1500,1000,1500,
242358,orig,ok,1401,2102,1000,1500,
243697,up,ok,1400,2000,1000,1500,
243901,orig,ok,2000,3000,1000,1500,
244033,up,ok,1200,1800,1000,1500,
244301,up,ok,1116,1500,1000,1500,
244305,orig,ok,1947,2909,1000,1500,
244446,orig,ok,1000,1500,1000,1500,
244638,up,ok,1000,1500,1000,1500,
244765,orig,ok,2000,3000,1000,1500,
244766,orig,ok,1000,1500,1000,1500,
244852,orig,ok,1400,2100,1000,1500,
245107,up,ok,1520,2176,1000,1500,
245142,orig,ok,2000,3000,1000,1500,
245589,orig,ok,1500,2250,1000,1500,
245957,orig,ok,1000,1500,1000,1500,
246162,up,ok,1000,1500,1000,1500,
246206,orig,ok,1400,2100,1000,1500,
246218,up,ok,1000,1500,1000,1500,
246228,orig,ok,1000,1500,1000,1500,
246229,orig,ok,1000,1500,1000,1500,
246233,orig,ok,1000,1500,1000,1500,
246448,up,ok,1560,2238,1000,1500,
246463,up,ok,1000,1500,1000,1500,
246485,up,ok,1058,1500,1000,1500,
246548,up,ok,1000,1500,1000,1500,
246688,orig,ok,1200,1600,1000,1500,
246727,up,ok,1920,2880,1000,1500,
246821,orig,ok,1000,1500,1000,1500,
246917,up,ok,1200,1800,1000,1500,
247111,up,ok,1352,1920,1000,1500,
247113,up,ok,1000,1500,1000,1500,
247280,orig,ok,1000,1500,1000,1500,
247636,orig,ok,2000,3000,1000,1500,
247747,orig,ok,1911,2867,1000,1500,
247873,orig,ok,1000,1500,1000,1500,
248063,up,ok,1000,1516,1000,1500,
248426,orig,ok,1000,1500,1000,1500,
248561,up,ok,1000,1500,1000,1500,
248576,orig,ok,1000,1500,1000,1500,
248633,orig,ok,1000,1500,1000,1500,
248670,orig,ok,1175,1763,1000,1500,
248714,up,ok,1920,2880,1000,1500,
248736,up,ok,1920,2880,1000,1500,
248781,orig,ok,1000,1500,1000,1500,
249044,orig,ok,2000,3000,1000,1500,
249087,up,ok,1000,1500,1000,1500,
249220,orig,ok,1000,1500,1000,1500,
249295,orig,ok,1120,1680,1000,1500,
249372,orig,ok,1000,1500,1000,1500,
249446,orig,ok,2000,3000,1000,1500,
249478,up,ok,1000,1500,1000,1500,
249672,orig,ok,1000,1391,1000,1500,
249975,orig,ok,1500,2000,1000,1500,
250084,up,ok,1416,2000,1000,1500,
250100,up,ok,1022,1500,1000,1500,
250184,orig,ok,1000,1500,1000,1500,
250352,orig,ok,1000,1500,1000,1500,
250414,orig,ok,1000,1500,1000,1500,
250417,up,ok,1600,2400,1000,1500,
250425,orig,ok,2000,3000,1000,1500,
250577,up,ok,1500,2250,1000,1500,
250788,up,ok,1000,1500,1000,1500,
250792,orig,ok,1400,2100,1000,1500,
250869,up,ok,1400,2072,1000,1500,
250879,up,ok,1000,1500,1000,1500,
251124,up,ok,1800,2658,1000,1500,
251136,orig,ok,1000,1421,1000,1500,
251183,up,ok,1920,2880,1000,1500,
251213,orig,ok,1818,2726,1000,1500,
251365,up,ok,1184,1682,1000,1500,
251371,up,ok,1000,1500,1000,1500,
251384,up,ok,1526,2274,1000,1500,
251407,up,ok,1000,1500,1000,1500,
251439,orig,ok,1000,1500,1000,1500,
251499,orig,ok,1000,1500,1000,1500,
251559,orig,ok,1014,1457,1000,1500,
251733,up,ok,1332,2000,1000,1500,
251860,orig,ok,1000,1500,1000,1500,
252151,up,ok,1000,1500,1000,1500,
252189,orig,ok,1000,1500,1000,1500,
252190,up,ok,1000,1500,1000,1500,
252409,orig,ok,2000,3000,1000,1500,
252429,up,ok,1306,1972,1000,1500,
252455,orig,ok,1152,1728,1000,1500,
252574,up,ok,1320,1980,1000,1500,
253057,up,ok,1664,2496,1000,1500,
253103,up,ok,1920,2880,1000,1500,
253148,up,ok,1200,1800,1000,1500,
253205,up,ok,1440,2160,1000,1500,
253288,orig,ok,1500,2250,1000,1500,
253365,orig,ok,1080,1597,1000,1500,
253402,orig,ok,1000,1500,1000,1500,
253410,up,ok,1000,1500,1000,1500,
253453,up,ok,1000,1500,1000,1500,
253477,orig,ok,1198,1797,1000,1500,
253520,up,ok,1920,2880,1000,1500,
253650,orig,ok,1000,1500,1000,1500,
253794,orig,ok,1400,2100,1000,1500,
253829,orig,ok,1920,2880,1000,1500,
253862,up,ok,1000,1500,1000,1500,
253866,orig,ok,1487,2231,1000,1500,
253999,orig,ok,1000,1546,1000,1500,
254009,orig,ok,2000,3000,1000,1500,
254010,up,ok,1222,1718,1000,1500,
254126,up,ok,1000,1500,1000,1500,
254174,orig,ok,2000,3000,1000,1500,
254426,orig,ok,1000,1500,1000,1500,
254469,orig,ok,1000,1500,1000,1500,
254544,up,ok,1348,2000,1000,1500,
254732,orig,ok,1000,1519,1000,1500,
255291,up,ok,1920,2880,1000,1500,
255292,orig,ok,1000,1482,1000,1500,
255293,orig,ok,1080,1640,1000,1500,
255295,orig,ok,1400,2100,1000,1500,
255298,orig,ok,1400,2100,1000,1500,
255299,up,ok,1442,2000,1000,1500,
255305,orig,ok,1000,1500,1000,1500,
255328,orig,ok,2000,3000,1000,1500,
255389,orig,ok,1777,2510,1000,1500,
255512,up,ok,1400,2100,1000,1500,
255674,orig,ok,1400,2100,1000,1500,
255680,orig,ok,1000,1500,1000,1500,
255911,orig,ok,1057,1500,1000,1500,
255916,up,ok,1000,1500,1000,1500,
255921,up,ok,1000,1500,1000,1500,
255928,up,ok,1000,1500,1000,1500,
256012,up,ok,1000,1500,1000,1500,
256030,orig,ok,1400,2100,1000,1500,
256080,up,ok,1100,1628,1000,1500,
256227,up,ok,1920,2880,1000,1500,
256239,up,ok,1000,1500,1000,1500,
256452,up,ok,1490,2234,1000,1500,
256511,orig,ok,1000,1500,1000,1500,
256552,up,ok,1000,1500,1000,1500,
256676,up,ok,1000,1500,1000,1500,
256742,up,ok,1920,2880,1000,1500,
257047,up,ok,1000,1500,1000,1500,
257054,orig,ok,1081,1600,1000,1500,
257093,orig,ok,1400,2100,1000,1500,
257117,orig,ok,1400,2100,1000,1500,
257206,up,ok,1070,1500,1000,1500,
257275,up,ok,1000,1500,1000,1500,
257323,orig,ok,2000,3000,1000,1500,
257861,up,ok,1118,1600,1000,1500,
257976,up,ok,1600,2400,1000,1500,
258006,orig,ok,1000,1500,1000,1500,
258097,orig,ok,1600,2400,1000,1500,
258157,orig,ok,1000,1500,1000,1500,
258255,orig,ok,1000,1500,1000,1500,
258453,up,ok,1000,1500,1000,1500,
259074,orig,ok,1000,1500,1000,1500,
259197,up,ok,1188,1782,1000,1500,
259246,up,ok,1920,2880,1000,1500,
259303,orig,ok,1000,1519,1000,1500,
259392,orig,ok,2000,3000,1000,1500,
259543,orig,ok,1000,1500,1000,1500,
259668,up,ok,1920,2880,1000,1500,
259712,orig,ok,1400,2100,1000,1500,
259729,up,ok,1000,1500,1000,1500,
259828,up,ok,1276,1800,1000,1500,
259829,orig,ok,1200,1800,1000,1500,
259847,up,ok,1464,2198,1000,1500,
259888,orig,ok,1000,1500,1000,1500,
260163,orig,ok,1400,2100,1000,1500,
260435,orig,ok,1000,1500,1000,1500,
260536,up,ok,1192,1770,1000,1500,
260602,orig,ok,1000,1500,1000,1500,
260776,up,ok,1000,1500,1000,1500,
260824,up,ok,1200,1800,1000,1500,
260958,up,ok,1900,2850,1000,1500,
261071,orig,ok,1000,1500,1000,1500,
261084,up,ok,1000,1500,1000,1500,
261090,up,ok,1000,1500,1000,1500,
261179,orig,ok,2000,3000,1000,1500,
261264,up,ok,1560,2340,1000,1500,
261273,up,ok,1000,1502,1000,1500,
261595,orig,ok,2000,3000,1000,1500,
261596,orig,ok,1000,1491,1000,1500,
261597,up,ok,1684,2526,1000,1500,
261727,orig,ok,1250,1875,1000,1500,
261746,orig,ok,1000,1500,1000,1500,
261928,orig,ok,1000,1500,1000,1500,
261943,up,ok,1200,1776,1000,1500,
262084,orig,ok,1000,1500,1000,1500,
262087,up,ok,1000,1500,1000,1500,
262165,up,ok,1000,1500,1000,1500,
262264,orig,ok,1000,1500,1000,1500,
262267,up,ok,1920,2880,1000,1500,
262284,up,ok,1000,1500,1000,1500,
262423,up,ok,1000,1500,1000,1500,
262609,up,ok,1294,1998,1000,1500,
262621,up,ok,1280,1920,1000,1500,
262693,orig,ok,1500,2250,1000,1500,
262751,orig,ok,1000,1500,1000,1500,
262832,orig,ok,1466,2200,1000,1500,
262839,orig,ok,1000,1500,1000,1500,
262871,orig,ok,1175,1763,1000,1500,
262919,orig,ok,1000,1500,1000,1500,
262972,up,ok,1440,2172,1000,1500,
263009,orig,ok,1432,2148,1000,1500,
263103,orig,ok,1057,1500,1000,1500,
