hamming,id_a,title_a,id_b,title_b
2,578,Jaws,446101,Assassination Nation
2,578,Jaws,758298,The Crumbs
2,578,Jaws,1011207,Evil Lurks
2,2675,Signs,1055451,Founders Day
2,3151,Frankenstein General Hospital,17141,Blood Car
2,3209,No Telling,42594,Scream and Scream Again
2,13121,Teeth,36601,Grindstone Road
2,13121,Teeth,102390,Devil's Bridge
2,13121,Teeth,750732,The Haunting of Grady Farm
2,13121,Teeth,1339166,Shaman
2,15667,The Last Winter,3151,Frankenstein General Hospital
2,15667,The Last Winter,17141,Blood Car
2,15667,The Last Winter,30778,I Am Omega
2,15667,The Last Winter,43593,Piranha 3D
2,15667,The Last Winter,54753,Maneater
2,15667,The Last Winter,69277,Demon Hunters: Dead Camper Lake
2,15667,The Last Winter,136074,Little Monsters
2,15667,The Last Winter,139132,The Mad Room
2,15667,The Last Winter,404961,Ghosthunters
2,15667,The Last Winter,425972,Cargo
2,15667,The Last Winter,463364,The Isle
2,15667,The Last Winter,485811,Redcon-1
2,15667,The Last Winter,672582,The Deep House
2,15667,The Last Winter,1497961,William Shakespeare's Titus Andronicus
2,15667,The Last Winter,1524401,The Last
2,20842,Children Shouldn't Play with Dead Things,71668,Piranha 3DD
2,20842,Children Shouldn't Play with Dead Things,463602,Slumber
2,24702,Shallow Ground,334536,The Blackcoat's Daughter
2,25061,Zombie Nation,653765,A Nasty Piece of Work
2,25920,Born of Fire,12223,The Stepford Wives
2,27244,The Dungeonmaster,55538,Bloody Birthday
2,27758,Near Death,340837,A Cure for Wellness
2,27758,Near Death,1000173,Nightman
2,29342,The Bees,27361,Black Moon
2,30778,I Am Omega,672582,The Deep House
2,35197,The Reeds,794960,Blood Moon
2,35198,"Clear Lake, WI",369637,Seclusion
2,36601,Grindstone Road,102390,Devil's Bridge
2,36601,Grindstone Road,750732,The Haunting of Grady Farm
2,42594,Scream and Scream Again,467239,Temple
2,43593,Piranha 3D,20842,Children Shouldn't Play with Dead Things
2,43593,Piranha 3D,30778,I Am Omega
2,43593,Piranha 3D,71668,Piranha 3DD
2,43593,Piranha 3D,672582,The Deep House
2,48809,Parasitic,326247,The House on Pine Street
2,50762,Le Fear,507700,Uncle David 2
2,51068,Ghost Game,334536,The Blackcoat's Daughter
2,52923,Hell House,405225,The Triangle
2,54208,Kemper,22033,Cry of the Banshee
2,54398,Strigoi,404961,Ghosthunters
2,54753,Maneater,404961,Ghosthunters
2,69277,Demon Hunters: Dead Camper Lake,3151,Frankenstein General Hospital
2,69277,Demon Hunters: Dead Camper Lake,425972,Cargo
2,84375,Frozen Scream,43931,My Soul to Take
2,84628,The Survivor,514277,Mara
2,86492,Winterbeast,132250,Hypothermia
2,96648,The Incident,1037599,The Bigfoot Trap
2,96648,The Incident,1118033,The Seeding
2,100034,The Worst Horror Movie Ever Made,40016,Birdemic: Shock and Terror
2,102390,Devil's Bridge,48359,Slash
2,102693,The Yellow Wallpaper,27860,Pterodactyl
2,104385,Blood Bath,159128,We Are What We Are
2,104811,id 104811,1247436,The Uninvited
2,104811,id 104811,1313837,Jason Still Lives Part 2: The Ski Resort Murders
2,104811,id 104811,1425891,id 1425891
2,105543,Hollywood Mortuary,1247436,The Uninvited
2,105543,Hollywood Mortuary,1313837,Jason Still Lives Part 2: The Ski Resort Murders
2,105543,Hollywood Mortuary,1425891,id 1425891
2,112481,Rattlers,85202,Trick or Treats
2,126491,The Legend of McCullough's Mountain,40016,Birdemic: Shock and Terror
2,136074,Little Monsters,20842,Children Shouldn't Play with Dead Things
2,136074,Little Monsters,30778,I Am Omega
2,136074,Little Monsters,71668,Piranha 3DD
2,136074,Little Monsters,672582,The Deep House
2,139132,The Mad Room,54398,Strigoi
2,139132,The Mad Room,54753,Maneater
2,139132,The Mad Room,404961,Ghosthunters
2,139132,The Mad Room,611805,They're Inside
2,140482,In Search of Dracula,12223,The Stepford Wives
2,140482,In Search of Dracula,25920,Born of Fire
2,159324,Calendar Girl Murders,1671305,id 1671305
2,182140,The Suckers,1654511,The Man Whom the Trees Loved
2,204577,Sharp Teeth,42594,Scream and Scream Again
2,204577,Sharp Teeth,467239,Temple
2,210454,Kiss Me and Die,309793,Get Dead
2,210454,Kiss Me and Die,498475,The Sadness
2,210454,Kiss Me and Die,1234882,Drag Hell: Zombies Meat Lovers
2,210454,Kiss Me and Die,1346487,Paranormal Activity: The Mark of the Coven
2,211421,Screamer,309793,Get Dead
2,211421,Screamer,498475,The Sadness
2,211421,Screamer,1234882,Drag Hell: Zombies Meat Lovers
2,211421,Screamer,1346487,Paranormal Activity: The Mark of the Coven
2,213766,This Darkness: The Vampire Virus,311010,Satan Claus
2,213766,This Darkness: The Vampire Virus,574137,Unfollowed
2,213766,This Darkness: The Vampire Virus,610010,Killer Therapy
2,213766,This Darkness: The Vampire Virus,715275,Beyond the Night
2,213766,This Darkness: The Vampire Virus,774108,The Dead… Will Rise!
2,213766,This Darkness: The Vampire Virus,777573,The Las Vegas Strangler
2,213766,This Darkness: The Vampire Virus,805429,The Missing
2,213766,This Darkness: The Vampire Virus,1313837,Jason Still Lives Part 2: The Ski Resort Murders
2,213766,This Darkness: The Vampire Virus,1318452,Damned If You Do
2,213766,This Darkness: The Vampire Virus,1425891,id 1425891
2,213766,This Darkness: The Vampire Virus,1735325,JAWBREAKER
2,215332,Coons! Night of the Bandits of the Night,461767,Canaries
2,224243,Soulmate,675531,Dark Harvest
2,227002,Michael Lives: The Making of Halloween,348754,The Jokesters
2,227281,Just the Vampire Hunter,42689,Berserk
2,227369,Horror Filmed,104811,id 104811
