id,title,year,decade,proxy,ocr_chars,n_lines,n_boxes,mean_conf,ocr_source,path
117017,Fright,1956,1950,image_led,6,1,1,0.5544,easyocr,/2w8LAp94jyWKbzPwQvmpjH9n1qr.jpg
85198,Frightmare,1981,1980,image_led,7,1,1,0.0579,easyocr,/joQ36TBtUfMlQilc44gcRiY5Nqv.jpg
448144,Madness,2006,2000,image_led,7,1,1,0.9633,easyocr,/nPNamBT5Twtpg0cCqsvqclcB10y.jpg
197389,Bride Of Killer Nerd,1992,1990,title_led,12,2,2,0.3466,easyocr,/sIwzZmaFZhrY3ftZfbOjQhpLyht.jpg
100770,The Black Torment,1964,1960,image_led,4,1,1,0.0362,easyocr,/kMvAhXUshF8hH89Tv0SWpbVgc6Z.jpg
29547,Massage Parlor Murders,1973,1970,text_heavy,41,6,6,0.672,easyocr,/xgIC47oXt1LUiAHmnGAMkMVZjF9.jpg
609080,The Phantom Violin,1914,1910,image_led,1,1,0,0.0,textract,/6CQWpOU7fA1mpOUa9OmCdVXsobH.jpg
272423,The Mistletoe Bough,1904,1900,title_led,35,4,4,0.824,easyocr,/bln9FgmibEHOVyyB33tCstl31Lx.jpg
29423,"Die Sister, Die!",1978,1970,title_led,8,2,2,0.0669,easyocr,/8843Hgx3pHzTyERwiiNPjVi23SG.jpg
897268,Buried Friend,2020,2020,title_led,43,3,3,0.8744,easyocr,/1piL2spKWHtlJmAOB2WSvFLQbGn.jpg
84956,Warning Shadows,1923,1920,title_led,29,1,1,0.8169,easyocr,/vSQRXcGKVuvNmvAeJZj3Sw42FWi.jpg
1649704,Something in the Cellar,1969,1960,image_led,1,1,0,0.0,textract,/krw41Ia4CYxkzOrtSCXDzRHeYse.jpg
344161,Frankenstein,1940,1940,image_led,3,1,0,0.0,textract,/nSo9KplymuAAFjAFA9MBZui0wAZ.jpg
1267304,The Black Night,1916,1910,text_heavy,27,6,6,0.2144,easyocr,/3vsv42B3z6GtovA1moB6ZVpQQIt.jpg
1376369,Dr. Jekyll and Mr. Hyde,1937,1930,title_led,38,5,5,0.1874,easyocr,/y1YvXrc1l3lro2cQvXzcIJX6gBT.jpg
1022634,The Calling,2021,2020,title_led,10,2,2,0.9112,easyocr,/rIYJOGCao8JVMgbVuWbeh4iXznZ.jpg
384627,The Monkey's Paw,1933,1930,text_heavy,55,8,8,0.6248,easyocr,/9ExbpH2rzRG67FgAP3mcSsrZINE.jpg
1077097,Faust and Mephistopheles,1898,1890,image_led,0,0,0,0.0,easyocr,/8ZQZdHEqT92JjyjiEgFpn13FOnj.jpg
1371491,Zingaro,1935,1930,text_heavy,83,12,12,0.4127,easyocr,/mHMD8B4xilMIgOTF3XTb1A2f28L.jpg
56145,Geek Maggot Bingo or The Freak from Suckweasel Mountain,1983,1980,text_heavy,63,9,9,0.463,easyocr,/9G9pzFAicPj4Csobn5iWPrCvLHc.jpg
1351825,Immediate Possession,1931,1930,image_led,1,1,0,0.0,textract,/55MtlX4vVH92p98OIRkPpeJjr07.jpg
864142,The Ghost Breaker,1914,1910,text_heavy,53,7,7,0.2483,easyocr,/guDzZ9tAnt44RanhAQqXJeCvenR.jpg
341671,Model Hunger,2015,2010,image_led,4,1,1,0.0662,easyocr,/vQf3n20MS2BhMob63o9QcraQp1E.jpg
172115,The Haunted Curiosity Shop,1901,1900,title_led,26,2,2,0.9884,easyocr,/7c5k1nN9KPhPuGrI8X5rl4IDQUa.jpg
545308,Far from the Apple Tree,2019,2010,title_led,23,2,2,0.7696,easyocr,/ptZkzkyrAD4rvKVB7OrhZtNHYCa.jpg
1117995,Goose Egg,2023,2020,text_heavy,136,13,13,0.1572,easyocr,/uU07PwTh0w2mZFSy5RnRlICpER2.jpg
83155,Truth or Dare?: A Critical Madness,1986,1980,text_heavy,43,7,7,0.6794,easyocr,/yy3OC0GOURNBjOPchdW1RchpCLJ.jpg
337288,The Animal,1968,1960,image_led,7,1,1,0.1328,easyocr,/w8CVcb4r7A4VhNw1uct5lZ9oydt.jpg
1048700,"Videozone: The Making of ""Puppet Master 5""",1994,1990,text_heavy,42,7,7,0.4841,easyocr,/AdT2EqzHpSAEODy5veYTMtMU5Pj.jpg
3017,Dr. Jekyll and Mr. Hyde,1920,1920,text_heavy,140,11,11,0.4835,easyocr,/5Hw6imY9cCLX6jaoMtstZbHnHhw.jpg
89741,Terror Aboard,1933,1930,text_heavy,106,10,10,0.806,easyocr,/7q8H3gsL8Y2w8UiT8pNga8lWrUB.jpg
330169,The Gorilla,1927,1920,title_led,10,2,2,0.1621,easyocr,/toVud7ljysS23zjOwlb091OW40s.jpg
1523565,"Devils, Dragons, and Vampires",1999,1990,text_heavy,113,6,6,0.4028,easyocr,/osagRCJ3SGjRa0OfKJfuzDkQZdy.jpg
952280,Kalo Chhaya,1948,1940,image_led,2,1,1,0.0222,easyocr,/dNaShBAlBbvdgSvjdJLoRWNH2im.jpg
