id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
131575,Fear Has 1000 Eyes,Skräcken har 1000 ögon,1970,131575.jpg,0.0,0.2,vwz6fTY8YFkouYjeTMJY9l4pEwq,posters_multi/131575/vwz6fTY8YFkouYjeTMJY9l4pEwq.jpg,0.75,1.0,0.75,0.8,2,1,overlap_gain
131815,The Sea Serpent,Serpiente de mar,1985,131815.jpg,0.3333,0.3784,u04cvzPQTmz60zxTbXFCgPH3ncO,posters_multi/131815/u04cvzPQTmz60zxTbXFCgPH3ncO.jpg,0.3333,0.3784,0.0,0.0,1,0,no
135973,Pennhurst,Pennhurst,2012,135973.jpg,0.0,0.1667,nB5XpTMsO6ukDV0vzjseM45sKFa,posters_multi/135973/nB5XpTMsO6ukDV0vzjseM45sKFa.jpg,1.0,0.1295,1.0,-0.0372,2,1,overlap_gain
144839,Evil Stalks This House,Evil Stalks This House,1981,144839.jpg,0.0,0.4571,62F7aEOKyqmfkDtG4fN9YZasGsY,posters_multi/144839/62F7aEOKyqmfkDtG4fN9YZasGsY.jpg,1.0,1.0,1.0,0.5429,2,1,overlap_gain
144909,Charm,Charm,2013,144909.jpg,0.0,0.102,pS9d7Qz5IjbOzJr1XJPNhuaUm4r,posters_multi/144909/pS9d7Qz5IjbOzJr1XJPNhuaUm4r.jpg,0.0,0.098,0.0,-0.004,1,0,no
163543,Shelf Life,Shelf Life,2004,163543.jpg,0.0,0.086,75jaF5REzdTuGUTs4fZoNkk0iHZ,posters_multi/163543/75jaF5REzdTuGUTs4fZoNkk0iHZ.jpg,1.0,0.0036,1.0,-0.0824,2,1,overlap_gain
164423,Ghost of the Needle,Ghost of the Needle,2003,164423.jpg,0.25,0.1143,1LS2hvSXLx7T8CWUgpcUwwBHC46,posters_multi/164423/1LS2hvSXLx7T8CWUgpcUwwBHC46.jpg,0.25,0.0369,0.0,-0.0774,1,0,no
192252,The Princess and Toxicant,蛇山蠱女,1977,192252.jpg,0.0,0.2581,es37DEHY8Kx6SxXZrwGdhnKvVLe,posters_multi/192252/es37DEHY8Kx6SxXZrwGdhnKvVLe.jpg,0.0,0.0645,0.0,-0.1936,1,0,no
192573,Zapatlela,झपाटलेला,1993,192573.jpg,0.0,0.0946,w4GMCJhPbrJN681t6UiaoQgsxo7,posters_multi/192573/w4GMCJhPbrJN681t6UiaoQgsxo7.jpg,0.0,0.0781,0.0,-0.0165,1,0,no
200377,The Evolution of Snuff,The Evolution of Snuff,1978,200377.jpg,0.25,0.2759,8o6H3httwOtAWQPOIXHm9qUKKbd,posters_multi/200377/8o6H3httwOtAWQPOIXHm9qUKKbd.jpg,0.25,0.2759,0.0,0.0,1,0,no
200672,Torro. Torro. Torro!,Torro. Torro. Torro!,1981,200672.jpg,0.0,0.0252,3sCzrtgWaimNKVXk9FHRPx0Q2I4,posters_multi/200672/3sCzrtgWaimNKVXk9FHRPx0Q2I4.jpg,0.0,0.0245,0.0,-0.0007,1,0,no
200803,Altered Species,Altered Species,2001,200803.jpg,0.0,0.3529,93mzxkyy5kaDM1fXXTL2f7yWdHv,posters_multi/200803/93mzxkyy5kaDM1fXXTL2f7yWdHv.jpg,1.0,0.5957,1.0,0.2428,3,1,overlap_gain
204611,The McPherson Tape,The McPherson Tape,1989,204611.jpg,0.0,0.2078,7HT0pnqdIejrjciSnYDvVGL4rXB,posters_multi/204611/7HT0pnqdIejrjciSnYDvVGL4rXB.jpg,1.0,1.0,1.0,0.7922,5,1,overlap_gain
208703,Rufus,Rufus,2013,208703.jpg,0.0,0.1031,4HaHva32h3bZ7UfbQmOhzbGJ0Gb,posters_multi/208703/4HaHva32h3bZ7UfbQmOhzbGJ0Gb.jpg,1.0,1.0,1.0,0.8969,4,1,overlap_gain
