title,type,year,id,slug,url,rails
The Drowned,movie,2023,62d7d0c92b591c7dab824878,the-drowned-2023,https://watch.plex.tv/movie/the-drowned-2023,Surprise Me
The Girl We Let In,movie,2026,69c44e2a7671e7361b627aa4,the-girl-we-let-in,https://watch.plex.tv/movie/the-girl-we-let-in,Recently Released in Horror
The Green Monster,movie,2026,68a0305175e95c0ab432fb29,the-green-monster-2026,https://watch.plex.tv/movie/the-green-monster-2026,Recently Released in Horror
The Home,movie,2017,5d776cb1594b2b001e6fadc7,the-home,https://watch.plex.tv/movie/the-home,Trending in Horror
The Hoodoos,movie,2026,65f76980d37c2ab9b9881e39,the-hoodoos,https://watch.plex.tv/movie/the-hoodoos,Recently Released in Horror
The Leaching,movie,2026,658678e8a6817b5bf4aaed64,the-leaching-2026,https://watch.plex.tv/movie/the-leaching-2026,Recently Released in Horror
The Ouija Experiment,movie,2011,5d776a39ad5437001f7762d0,the-ouija-experiment,https://watch.plex.tv/movie/the-ouija-experiment,Surprise Me
The Shards,clip,2026,6a581fa574334e7b4fe17ef7,the-shards-1,https://watch.plex.tv/show/the-shards-1,Trending Horror Trailers
The Slumber Party Massacre,clip,1982,6204247a57753c02432a96bb,the-slumber-party-massacre,https://watch.plex.tv/movie/the-slumber-party-massacre,Trending Horror Trailers
The Trepidation: Deadest Night,movie,2026,69c44ec9628ab5bf5db09b6d,the-trepidation-deadest-night,https://watch.plex.tv/movie/the-trepidation-deadest-night,Recently Released in Horror
The Withering,movie,2026,68c60440f95873cf974720c3,the-withering-2026,https://watch.plex.tv/movie/the-withering-2026,Recently Released in Horror
The Witness,movie,2026,6a56223ff081a6f219705fb3,the-witness-2026-2,https://watch.plex.tv/movie/the-witness-2026-2,Recently Released in Horror
Thingy,movie,2026,66928832bb02d52ce03135bd,thingy,https://watch.plex.tv/movie/thingy,Recently Released in Horror
Time of Death,clip,2025,6a50ee60b21b3c9c362038f5,time-of-death-2025,https://watch.plex.tv/movie/time-of-death-2025,Trending Horror Trailers
Tomb of Torture,movie,1963,5d776aef96b655001fdfddc8,tomb-of-torture,https://watch.plex.tv/movie/tomb-of-torture,Trending in Horror
Tú eres el siguiente,movie,2011,5d7768cf9ab54400214ebba3,youre-next,https://watch.plex.tv/movie/youre-next,Trending in Horror|Available on Plex
"Uktena, the Horned Monstrosity",movie,2021,631a14b5ec4519623b66ddbb,uktena-the-horned-monstrosity-2021,https://watch.plex.tv/movie/uktena-the-horned-monstrosity-2021,Trending in Horror
Un lugar tranquilo 2,movie,2021,5d77704631d95e001f19d8a0,a-quiet-place-part-ii,https://watch.plex.tv/movie/a-quiet-place-part-ii,Fan Favorites in Horror
Under the Skin,clip,2013,620421cf62bd5ea2f9a7d6d1,under-the-skin,https://watch.plex.tv/movie/under-the-skin,Trending Horror Trailers
Undertone: Frecuencia maldita,movie,2026,67dd4b1d5e267cdf808eada4,undertone-2026,https://watch.plex.tv/movie/undertone-2026,Surprise Me
Vagina dentada,clip,2008,6204241835c39fdd484f8496,teeth,https://watch.plex.tv/movie/teeth,Trending Horror Trailers
Vagina dentada,movie,2008,5d776839880197001ec94464,teeth,https://watch.plex.tv/movie/teeth,Trending in Horror
Ven con papá,clip,2019,6204228130a0d8303016db4c,come-to-daddy,https://watch.plex.tv/movie/come-to-daddy,Trending Horror Trailers
Victorian Psycho,movie,2026,672c9c61e29ddef3c0478f22,victorian-psycho-2026,https://watch.plex.tv/movie/victorian-psycho-2026,Coming Soon in Horror
Viejos,movie,2023,601e63ae7792a6002ce4649e,the-elderly-2023,https://watch.plex.tv/movie/the-elderly-2023,Surprise Me
Voodoo Man,movie,1944,5d77685685719b001f3a975b,voodoo-man,https://watch.plex.tv/movie/voodoo-man,Surprise Me
Watchful Eyes,movie,2026,6546b2eab1b8766e924d98c7,watchful-eyes-2026,https://watch.plex.tv/movie/watchful-eyes-2026,Recently Released in Horror
Weapons,movie,2025,63dea40e697de1e45df3f50e,weapons-2025,https://watch.plex.tv/movie/weapons-2025,Most Watchlisted This Week
Werewolf Game: Crazy Fox,movie,2015,5d776cb7fb0d55001f590876,werewolf-game-crazy-fox-2015-1,https://watch.plex.tv/movie/werewolf-game-crazy-fox-2015-1,Trending in Horror
Witch,clip,2024,66209d9b069af3687381c89d,witch-2024,https://watch.plex.tv/movie/witch-2024,Trending Horror Trailers
Wolf Creek,movie,2005,5d776d10fb0d55001f596235,wolf-creek,https://watch.plex.tv/movie/wolf-creek,Available on Plex
Wormtown,movie,2025,65ca6838b322339913bdb311,wormtown-2025,https://watch.plex.tv/movie/wormtown-2025,Surprise Me
Wrong Side of Dead,movie,2026,5f40d839bf3e560040d7b5b4,wrong-side-of-dead,https://watch.plex.tv/movie/wrong-side-of-dead,Recently Released in Horror
Wrong Turn. Sendero al infierno,clip,2021,6204272d35c39fdd4850012d,wrong-turn-2021,https://watch.plex.tv/movie/wrong-turn-2021,Trending Horror Trailers
Wrong Turn. Sendero al infierno,movie,2021,5ddba9e760a97e001f5d095d,wrong-turn-2021,https://watch.plex.tv/movie/wrong-turn-2021,Trending in Horror|Most Watchlisted This Week
"Yo, Frankenstein",movie,2014,5d776908594b2b001e69b284,i-frankenstein,https://watch.plex.tv/movie/i-frankenstein,Available on Plex
Zona Cero,clip,2026,6a4592671309ac2a7cb3560c,colony-2026,https://watch.plex.tv/movie/colony-2026,Trending Horror Trailers
¡Nop!,movie,2022,5e16338fbc1372003ea68ab3,nope-2022,https://watch.plex.tv/movie/nope-2022,Fan Favorites in Horror
