id,title,year,imdb_id,tmdb_genres,imdb_titleType,flag_tmdb_tv_movie,flag_imdb_tv_type
26245,Dark Prince: The True Story of Dracula,2000,tt0240793,"Horror, TV Movie",tvMovie,1,1
26301,The Hunt for the BTK Killer,2005,tt0475302,"Crime, Drama, Horror, Thriller, TV Movie",tvMovie,1,1
26702,Devil Dog: The Hound of Hell,1978,tt0077429,"Horror, TV Movie",tvMovie,1,1
26894,Saint Sinner,2002,tt0313016,"Fantasy, Horror, Science Fiction, TV Movie",tvMovie,1,1
26962,Puppet Master vs Demonic Toys,2004,tt0431340,Horror,tvMovie,0,1
27482,Burial of the Rats,1995,tt0112599,"Horror, TV Movie",tvMovie,1,1
27546,The Wasp Woman,1995,tt0114896,"Horror, Thriller, TV Movie",tvMovie,1,1
27769,Sometimes They Come Back,1991,tt0102960,"Horror, TV Movie",tvMovie,1,1
27829,Emmanuelle vs. Dracula,2004,tt0428488,Horror,tvEpisode,0,1
28248,Copperhead,2008,tt1027806,"Action, Horror, TV Movie, Western",tvMovie,1,1
28381,Cruise Into Terror,1978,tt0077382,"Horror, Thriller, TV Movie",tvMovie,1,1
28505,Cry of the Winged Serpent,,tt0857208,,tvMovie,0,1
28509,Komodo vs. Cobra,2005,tt0455583,"Horror, Science Fiction, TV Movie",tvMovie,1,1
28589,id 28589,,tt0120270,,tvMovie,0,1
28593,The Haunting of Sorority Row,2007,tt1110048,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
28594,The Rats,2002,tt0282418,"Horror, Science Fiction, TV Movie",tvMovie,1,1
28684,Ring of Darkness,2004,tt0372803,Horror,tvMovie,0,1
28686,War Wolves,2009,tt1278153,Horror,tvMovie,0,1
28760,Crowhaven Farm,1970,tt0065594,"Horror, TV Movie",tvMovie,1,1
29075,"The Horror at 37,000 Feet",1973,tt0068715,"Drama, Horror, TV Movie",tvMovie,1,1
29105,The Savage Bees,1976,tt0075166,"Horror, Thriller, TV Movie",tvMovie,1,1
29293,House of the Dead 2,2006,tt0435665,"Horror, TV Movie",tvMovie,1,1
29296,Psycho Sisters,1974,tt0069292,"Horror, TV Movie",movie,1,0
29489,The Dead Don't Die,1975,tt0071395,"Horror, Thriller, TV Movie",tvMovie,1,1
29792,Fire Serpent,2007,tt0471561,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1
29803,Twilight Zone: Rod Serling's Lost Classics,1994,tt0111520,"Fantasy, Horror, Mystery, Science Fiction, Thriller",tvMovie,0,1
29896,Never Cry Werewolf,2008,tt1135933,Horror,tvMovie,0,1
30203,Star Runners,2009,tt1239459,"Horror, Science Fiction, TV Movie",tvMovie,1,1
30450,The Darkling,2000,tt0255914,Horror,tvMovie,0,1
30554,When a Stranger Calls Back,1993,tt0108556,"Horror, Thriller, TV Movie",tvMovie,1,1
30641,Grizzly Rage,2007,tt0896816,"Horror, Thriller, TV Movie",tvMovie,1,1
30711,Edgar Allan Poe's Buried Alive,1989,tt0099187,"Horror, Thriller, TV Movie",movie,1,0
30737,Mr Jolly Lives Next Door,,tt0095664,,tvEpisode,0,1
30780,Cabin by the Lake,2000,tt0199389,"Horror, TV Movie",tvMovie,1,1
30781,Return to Cabin by the Lake,2001,tt0283974,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
30813,Target Earth,1998,tt0140600,"Horror, Science Fiction",tvMovie,0,1
30931,Dark Night of the Scarecrow,1983,tt0082235,"Horror, TV Movie",tvMovie,1,1
30933,Home for the Holidays,1974,tt0068708,"Horror, Thriller, TV Movie",tvMovie,1,1
30937,Maneaters Are Loose!,1978,tt0077902,"Action, Drama, Horror, Thriller, TV Movie",tvMovie,1,1
30938,Maneater,2007,tt0846713,"Action, Drama, Horror, Thriller",tvMovie,0,1
31012,Cerberus,2005,tt0421121,"Fantasy, Horror",tvMovie,0,1
31013,Earth vs. the Spider,2001,tt0282178,"Horror, Science Fiction",tvMovie,0,1
31428,Someone's Watching Me!,1978,tt0078295,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
31847,Hellhounds,2009,tt1305800,"Adventure, Fantasy, Horror, TV Movie",tvMovie,1,1
32021,The Night Strangler,1973,tt0069002,"Crime, Horror, Mystery, TV Movie",tvMovie,1,1
32219,Blade: House of Chthon,2006,tt0491714,"Action, Horror, TV Movie",tvEpisode,1,1
33326,Phantom Racer,2009,tt1320354,"Action, Horror, Thriller",tvMovie,0,1
33543,Satan's School for Girls,1973,tt0070633,"Horror, Mystery, TV Movie",tvMovie,1,1
33589,Fool's Fire,,tt0210047,,tvMovie,0,1
33826,Death Row,2006,tt0790806,"Crime, Horror",tvMovie,0,1
34072,A Haunting In Connecticut,2002,tt0439602,"Documentary, Horror, Thriller",tvMovie,0,1
34734,Stir of Echoes: The Homecoming,2007,tt0805619,"Horror, Thriller",tvMovie,0,1
35040,Croc,2007,tt1127177,Horror,tvMovie,0,1
35074,Dinoshark,2010,tt1545986,"Horror, Science Fiction, TV Movie",tvMovie,1,1
35429,The Hive,2008,tt1062161,"Horror, Science Fiction",tvMovie,0,1
35608,Intensity,1997,tt0118350,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
35801,Dr. Jekyll and Mr. Hyde,2008,tt1159984,"Drama, Horror, Science Fiction, Thriller",tvMovie,0,1
35891,Mansquito,2005,tt0430334,"Horror, Science Fiction",tvMovie,0,1
35946,The Hollow,2004,tt0367854,Horror,tvMovie,0,1
35978,Pumpkinhead: Ashes to Ashes,2010,tt0780593,"Fantasy, Horror",tvMovie,0,1
35979,Pumpkinhead: Blood Feud,2007,tt0790816,"Fantasy, Horror, TV Movie",tvMovie,1,1
36139,High Plains Invaders,2009,tt1388432,"Horror, Science Fiction, TV Movie, Western",tvMovie,1,1
36560,Golden Years,1991,tt0101206,"Horror, Science Fiction, Thriller, TV Movie",tvSeries,1,1
36622,Caved In: Prehistoric Terror,2006,tt0468461,"Horror, Science Fiction, TV Movie",tvMovie,1,1
36737,Carny,2009,tt1397497,"Horror, Science Fiction, TV Movie",tvMovie,1,1
37017,Deadly Invasion: The Killer Bee Nightmare,1995,tt0112826,"Horror, Science Fiction, Thriller",tvMovie,0,1
37035,Swarmed,2005,tt0437498,"Action, Horror, Thriller, TV Movie",tvMovie,1,1
37254,Mermaid Chronicles Part 1: She Creature,2001,tt0274659,"Fantasy, Horror",tvMovie,0,1
37306,Voodoo Moon,2006,tt0462598,"Drama, Fantasy, Horror",tvMovie,0,1
37376,The Cube,,tt0291118,,tvEpisode,0,1
37434,Devil's Diary,2007,tt1018820,"Drama, Horror",tvMovie,0,1
37440,Monster Ark,2008,tt1101038,"Fantasy, Horror, TV Movie",tvMovie,1,1
37644,All the Kind Strangers,1974,tt0071120,"Horror, Thriller, TV Movie",tvMovie,1,1
37865,Buried Alive,1990,tt0099188,"Horror, Thriller, TV Movie",tvMovie,1,1
37938,Stranger in Our House,1979,tt0078330,"Horror, Mystery, TV Movie",tvMovie,1,1
38330,The Perfect Neighbor,2005,tt0430457,"Drama, Horror, Thriller",tvMovie,0,1
38510,How to Make a Monster,2001,tt0281919,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
38783,Trilogy of Terror,1975,tt0073820,"Horror, Thriller, TV Movie",tvMovie,1,1
39368,Flu Bird Horror,2008,tt1282045,"Horror, Thriller",tvMovie,0,1
39704,KISS Meets the Phantom of the Park,,tt0077788,,tvMovie,0,1
39824,The Sitter,2007,tt0961088,"Horror, Thriller",tvMovie,0,1
39999,Daughter of Darkness,1990,tt0099368,"Horror, TV Movie",tvMovie,1,1
40217,Terminal Invasion,2002,tt0322008,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
40249,They Nest,2000,tt0221633,"Horror, Science Fiction, TV Movie",tvMovie,1,1
40377,Psycho IV: The Beginning,1990,tt0102724,Horror,tvMovie,0,1
40631,Dracula,2006,tt0847161,"Drama, Horror, TV Movie",tvMovie,1,1
41025,Gargoyles,1972,tt0068622,"Fantasy, Horror, TV Movie",tvMovie,1,1
41032,The Stone Tape,1972,tt0069316,"Horror, Science Fiction, TV Movie",tvMovie,1,1
41237,They Are Among Us,2004,tt0417191,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
41302,Zontar: The Thing from Venus,1967,tt0061217,"Horror, Science Fiction, TV Movie",tvMovie,1,1
41540,The Fallen Ones,2005,tt0421199,"Action, Horror, Thriller, TV Movie",tvMovie,1,1
41595,Witch Hunt,1994,tt0111730,"Crime, Horror, Mystery, TV Movie",tvMovie,1,1
42185,Shark Attack,1999,tt0161970,Horror,tvMovie,0,1
42272,The Watch,2008,tt1166118,"Drama, Horror, Mystery, TV Movie",tvMovie,1,1
42280,Warbirds,2008,tt1047544,Horror,tvMovie,0,1
42309,Fear Island,2009,tt1109583,"Horror, Mystery, Thriller",tvMovie,0,1
42462,Daughter of the Mind,1969,tt0064211,"Horror, Thriller, TV Movie",tvMovie,1,1
42901,In the Spider's Web,2007,tt1065092,"Horror, TV Movie",tvMovie,1,1
42905,Kraken: Tentacles of the Deep,2006,tt0486099,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1
43099,Mothman,2010,tt1514425,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
44020,Silent Warnings,2003,tt0348031,"Horror, Science Fiction, Thriller",tvMovie,0,1
44037,Lake Placid 3,2010,tt1499249,"Action, Horror, Science Fiction, Thriller",tvMovie,0,1
44396,Nightmare at the End of the Hall,2008,tt1149606,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
44548,Vipers,2008,tt1152403,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1
44732,Spring Break Shark Attack,2005,tt0450326,"Action, Drama, Horror, Thriller",tvMovie,0,1
44809,Dinocroc vs. Supergator,2010,tt1453409,"Horror, Science Fiction",tvMovie,0,1
44811,Mongolian Death Worm,2010,tt1504443,"Horror, Science Fiction, TV Movie",tvMovie,1,1
45663,The Dunwich Horror,2009,tt1226752,"Action, Horror, Thriller, TV Movie",tvMovie,1,1
45875,Trilogy of Terror II,1996,tt0117966,"Horror, Thriller, TV Movie",tvMovie,1,1
45959,Dark Relic,2010,tt1471156,"Fantasy, Horror, Science Fiction",tvMovie,0,1
46633,Ghostwatch,1992,tt0200659,"Horror, TV Movie",tvMovie,1,1
46803,Curse of the Talisman,2001,tt0275285,"Horror, TV Movie",tvMovie,1,1
46968,The Turn of the Screw,1999,tt0209440,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
47287,Rough Magik,2000,tt0459531,"Horror, Science Fiction",tvMovie,0,1
48333,Hammerhead,2005,tt0459392,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1
48374,Piranha,1995,tt0114137,"Horror, TV Movie",tvMovie,1,1
48397,Beyond Loch Ness,2008,tt0930072,"Horror, Mystery, Science Fiction",tvMovie,0,1
48516,Child of Mine,2005,tt0455924,"Horror, Thriller",tvMovie,0,1
48618,Good Against Evil,1977,tt0076094,"Horror, TV Movie",tvMovie,1,1
48747,Jekyll & Hyde,1990,tt0099875,"Horror, Thriller, TV Movie",tvMovie,1,1
48871,Red: Werewolf Hunter,2010,tt1626201,"Action, Fantasy, Horror, Thriller",tvMovie,0,1
49266,Sand Serpents,2009,tt1319736,"Action, Horror, Thriller",tvMovie,0,1
49353,Snowbeast,1977,tt0076731,Horror,tvMovie,0,1
49354,Moon of the Wolf,1972,tt0068967,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
49396,The Haunted,1991,tt0102007,"Horror, Mystery",tvMovie,0,1
49676,Too Late to Say Goodbye,2009,tt1486861,"Drama, Horror, Mystery, TV Movie",tvMovie,1,1
49804,The Day the World Ended,2001,tt0272575,"Horror, Science Fiction",tvMovie,0,1
49877,Locusts: The 8th Plague,2005,tt0491661,"Drama, Horror",tvMovie,0,1
50288,House of Bones,2010,tt1334536,Horror,tvMovie,0,1
50448,Count Dracula,1977,tt0075882,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
52244,Larva,2005,tt0393421,"Horror, Science Fiction, TV Movie",tvMovie,1,1
52395,Fear,1990,tt0099557,"Horror, Thriller",tvMovie,0,1
52878,Lost Voyage,2001,tt0252649,"Horror, Thriller",tvMovie,0,1
52949,An Evening of Edgar Allan Poe,1970,tt0229371,"Horror, Mystery, TV Movie",movie,1,0
53060,Humanoids from the Deep,,tt0117506,,tvMovie,0,1
53080,Malibu Shark Attack,2009,tt1478325,"Action, Horror, TV Movie",tvMovie,1,1
53245,Yeti: Curse of the Snow Demon,2008,tt0896585,Horror,tvMovie,0,1
53428,Nick Knight,1989,tt0097969,"Crime, Drama, Horror, TV Movie",tvMovie,1,1
53553,The Glow,2002,tt0286653,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
53850,Basilisk: The Serpent King,2006,tt0760306,"Action, Fantasy, Horror, TV Movie",tvMovie,1,1
53869,Webs,2003,tt0346136,"Horror, Science Fiction, Thriller",tvMovie,0,1
53959,Phantom Force,2004,tt0395706,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1
54525,Secrets in the Walls,2010,tt1559359,"Horror, Thriller, TV Movie",tvMovie,1,1
54928,Project Viper,2002,tt0310024,"Horror, Science Fiction",tvMovie,0,1
55186,Fatal Error,,tt0171689,,tvMovie,0,1
55248,Behemoth,2011,tt1566486,"Horror, Science Fiction",tvMovie,0,1
55300,Are You in the House Alone?,,tt0077174,,tvMovie,0,1
55377,Amityville: The Evil Escapes,1989,tt0096808,Horror,tvMovie,0,1
55401,The Deliberate Stranger,1986,tt0090925,"Crime, Drama, Horror, Thriller, TV Movie",tvMiniSeries,1,1
56527,Skeleton Man,2004,tt0372832,"Action, Horror",tvMovie,0,1
56787,Bad Ronald,1974,tt0071186,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
57173,Monsterwolf,2010,tt1535608,"Fantasy, Horror, TV Movie",tvMovie,1,1
57203,Mega Snake,2007,tt0914813,Horror,tvMovie,0,1
57529,Ghost Voyage,2008,tt1144579,"Horror, Science Fiction",tvMovie,0,1
57789,"Double, Double, Toil and Trouble",1993,tt0106763,"Family, Horror, TV Movie",tvMovie,1,1
57948,High Desert Kill,1989,tt0097504,"Horror, Science Fiction, TV Movie",tvMovie,1,1
58752,Don't Look Down,1998,tt0172345,"Horror, Thriller, TV Movie",tvMovie,1,1
58783,Alien Express,,tt0450258,,tvMovie,0,1
58788,Attack of the Sabretooth,2005,tt0443334,Horror,tvMovie,0,1
58791,Bone Eater,2007,tt0796306,Horror,tvMovie,0,1
58798,Chiller,1985,tt0088912,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1
58813,Deathlands,2003,tt0312603,"Horror, Science Fiction, TV Movie",tvMovie,1,1
58816,Deep Shock,2003,tt0310991,"Action, Adventure, Horror, Science Fiction",tvMovie,0,1
58977,Bela Lugosi: The Fallen Vampire,,tt1161456,,tvMovie,0,1
59127,Eye of the Beast,2007,tt0867286,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
59389,Home,2003,tt0396641,"Drama, Horror, TV Movie",tvMovie,1,1
60671,Savage Planet,2007,tt0790746,"Action, Adventure, Horror, Science Fiction",tvMovie,0,1
60950,Scream of the Banshee,2011,tt1548628,"Horror, TV Movie",tvMovie,1,1
61692,The Last Vampyre,,tt0104688,,tvEpisode,0,1
61964,Stepfather 3,1992,tt0105470,"Horror, Thriller, TV Movie",tvMovie,1,1
62433,Spectre,1977,tt0076745,"Horror, TV Movie",tvMovie,1,1
63088,The Eye Creatures,1965,tt0059161,"Horror, Science Fiction, TV Movie",tvMovie,1,1
63517,The Turn of the Screw,2009,tt1577883,"Drama, Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
63706,Mandrake,2010,tt1523367,Horror,tvMovie,0,1
63749,Swamp Shark,2011,tt1684927,"Horror, Thriller",tvMovie,0,1
64086,Deadly Game,,tt0101685,,tvMovie,0,1
64248,Child of Glass,,tt0077325,,tvEpisode,0,1
64806,Something Beneath,2007,tt0896040,"Horror, Science Fiction, TV Movie",tvMovie,1,1
65823,Slayer,2006,tt0760186,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1
66475,Mr. Stitch,,tt0113864,,tvMovie,0,1
67055,Black Rain,2009,tt1332033,"Action, Horror, TV Movie",tvMovie,1,1
67302,Ants,1977,tt0076214,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
67744,The Spell,1977,tt0076747,"Horror, TV Movie",tvMovie,1,1
68133,The Norliss Tapes,1973,tt0070458,"Horror, Thriller, TV Movie",tvMovie,1,1
68418,The Screwfly Solution,2006,tt0833098,"Horror, TV Movie",tvEpisode,1,1
68572,Possessed,2000,tt0195165,Horror,tvMovie,0,1
69075,Snakeman,2005,tt0454953,"Adventure, Horror, TV Movie",tvMovie,1,1
69266,Special Bulletin,,tt0086350,,tvMovie,0,1
70024,Bats: Human Harvest,2007,tt0482163,Horror,tvMovie,0,1
70046,Grave Secrets: The Legacy of Hilltop Drive,1992,tt0104365,"Horror, TV Movie",tvMovie,1,1
70177,Secrets of the Summer House,2008,tt1277733,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
70740,Goblin,2010,tt1512310,"Fantasy, Horror, Science Fiction",tvMovie,0,1
70772,Don't Look Under the Bed,1999,tt0208101,"Family, Horror, TV Movie",tvMovie,1,1
71147,The Triangle,,tt0271237,,tvMovie,0,1
71377,Midnight Offerings,1981,tt0082745,"Horror, TV Movie",tvMovie,1,1
71479,Werewolves: The Dark Survivors,,tt1525474,,tvMovie,0,1
71511,Medium Raw,2010,tt0886515,"Fantasy, Horror, Thriller",tvMovie,0,1
71550,The Sight,2000,tt0262001,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
71556,S.S. Doomtrooper,2006,tt0795457,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1
71628,Roadkill,2011,tt1637713,"Horror, Thriller, TV Movie",tvMovie,1,1
71944,How Awful About Allan,,tt0065858,,tvMovie,0,1
72111,The Ghost of Flight 401,,tt0077610,,tvMovie,0,1
72270,Cry Baby Lane,2000,tt0221097,"Drama, Horror, TV Movie",tvMovie,1,1
72859,Ghost Town,2009,tt1421035,"Horror, Science Fiction, Western",tvMovie,0,1
72869,Spirit,2001,tt0292698,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1
72909,Předtucha,2005,tt0385961,"Horror, TV Movie",tvMovie,1,1
73336,Buried Alive II,1997,tt0118800,"Horror, Thriller",tvMovie,0,1
74328,Ice Road Terror,2011,tt1657285,"Action, Horror",tvMovie,0,1
74539,Killer Mountain,,tt1728638,,tvMovie,0,1
74837,In the Year 2889,1969,tt0060536,"Horror, Science Fiction, TV Movie",tvMovie,1,1
75191,Morlocks,2011,tt2014296,"Horror, Science Fiction",tvMovie,0,1
75305,Derren Brown: Séance,,tt0413946,,tvSpecial,0,1
75735,Zombie Apocalypse,2011,tt1876547,"Action, Horror, Science Fiction",tvMovie,0,1
76159,Killer Bash,2005,tt0431193,Horror,tvMovie,0,1
76168,The Demon Murder Case,1983,tt0085422,"Horror, TV Movie",tvMovie,1,1
76656,Bugs,2003,tt0350663,"Horror, Science Fiction",tvMovie,0,1
78239,Full Eclipse,1993,tt0106980,"Action, Horror, TV Movie",tvMovie,1,1
78509,Rage of the Yeti,2011,tt2082408,Horror,tvMovie,0,1
78555,Possessing Piper Rose,,tt2007430,,tvMovie,0,1
79190,Jabberwock Dragon Siege,,tt1734203,,tvMovie,0,1
80385,The Hunchback of Notre Dame,,tt0084100,,tvMovie,0,1
80577,Terror Out of the Sky,1978,tt0080007,"Drama, Horror",tvMovie,0,1
80657,The Perfect Bride,1991,tt0102652,"Drama, Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
81009,Invitation to Hell,1984,tt0087480,"Horror, Mystery, Science Fiction, TV Movie",tvMovie,1,1
81384,Shadow Zone: The Undead Express,1996,tt0117613,"Drama, Fantasy, Horror, Science Fiction",tvMovie,0,1
83101,Ghouls,2008,tt1069228,"Fantasy, Horror",tvMovie,0,1
83188,Camel Spiders,2011,tt1618372,"Fantasy, Horror, Science Fiction",tvMovie,0,1
83579,The Hound of the Baskervilles,1983,tt0085692,"Crime, Horror, Mystery, TV Movie",tvMovie,1,1
83822,The Tower,1985,tt0764666,"Crime, Horror, Mystery, Science Fiction, Thriller",tvMovie,0,1
83842,Curse of the Black Widow,1977,tt0075900,"Horror, TV Movie",tvMovie,1,1
83938,Scream: The Inside Story,,tt1785550,,tvMovie,0,1
84359,Not Like Us,1995,tt0114003,"Horror, Science Fiction",tvMovie,0,1
84898,Dead of Night,1977,tt0075917,"Horror, Mystery, Science Fiction, Thriller, TV Movie",tvMovie,1,1
84982,Deadly Lessons,1983,tt0085410,"Horror, Thriller, TV Movie",tvMovie,1,1
85190,No Place to Hide,1981,tt0082821,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
85195,Don't Go to Sleep,1982,tt0083844,"Horror, TV Movie",tvMovie,1,1
85201,Till Death Do Us Part,1982,tt0084795,"Horror, Romance, Thriller",tvMovie,0,1
85483,Something Evil,1972,tt0069298,"Drama, Horror, TV Movie",tvMovie,1,1
86131,Child of Rage,1992,tt0103955,"Drama, Horror",tvMovie,0,1
86571,Curse of Bigfoot,1978,tt0074365,"Horror, TV Movie",tvMovie,1,1
86598,The UFO Incident,,tt0073834,,tvMovie,0,1
86793,Trapped,1989,tt0098507,"Horror, Thriller, TV Movie",tvMovie,1,1
86889,Dracula,1974,tt0070003,"Drama, Horror, TV Movie",tvMovie,1,1
86973,Disappearance,2002,tt0311018,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1
87846,The Haunting of Lisa,1996,tt0113272,"Drama, Horror, TV Movie",tvMovie,1,1
87895,Satan’s Triangle,1979,tt0073662,"Horror, Mystery, TV Movie",tvMovie,1,1
88357,Shock Chamber,1985,tt0350119,"Horror, TV Movie",tvMovie,1,1
88424,Sexual Witchcraft,,tt1777591,,tvMovie,0,1
89337,Blood Ties,1991,tt0101477,"Horror, Thriller",tvMovie,0,1
90391,When Michael Calls,1972,tt0067977,"Horror, Thriller, TV Movie",tvMovie,1,1
90831,Locusts,2005,tt0452640,"Action, Horror, Science Fiction",tvMovie,0,1
90840,Manticore,2005,tt0417943,"Action, Fantasy, Horror, Science Fiction, TV Movie",tvMovie,1,1
91408,Nails,,tt0104966,,tvMovie,0,1
