id,title,year,vote_count,imdb_id,reason
346672,Underworld: Blood Wars,2016,3221,tt3717252,tmdb_vote_count_gt_100
805,Rosemary's Baby,1968,3211,tt0063522,tmdb_vote_count_gt_100
758323,The Pope's Exorcist,2023,3211,tt13375076,tmdb_vote_count_gt_100
9286,Final Destination 3,2006,3174,tt0414982,tmdb_vote_count_gt_100
631842,Knock at the Cabin,2023,3132,tt15679400,tmdb_vote_count_gt_100
9392,The Descent,2005,3123,tt0435625,tmdb_vote_count_gt_100
4233,Scream 2,1997,3103,tt0120082,tmdb_vote_count_gt_100
343674,Gerald's Game,2017,3103,tt3748172,tmdb_vote_count_gt_100
764,The Evil Dead,1981,3093,tt0083907,tmdb_vote_count_gt_100
65086,The Woman in Black,2012,3088,tt1596365,tmdb_vote_count_gt_100
631843,Old,2021,3080,tt10954652,tmdb_vote_count_gt_100
7340,Carrie,1976,3055,tt0074285,tmdb_vote_count_gt_100
16871,Drag Me to Hell,2009,3052,tt1127180,tmdb_vote_count_gt_100
298250,Jigsaw,2017,3044,tt3348730,tmdb_vote_count_gt_100
663,Saw IV,2007,3038,tt0890870,tmdb_vote_count_gt_100
1690,Hostel,2005,3023,tt0450278,tmdb_vote_count_gt_100
277685,Unfriended,2014,2994,tt3713166,tmdb_vote_count_gt_100
574475,Final Destination Bloodlines,2025,2961,tt9619824,tmdb_vote_count_gt_100
1032823,Trap,2024,2914,tt26753003,tmdb_vote_count_gt_100
1992,Planet Terror,2007,2881,tt1077258,tmdb_vote_count_gt_100
521029,Annabelle Comes Home,2019,2870,tt8350360,tmdb_vote_count_gt_100
72331,Abraham Lincoln: Vampire Hunter,2012,2855,tt1611224,tmdb_vote_count_gt_100
280092,Insidious: Chapter 3,2015,2833,tt3195644,tmdb_vote_count_gt_100
340102,The New Mutants,2020,2819,tt4682266,tmdb_vote_count_gt_100
49730,Red Riding Hood,2011,2817,tt1486185,tmdb_vote_count_gt_100
11917,Saw V,2008,2815,tt1132626,tmdb_vote_count_gt_100
55779,Final Destination 5,2011,2809,tt1622979,tmdb_vote_count_gt_100
41446,Scream 4,2011,2801,tt1262416,tmdb_vote_count_gt_100
256274,"As Above, So Below",2014,2774,tt2870612,tmdb_vote_count_gt_100
384521,The Cloverfield Paradox,2018,2774,tt2548396,tmdb_vote_count_gt_100
157433,Pet Sematary,2019,2765,tt0837563,tmdb_vote_count_gt_100
1226578,Longlegs,2024,2750,tt23468450,tmdb_vote_count_gt_100
756999,The Black Phone,2022,2736,tt7144666,tmdb_vote_count_gt_100
1138194,Heretic,2024,2728,tt28015403,tmdb_vote_count_gt_100
1100988,28 Years Later,2025,2701,tt10548174,tmdb_vote_count_gt_100
19912,The Final Destination,2009,2670,tt1144884,tmdb_vote_count_gt_100
4234,Scream 3,2000,2664,tt0134084,tmdb_vote_count_gt_100
