id,title,year,imdb_id,tmdb_genres,imdb_titleType,flag_tmdb_tv_movie,flag_imdb_tv_type,reason
27546,The Wasp Woman,1995,tt0114896,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
27769,Sometimes They Come Back,1991,tt0102960,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
27829,Emmanuelle vs. Dracula,2004,tt0428488,Horror,tvEpisode,0,1,tv_horror_tmdb_or_imdb
28248,Copperhead,2008,tt1027806,"Action, Horror, TV Movie, Western",tvMovie,1,1,tv_horror_tmdb_or_imdb
28381,Cruise Into Terror,1978,tt0077382,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
28505,Cry of the Winged Serpent,,tt0857208,,tvMovie,0,1,tv_horror_tmdb_or_imdb
28509,Komodo vs. Cobra,2005,tt0455583,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
28589,id 28589,,tt0120270,,tvMovie,0,1,tv_horror_tmdb_or_imdb
28593,The Haunting of Sorority Row,2007,tt1110048,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
28594,The Rats,2002,tt0282418,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
28684,Ring of Darkness,2004,tt0372803,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
28686,War Wolves,2009,tt1278153,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
28760,Crowhaven Farm,1970,tt0065594,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
29075,"The Horror at 37,000 Feet",1973,tt0068715,"Drama, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
29105,The Savage Bees,1976,tt0075166,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
29293,House of the Dead 2,2006,tt0435665,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
29296,Psycho Sisters,1974,tt0069292,"Horror, TV Movie",movie,1,0,tv_horror_tmdb_or_imdb
29489,The Dead Don't Die,1975,tt0071395,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
29792,Fire Serpent,2007,tt0471561,"Action, Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
29803,Twilight Zone: Rod Serling's Lost Classics,1994,tt0111520,"Fantasy, Horror, Mystery, Science Fiction, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
29896,Never Cry Werewolf,2008,tt1135933,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
30203,Star Runners,2009,tt1239459,"Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30450,The Darkling,2000,tt0255914,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
30554,When a Stranger Calls Back,1993,tt0108556,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30641,Grizzly Rage,2007,tt0896816,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30711,Edgar Allan Poe's Buried Alive,1989,tt0099187,"Horror, Thriller, TV Movie",movie,1,0,tv_horror_tmdb_or_imdb
30737,Mr Jolly Lives Next Door,,tt0095664,,tvEpisode,0,1,tv_horror_tmdb_or_imdb
30780,Cabin by the Lake,2000,tt0199389,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30781,Return to Cabin by the Lake,2001,tt0283974,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30813,Target Earth,1998,tt0140600,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
30931,Dark Night of the Scarecrow,1983,tt0082235,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30933,Home for the Holidays,1974,tt0068708,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30937,Maneaters Are Loose!,1978,tt0077902,"Action, Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
30938,Maneater,2007,tt0846713,"Action, Drama, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
31012,Cerberus,2005,tt0421121,"Fantasy, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
31013,Earth vs. the Spider,2001,tt0282178,"Horror, Science Fiction",tvMovie,0,1,tv_horror_tmdb_or_imdb
31428,Someone's Watching Me!,1978,tt0078295,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
31847,Hellhounds,2009,tt1305800,"Adventure, Fantasy, Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
