id,imdb_id,title,year,tmdb_genres,imdb_genres,titleType,reason
323665,tt3727982,Ava's Possessions,2015,"Horror, Mystery, Science Fiction, Thriller","Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
325157,tt3377670,Haunters,,,"Comedy, Documentary, Horror",movie,imdb_Comedy_not_tmdb_Comedy
325617,tt38941656,Lisa Cook's Deadly Workout,,,"Comedy, Horror, Short",video,imdb_Comedy_not_tmdb_Comedy
330173,tt0021923,The Gorilla,1930,,"Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
331352,tt4980812,Playing with Dolls: Bloodlust,2016,Horror,"Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
331446,tt3899796,Sharknado 3: Oh Hell No!,,,"Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
331706,tt3686878,The Sins of Dracula,2014,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
332285,tt3333870,Antibirth,2016,Horror,"Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
332689,tt4145836,Playing with Dolls,2015,Horror,"Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
333742,tt0492874,Casting the Runes,1979,"Horror, Mystery, Thriller, TV Movie","Comedy, Drama",tvEpisode,imdb_Comedy_not_tmdb_Comedy
333862,tt4163042,Bee Sting,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
334748,tt2300552,Auteur,2015,Horror,"Comedy, Drama, Horror",movie,imdb_Comedy_not_tmdb_Comedy
334986,tt2170114,Heaven is Hell,2014,"Action, Horror, Science Fiction","Action, Comedy, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
335409,tt3403194,Sharkansas Women's Prison Massacre,2015,"Action, Horror, Science Fiction, TV Movie","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
335512,tt0021907,The Ghost Train,1931,,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
335656,tt4045414,Pure Bloodlines: Bloods Thicker Than Water,,,"Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
336560,tt4497416,Lake Placid vs. Anaconda,2015,"Action, Horror","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
337256,tt2736876,id 337256,,,"Animation, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
338598,tt3526622,Slay Belles,2018,"Adventure, Horror","Adventure, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
339644,tt1206339,Terror in the Pharaoh's Tomb,2007,Horror,"Adventure, Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
340855,tt3959690,Raiders of the Lost Shark,2015,Horror,"Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
342927,tt4685096,3-Headed Shark Attack,2015,"Action, Horror, Science Fiction","Action, Adventure, Comedy",video,imdb_Comedy_not_tmdb_Comedy
343097,tt4566574,Mega Shark vs. Kolossus,2015,"Action, Horror, Mystery, Science Fiction, Thriller","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
344088,tt0061611,Eat Your Makeup,,,Comedy,movie,imdb_Comedy_not_tmdb_Comedy
344147,tt3292154,Sharktopus vs. Whalewolf,,,"Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
344885,tt0129921,Fanny Hill Meets Dr. Erotico,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
346043,tt0075282,Summer of Secrets,1976,"Drama, Horror, Mystery, Science Fiction","Comedy, Mystery, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
346093,tt4699624,KillerSaurus,2015,"Horror, Science Fiction","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
347064,tt3469284,Jurassic Prey,2015,"Action, Horror, Science Fiction","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
347847,tt3399484,The Sand,2015,Horror,"Comedy, Horror, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
347973,tt3283698,My Bloody Banjo,2015,Horror,"Comedy, Fantasy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
348168,tt0418251,TrashHouse,2005,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
348784,tt0310933,Cryptz,2002,Horror,"Action, Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
349135,tt4443784,Roboshark,,,"Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
353800,tt0439732,Night Visitors,,,"Comedy, Thriller",video,imdb_Comedy_not_tmdb_Comedy
354108,tt0245918,Girl Explores Girl: The Alien Encounter,,,"Comedy, Sci-Fi",video,imdb_Comedy_not_tmdb_Comedy
355854,tt0192339,Mutant Man,1996,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
359056,tt4483960,Primordial,2015,"Drama, Horror, Thriller","Comedy, Crime, Drama",movie,imdb_Comedy_not_tmdb_Comedy
359062,tt2262325,Theatre of the Deranged II,,,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
360924,tt4011010,Red Billabong,,,"Action, Comedy, Drama",movie,imdb_Comedy_not_tmdb_Comedy
361022,tt2071477,Hush Up Sweet Charlotte,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
362229,tt4801352,She Kills,2016,"Action, Horror","Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
364840,tt5818680,A Zombie Croc: Evil Has Been Summoned,2015,Horror,"Action, Adventure, Comedy",video,imdb_Comedy_not_tmdb_Comedy
365712,tt4858722,Slasher Weekend,2015,Horror,"Adventure, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
366210,tt1954961,The Nullarbor Nymph,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
366360,tt0140137,Hellbent,1988,"Drama, Fantasy, Horror, Mystery","Action, Comedy, Drama",movie,imdb_Comedy_not_tmdb_Comedy
370381,tt2932530,Bullets for the Dead,2015,"Horror, Western","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
372581,tt3980840,Snuffet,2014,Horror,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
374052,tt3908142,The Love Witch,2016,"Fantasy, Horror, Romance","Comedy, Horror, Romance",movie,imdb_Comedy_not_tmdb_Comedy
377448,tt1267299,The Rocky Horror Picture Show: Let's Do the Time Warp Again,,,"Comedy, Horror, Musical",tvMovie,imdb_Comedy_not_tmdb_Comedy
377779,tt0387661,Urban Scumbags vs. Countryside Zombies,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
378017,tt3390550,The Barn,2016,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
379322,tt2440228,Night of the Dead,,,"Action, Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
381063,tt5128826,The Alchemist Cookbook,2016,"Drama, Horror","Comedy, Drama, Horror",movie,imdb_Comedy_not_tmdb_Comedy
382437,tt4514660,Terror Birds,2016,"Horror, Science Fiction","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
385320,tt5340882,Zoombies,2016,"Action, Horror, Science Fiction","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
386123,tt5307698,Bigfoot vs. Zombies,2016,Horror,"Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
387396,tt3120314,Shark Exorcist,2015,Horror,"Comedy, Fantasy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
387494,tt2189858,The Freakshow Apocalypse,2007,Horror,"Action, Comedy, Crime",movie,imdb_Comedy_not_tmdb_Comedy
387501,tt2769828,Peelers,2016,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
387660,tt4155680,DinoGator,2024,"Action, Horror","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
390833,tt5095208,Dickshark,,,"Comedy, Horror, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
391625,tt0490968,Heather and Puggly Crucify the Devil,,,Comedy,video,imdb_Comedy_not_tmdb_Comedy
391975,tt4932244,2 Lava 2 Lantula!,2016,"Horror, Science Fiction, Thriller","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
393511,tt3603104,Blood Sombrero,2016,"Action, Horror","Action, Comedy, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
393643,tt4030898,Arachnicide,2014,"Action, Horror, Science Fiction","Action, Comedy, Horror",tvMovie,imdb_Comedy_not_tmdb_Comedy
395948,tt5325492,Are We Not Cats,2018,"Horror, Romance","Comedy, Horror, Romance",movie,imdb_Comedy_not_tmdb_Comedy
398096,tt2751140,Freshwater,2016,"Action, Adventure, Horror, Thriller","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
398765,tt5703038,Monsterland,2016,"Fantasy, Horror, Thriller","Comedy, Fantasy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
398881,tt0304694,The Sexy Sixth Sense,,,"Comedy, Fantasy",video,imdb_Comedy_not_tmdb_Comedy
401066,tt2322932,The Hunted,,,"Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
401432,tt0131260,Dead End,1985,Horror,"Comedy, Horror, Thriller",video,imdb_Comedy_not_tmdb_Comedy
402516,tt5636234,Sharkenstein,2016,"Horror, Thriller","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
402726,tt2733362,Frankenstein the Rapist,,,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
404489,tt5869032,Atmo HorroX,2016,"Horror, Science Fiction","Comedy, Horror, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
404947,tt5481984,Sinister Squad,2016,"Action, Fantasy, Horror","Action, Comedy, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
406445,tt0770068,A Photograph,1977,"Drama, Horror","Comedy, Drama, Horror",tvEpisode,imdb_Comedy_not_tmdb_Comedy
406625,tt3620846,Happy Birthday,2016,"Horror, Thriller","Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
407460,tt2981254,Deadly Punkettes,2014,"Drama, Horror, Thriller","Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
407620,tt5828640,Planet of the Sharks,2016,"Action, Horror, Science Fiction","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
407624,tt5899100,Saltwater,,,"Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
407626,tt5606742,Ozark Sharks,2016,"Action, Horror, Science Fiction, TV Movie","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
407627,tt5901326,Ice Sharks,2016,"Action, Adventure, Horror, Science Fiction, TV Movie","Action, Adventure, Comedy",tvMovie,imdb_Comedy_not_tmdb_Comedy
