old_id,title,original_title,year,runtime,stored_path,status,new_kind,new_id,new_title,new_year,new_poster_path,new_url,candidates_n,in_corpus_already,note,gate,gate_note,live_new_title,live_new_poster,live_new_year
862750,Be Careful What You Wish For,Be Careful What You Wish For,2020,2,/jbeiRPtcX1TsYNfRSemAuOfle57.jpg,high,movie,681429,Be Careful What You Wish For,2020,/lG6Wx5tWOEHkOuexEvNYha3ofvM.jpg,https://www.themoviedb.org/movie/681429,1,0,year_exact,ACCEPT,ok;genres=Horror,Be Careful What You Wish For,/lG6Wx5tWOEHkOuexEvNYha3ofvM.jpg,2020
873355,Escape of Shark,鲨口逃生,2021,78,/bzG6HMZAHmugOBE9fkOpOxOZkpa.jpg,high,movie,862565,Escape of Shark,2021,/6Z1GhrjCcUt4u6D8Md0XqC3K6If.jpg,https://www.themoviedb.org/movie/862565,1,0,year_exact,ACCEPT,"ok;genres=Thriller,Action,Horror",Escape of Shark,/6Z1GhrjCcUt4u6D8Md0XqC3K6If.jpg,2021
880863,Knowing Your Enemy,Knowing Your Enemy,2021,6,/gKc4GNLzHKOX0NWdNb76DuEGEr4.jpg,high,movie,1249629,Knowing Your Enemy,2021,/7XuHIyaLBz6HwLNYhQoU5xeGEHC.jpg,https://www.themoviedb.org/movie/1249629,1,0,year_exact,ACCEPT,"ok;genres=Animation,Horror",Knowing Your Enemy,/7XuHIyaLBz6HwLNYhQoU5xeGEHC.jpg,2021
894717,Ignore It,Ignore It,2021,7,/1FAsXa0AKq1o0D8kOf23JBVw8tH.jpg,high,movie,1202428,Ignore It,2021,/4aE3pmd2wCWZcpqFgZ4xAd5rWRj.jpg,https://www.themoviedb.org/movie/1202428,1,0,year_exact,ACCEPT,"ok;genres=Horror,Mystery",Ignore It,/4aE3pmd2wCWZcpqFgZ4xAd5rWRj.jpg,2021
928127,Bad News,Bad News,2020,14,/1xrbAGbN0xHmHCJFBmwqIky8yiO.jpg,high,movie,799246,Bad News,2020,/ysVIYsPcZtUV6dQkZe2fbwwmq35.jpg,https://www.themoviedb.org/movie/799246,1,0,year_exact,ACCEPT,ok;genres=Comedy,Bad News,/ysVIYsPcZtUV6dQkZe2fbwwmq35.jpg,2020
936845,Aliens: Ride at the Speed of Fright,Aliens: Ride at the Speed of Fright,1994,8,/wvQw0FPEc8qf21HAc84tEMtQbFF.jpg,high,movie,1437166,Aliens: Ride at the Speed of Fright,1994,/AmvghEtbJiDfGkl5rw9IYlR2jtv.jpg,https://www.themoviedb.org/movie/1437166,1,0,year_exact,ACCEPT,"ok;genres=Action,Science Fiction,Thriller",Aliens: Ride at the Speed of Fright,/AmvghEtbJiDfGkl5rw9IYlR2jtv.jpg,1994
948498,Omi,Omi,2022,3,/6bgcIgCJrKmuFKJbTYkIbqO1eGE.jpg,high,movie,1018092,OMI,2022,/hG3ru4XIxzc5dpbVzH2QMXd6FtH.jpg,https://www.themoviedb.org/movie/1018092,1,0,year_exact,ACCEPT,ok;genres=Comedy,OMI,/hG3ru4XIxzc5dpbVzH2QMXd6FtH.jpg,2022
959905,DEATH OF THE PIANIST,DEATH OF THE PIANIST,2022,7,/1BI81shtSnrzI7r9lXIB4ulfnVc.jpg,high,movie,1503245,Death of the Pianist,2022,/chOitA98cZhB3Kb56mKQxxe09MK.jpg,https://www.themoviedb.org/movie/1503245,1,0,year_exact,ACCEPT,ok;genres=Drama,Death of the Pianist,/chOitA98cZhB3Kb56mKQxxe09MK.jpg,2022
969317,Amygdala,Amygdala,2022,6,/rmyvBLNou2DiBBNmudaFXvgIdaL.jpg,high,movie,1241882,Amygdala,2022,/6pvrp3stSSXtRkdANYze6E0QODl.jpg,https://www.themoviedb.org/movie/1241882,1,0,year_exact,ACCEPT,ok;genres=Horror,Amygdala,/6pvrp3stSSXtRkdANYze6E0QODl.jpg,2022
1019331,The Hands,The Hands,2022,,/vOrWGbICZLLvuKOIq8aNHggG0LO.jpg,high,movie,982305,THE HANDS,2022,/hRx7DFPuDtyoQe73YR9K4FPPzMt.jpg,https://www.themoviedb.org/movie/982305,1,0,year_exact,ACCEPT,ok;genres=Animation,THE HANDS,/hRx7DFPuDtyoQe73YR9K4FPPzMt.jpg,2022
1021572,Portraits of Andrea Palmer,Portraits of Andrea Palmer,2018,74,/88EZgsBcnOCLRcjWZBnlKSHwMbD.jpg,high,movie,536371,Portraits of Andrea Palmer,2018,/j8oQxopF98nTBumRfgpd9b9OckH.jpg,https://www.themoviedb.org/movie/536371,1,0,year_exact,ACCEPT,"ok;genres=Drama,Horror,Thriller",Portraits of Andrea Palmer,/j8oQxopF98nTBumRfgpd9b9OckH.jpg,2018
1025586,Batman: Dead End,Batman: Dead End,2003,8,/8OA3vnWqBxiAZBuYEHLJV7Le2iT.jpg,high,movie,1645251,Batman: Dead End,2003,/vlPfIhKqaW19qyKiLcUPJx0vLU4.jpg,https://www.themoviedb.org/movie/1645251,1,0,year_exact,ACCEPT,ok;genres=,Batman: Dead End,/vlPfIhKqaW19qyKiLcUPJx0vLU4.jpg,2003
