id,title,year,file_path,iso_639_1,vote_average,vote_count,width,height,is_primary
853155,Bad Blood,2021,/mGhe8TO8CSWDSq9t1N9PEMese3f.jpg,en,0.0,0,2000,3000,0
853155,Bad Blood,2021,/tEYO75bZZAPCNOmJoSFcJmZQdLQ.jpg,en,0.0,0,1350,2000,0
853155,Bad Blood,2021,/ndChza4196zQcg7rmwy6sU1ebAM.jpg,en,0.0,0,800,1200,1
200803,Altered Species,2001,/1ki6TnBxlKG81ZbaXvaxEa7BXcK.jpg,en,5.238,0,960,1440,1
200803,Altered Species,2001,/18zduK9buWIrOjTaZeE5xc91uUE.jpg,en,0.0,0,1000,1500,0
200803,Altered Species,2001,/93mzxkyy5kaDM1fXXTL2f7yWdHv.jpg,en,0.0,0,960,1440,0
290696,Dysmorphia,2014,/o06KZiy9YO6zod6UomN9OF9arg3.jpg,,0.0,0,1608,2232,0
290696,Dysmorphia,2014,/2ljxAHBIQKNBgSuLGamPwPKGYBU.jpg,,0.0,0,1536,2048,0
290696,Dysmorphia,2014,/mzphRpi9mQVYUNxGkYYHiaM4Qii.jpg,en,0.0,0,1000,1500,0
290696,Dysmorphia,2014,/squ5018FILEPRPMll9i3JmyaHrU.jpg,en,0.0,0,1000,1500,0
290696,Dysmorphia,2014,/cBt6WsFifGCzxYWATsHE44GX1gs.jpg,en,0.0,0,1000,1500,0
290696,Dysmorphia,2014,/fnwXSQJrVx4GNgLwshmEMU0Q7Yo.jpg,en,0.0,0,1000,1500,0
290696,Dysmorphia,2014,/eUvwLaOeMRdau1UNdGCB2Jngpyz.jpg,en,0.0,0,500,750,1
28930,Live Evil,2009,/fZCS2BHwPhzeTDQKnflUzHPIcHv.jpg,en,3.334,0,1000,1500,1
216139,Burned at the Stake,1981,/qmMaHJxlcOG7ZByHbO3DPR2KUVD.jpg,en,0.0,0,1800,2700,1
216139,Burned at the Stake,1981,/pkIqyBH9snYlgO5p74rZOqnVdYB.jpg,en,0.0,0,1500,2250,0
216139,Burned at the Stake,1981,/ilNuzMpeK5oWcylIfc5qtDc9nXa.jpg,,0.0,0,1000,1500,0
216139,Burned at the Stake,1981,/5OZ4xqffLbksRdUMXulvnp0g7Na.jpg,,0.0,0,524,800,0
216139,Burned at the Stake,1981,/3Bf7YXI9d8cCjMznG71lN62tmqQ.jpg,en,0.0,0,500,750,0
15057,The Evil Woods,2007,/ppMNj9IAzEjQsQCjBloHo9qf6yJ.jpg,,0.0,0,500,750,1
417180,Vacant House,2016,/jNwRbjsHBDDaYqUOqYUMogRx86R.jpg,,0.0,0,1000,1500,0
417180,Vacant House,2016,/ewu8e5WyLE91426VmqgQaoePlRI.jpg,en,0.0,0,750,1000,1
7180,RISEN,2008,/mULRjy8rGqZx9Ql5TTKV4inH9If.jpg,,0.166,1,960,1440,0
7180,RISEN,2008,/vX3uVYYG1YMbZijRoaFSXtNuIO2.jpg,,0.0,0,0,0,1
214680,Convergence,2000,/b15UobERIODyWwjuIGVRKLBLBkO.jpg,en,3.334,1,960,1440,1
35949,Jennifer's Shadow,2004,/emw0TaUE0jyaSuZQw2u0A3L4RMw.jpg,en,0.0,0,1400,2100,1
163543,Shelf Life,2004,/mCwnXpiPIyCMeWnIGVzsdRs6PqW.jpg,en,3.334,1,1000,1500,1
163543,Shelf Life,2004,/75jaF5REzdTuGUTs4fZoNkk0iHZ.jpg,en,0.166,1,600,900,0
595951,Scare BNB,2019,/1b03sF8mTobgMog1oJkXF8j1gBg.jpg,en,1.75,2,500,750,1
164423,Ghost of the Needle,2003,/1LS2hvSXLx7T8CWUgpcUwwBHC46.jpg,,0.0,0,0,0,1
560038,The Occultist 2: Demons,2018,/nvUUpeR44SeBmlHURKaKziwf1BC.jpg,,0.0,0,706,1000,1
385378,Gemini,2014,/7evAzh0JTESI6xlvXx4LW1kimwt.jpg,en,3.334,1,1000,1500,1
385378,Gemini,2014,/bzqJHC48CWmGEJ0CemZ2co9jNSx.jpg,en,0.0,0,1000,1500,0
290732,VIViD,2011,/rRe20MjzhWKVBZMUolgpkEiq4ym.jpg,en,0.0,0,1200,1600,1
290732,VIViD,2011,/bFMzsjoHEWUedYacdwo5wHQMEVq.jpg,en,0.0,0,900,1350,0
290732,VIViD,2011,/hsYfodeQLTPa9YyomOOkga8JHkL.jpg,en,0.0,0,903,1268,0
290732,VIViD,2011,/VirWpx8UbFlKk2LuUIPJrCcBbn.jpg,en,0.0,0,866,1177,0
290732,VIViD,2011,/j9Cz9QLGZAPgkLOwhMVs3gjmaNg.jpg,en,0.0,0,500,750,0
82972,Curio,2010,/fLD3a9bc24ioDcPb2VVwat9HO00.jpg,en,3.334,1,1200,1600,1
82972,Curio,2010,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,,0.0,0,530,750,0
71234,Greed,2006,/iMraYCxCyB4s0IwlLkPtxrbSt2v.jpg,en,0.0,0,1000,1500,1
13276,Deadwater,2008,/tvF4dx3coDHCJrcn0nM38X663fH.jpg,en,0.0,0,1526,2161,1
13276,Deadwater,2008,/1563LI6bmrzyXaGbbwTkAjpR0qA.jpg,,0.0,0,606,900,0
208703,Rufus,2013,/aL7Lqv1iyZ6HAulWDjJvhwJNeIA.jpg,en,3.334,1,500,750,1
208703,Rufus,2013,/4HaHva32h3bZ7UfbQmOhzbGJ0Gb.jpg,en,1.75,2,1300,1950,0
208703,Rufus,2013,/uyC6GVVk4VW2OQ2LaVzJZn4yjR2.jpg,en,0.0,0,1350,1950,0
208703,Rufus,2013,/hNtN4JIFwCRTauHvYkvIsuFgm08.jpg,en,0.0,0,800,1200,0
69117,Unseen Evil 2,2004,/p13XVpFphqj2Dc92ZRUeYdKBWAf.jpg,en,0.0,0,500,750,1
58796,Canes,2006,/9tq55sjFuJ2NNt0IPrigFKSJ0u6.jpg,en,3.334,1,1000,1500,1
58796,Canes,2006,/tXLja1NrO5XP02UlDzer9sYGZSs.jpg,en,0.166,1,1000,1500,0
58796,Canes,2006,/7lsUOQzB8DzCUFRG9uibGJ7Hj2y.jpg,en,0.166,1,960,1440,0
58796,Canes,2006,/5xCEKaeX0TBNDmXqFlJHA1kKYPG.jpg,en,0.0,0,758,1075,0
466677,Dead South,2017,/vHnmv1bA0pv7igjlcXJhYMLtEWD.jpg,en,0.0,0,1500,2250,0
466677,Dead South,2017,/tSWIERDkhExNRGhg1rZYm6R8hJX.jpg,en,0.0,0,664,996,1
215280,Billy Badd,1992,/zJwP5epnNOuna569g2fI9QZeeJ1.jpg,,0.0,0,500,750,1
109703,Cadaver Bay,2003,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg,en,0.0,0,2000,3000,1
223344,Maxie,1973,/b8oVCFTxDwF2m5CQwgqzdpppkIp.jpg,en,3.334,1,700,1050,1
48808,Closet Space,2008,/1iXF33dWixSj6Q0hRIN1NYaFnvi.jpg,,0.0,0,700,995,1
40338,Naked Massacre,1976,/xEB7kJI7Fh9lNRhROpN9mNxrw2K.jpg,en,3.334,1,1907,2639,0
40338,Naked Massacre,1976,/pDjnmgEXxzeiQiGGxT7oA0gEHtx.jpg,en,3.334,1,1290,1956,0
40338,Naked Massacre,1976,/ok7WHby5ATCRjil9amoiblWZMNA.jpg,en,3.334,1,1400,1867,1
40338,Naked Massacre,1976,/eXE7aKB0EokJlrt4sm0MhT86htQ.jpg,en,3.334,1,1205,1808,0
40338,Naked Massacre,1976,/hvvrFwDABKfVFNrOZBGOk2cQcQ1.jpg,en,2.542,4,1000,1500,0
40338,Naked Massacre,1976,/ruAKobycpKaB8MOiAgySaX2bVvx.jpg,en,1.75,2,1907,2639,0
40338,Naked Massacre,1976,/18VtS9OWdmLavbuVIgi4703zGol.jpg,en,1.222,4,600,900,0
40338,Naked Massacre,1976,/2yOTxly7kYalv4RloNNCKGNu1Vy.jpg,en,0.958,4,680,1000,0
40338,Naked Massacre,1976,/i1ElgF6v5avfslWm45s3JjzZbPS.jpg,en,0.5,4,600,900,0
40338,Naked Massacre,1976,/4YRBxo07CKlGFiM7Otp1SBzeael.jpg,en,0.166,1,1205,1808,0
40338,Naked Massacre,1976,/1k0SClPtSUBDh04icSnb148jhQX.jpg,en,0.166,1,1200,1800,0
459220,Shockwave,2016,/csqybkX4q5PcJTkkjmsUpWCdiYU.jpg,,0.0,0,1216,1664,1
465177,Meltdown,2014,/xRtyCI1AcI2igXC0rX2pzm0j1b5.jpg,en,5.238,0,2000,3000,1
465177,Meltdown,2014,/zCWdjTlr8P0CvMPjsRoMuSdskNw.jpg,en,5.238,0,2000,3000,0
465177,Meltdown,2014,/nLhdYJBGmNzS3FpaH5m5M4R2hsq.jpg,,0.0,0,500,750,0
495015,Post Human: An Event,2017,/9ItbiQKPfVxD7UDlzojmx7j6Jic.jpg,en,0.0,0,1566,2231,0
495015,Post Human: An Event,2017,/oPTUY2akVcjNx9HSyuPPOmKhSTq.jpg,en,0.0,0,1000,1500,0
495015,Post Human: An Event,2017,/1zWAZQfZenHUlLvkC3ojQyT1b8V.jpg,en,0.0,0,500,750,1
277506,Invicta,2009,/kaGpoLrYh8EOVu16zJA7iiwXSPw.jpg,,0.0,0,712,1080,1
124046,B.O.R.N.,1989,/trUBdVKkA3K2G1czud2hejVlYGl.jpg,en,3.334,1,1060,1590,1
124046,B.O.R.N.,1989,/eP4EzCF17EEerXMQGCPlqHtdYAV.jpg,en,0.0,0,500,750,0
532813,Sublimate,2017,/Ak9hs6yU4QksKPA2RmBAAwjRq0A.jpg,,0.0,0,682,999,1
526144,Prisoners of the Dead,2011,/3loFRaNrsrvBSaVICYpbtXJd4GB.jpg,,0.0,0,510,763,1
50604,Dark Woods,2010,/5KjHJKWsfwssN1YCPo7u4Tl4l2x.jpg,,0.0,0,527,750,1
549646,Diggerz: Black Lung Rises,2019,/9FMzuQORECkh8rDHCYbQCWoUySo.jpg,en,3.334,1,1200,1600,1
549646,Diggerz: Black Lung Rises,2019,/1Qz3GbFT9Ge0ZIlMJCYw6mt0N95.jpg,en,0.0,0,800,1200,0
549646,Diggerz: Black Lung Rises,2019,/nb9UxBTLWXkl41BufCUwWUSk7oH.jpg,,0.0,0,666,1000,0
144909,Charm,2013,/pS9d7Qz5IjbOzJr1XJPNhuaUm4r.jpg,,0.0,0,1071,1500,1
