id,title,year,vote_count,imdb_id
374706,Season's Greetings,2015,0,tt5248058
376028,Frances Stein,2015,0,tt5156538
387729,Less Than a Whisper,2015,0,tt2402673
394859,Chillers 2,2015,0,tt4875420
399130,Campground: The Requel,2015,0,tt4181278
428923,Take Back the Knife,2015,0,tt4369076
378470,Endor,2016,0,tt4171892
387039,Succubus,2016,0,tt5540058
402189,Hounds of Zaroff,2016,0,tt4523220
419525,Jockstrap Slaughterhouse,2016,0,tt6022812
422943,Death Beach,2016,0,tt5108192
430612,Condo Hell,2016,0,tt3106656
432525,Scattered,2016,0,tt4827246
524619,Behind the Veil,2016,0,tt3314006
689834,The Watchers: The Beginning of Sorrows,2016,0,tt5768458
434230,Disturbed,2017,0,tt3128668
570324,Sara is Missing,2017,0,tt7725562
733638,The Carver,2017,0,tt7054916
551744,Sebastian,2018,0,tt8160748
851717,Mockingbird,2018,0,tt10712982
615582,Respite Care,2019,0,tt4721218
880324,Revenge,2019,0,tt7422674
931922,S.K.B.,2019,0,tt7249672
708660,Zandor and Friends,2020,0,tt12070450
727577,Rats in the Walls,2020,0,tt12767484
759365,In the Shadow It Waits,2020,0,tt13010272
767069,The Adopted One,2020,0,tt10181900
803429,Face to Face with The Fear,2021,0,tt32740897
839394,Outside the Law: The Scanner Cop Revolution,2021,0,tt14735180
857427,The Haunting,2021,0,tt9634958
1123677,Kill Your Babies,2023,0,tt27699682
1214717,Jack the Ripper,2023,0,tt22938188
1249814,The Awakening,2023,0,tt31458712
1301441,House of Dolls,2023,0,tt14049394
1311994,Devils Are We,2023,0,tt28948291
1620126,Paradies,2023,0,tt15127678
1712606,The Ghost Is a Lie,2023,0,tt2309758
1275648,Liminal,2024,0,tt34376464
1290575,Down for the Count,2024,0,tt23038682
1312030,Once Passed On,2024,0,tt32082245
1319023,Ghost Factory,2024,0,tt21443976
1390022,The Damned Lands,2024,0,tt28741346
1449641,The Hereditary,2024,0,tt30872576
1375985,Damsel of the Doomed,2025,0,tt33317769
1487189,Pithan,2025,0,tt37028723
1500517,Jaknife,2025,0,tt36196415
1547520,Amityville Zombies,2025,0,tt37729701
1623640,Pieces of Amy,2025,0,tt8741740
1629250,A Very Don't Get Out Christmas,2025,0,tt38098534
