id,title,year,source,stem,file_path,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,latency_s,error
563466,Mandao of the Dead,2018,variant,3nTi9AEBzBwTET0SD4VlyMUzf0z,posters_multi/563466/3nTi9AEBzBwTET0SD4VlyMUzf0z.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Female:0.96|Woman:0.96|Book:0.92|Publication:0.92,Advertisement,0.9995,0.0,0.0,0.9924,0.0,0.0,0.0,23,44.07,82.37,85.25,#000000:34.7|#191970:19.9|#2f4f4f:15.7|#808080:12.7|#a9a9a9:9.7,0.718,
563466,Mandao of the Dead,2018,variant,b3pvez3w670J7rTKAIIX2lgqG04,posters_multi/563466/b3pvez3w670J7rTKAIIX2lgqG04.jpg,Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Book:0.97|Publication:0.97|Face:0.73|Head:0.73|Portrait:0.73|Advertisement:0.72,Adult,0.9924,0.0,0.0,0.9924,0.0,0.0,0.0,10,0.33,87.55,84.5,#000000:79.9|#bdb76b:6.2|#2f4f4f:6.1|#696969:2.4|#00bfff:2.3,0.685,
563549,Murder In The Woods,2017,variant,rn0be6GyLgJbe1V6sOh232kVgh7,posters_multi/563549/rn0be6GyLgJbe1V6sOh232kVgh7.jpg,Advertisement:1.00|Poster:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Book:0.90|Publication:0.90|Hat:0.89|Bride:0.83,Advertisement,1.0,0.619,0.0,0.9793,0.0,0.0,0.0,12,17.57,81.2,88.25,#000000:63.2|#808080:11.3|#2f4f4f:10.2|#c0c0c0:9.0|#800000:5.7,0.6,
563549,Murder In The Woods,2017,variant,yRCwT8uCQ2HPhb3Erzb1LrryEHW,posters_multi/563549/yRCwT8uCQ2HPhb3Erzb1LrryEHW.jpg,Book:1.00|Publication:1.00|Person:0.97|Advertisement:0.96|Adult:0.95|Female:0.95|Woman:0.95|Axe:0.93|Weapon:0.93|Gun:0.89,Book,0.9998,0.9345,0.0,0.9717,0.0,0.0,0.0,11,41.9,86.05,85.68,#000000:45.4|#2f4f4f:29.3|#bc8f8f:7.7|#e9967a:7.4|#ffd700:5.8,0.622,
563575,Skinford: Chapter 2,2018,variant,dnQRqMY9Gtujp8ZxHOZxBWj9zau,posters_multi/563575/dnQRqMY9Gtujp8ZxHOZxBWj9zau.jpg,Book:1.00|Publication:1.00|Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Face:0.93|Head:0.93|Photography:0.93|Portrait:0.93,Book,0.9999,0.0,0.5197,0.9958,0.0,0.0,0.0,4,46.82,84.5,84.82,#800000:47.0|#000000:26.3|#b22222:13.7|#dcdcdc:7.8|#808080:2.8,1.063,
563575,Skinford: Chapter 2,2018,variant,uFPaYVaAk41bT5usInXMEgyZBzs,posters_multi/563575/uFPaYVaAk41bT5usInXMEgyZBzs.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Publication:0.97|Firearm:0.87|Gun:0.87|Handgun:0.87,Advertisement,1.0,0.8698,0.0,0.9908,0.0,0.0,0.0,5,44.64,82.62,77.83,#800000:53.8|#000000:28.9|#b22222:9.1|#2f4f4f:3.0|#808080:2.5,0.789,
564082,30 Miles from Nowhere,2018,variant,4KbRpO0ifVMt5xInsNLry5mb5KN,posters_multi/564082/4KbRpO0ifVMt5xInsNLry5mb5KN.jpg,Book:1.00|Publication:1.00|Outdoors:1.00|Shelter:1.00|Adult:1.00|Male:1.00|Man:1.00|Person:1.00|Housing:0.98|Bird:0.97,Book,1.0,0.0,0.9688,0.9969,0.0,0.0,0.0,13,41.98,80.09,85.0,#000000:46.6|#2f4f4f:29.3|#2e8b57:10.3|#8fbc8f:6.5|#eee8aa:4.1,0.8,
564082,30 Miles from Nowhere,2018,variant,d5LM4DnbKTxih8JM7Mll1pnxHBN,posters_multi/564082/d5LM4DnbKTxih8JM7Mll1pnxHBN.jpg,Advertisement:1.00|Poster:1.00|Housing:0.96|Book:0.90|Publication:0.90|House:0.87|Cabin:0.58|Outdoors:0.58|Shelter:0.58|Nature:0.56,Advertisement,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0,6.56,80.05,77.91,#000000:75.6|#2f4f4f:15.9|#808080:6.8|#a9a9a9:1.3|#c0c0c0:0.3,0.478,
564082,30 Miles from Nowhere,2018,variant,h1zIIJR5dnPnlGX6TsK9TY8SDnz,posters_multi/564082/h1zIIJR5dnPnlGX6TsK9TY8SDnz.jpg,Housing:1.00|House:0.99|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Cabin:0.98|Cabin In The Woods:0.98|Outdoors:0.97|Shelter:0.97,Housing,0.9991,0.0,0.9554,0.9922,0.0,0.0,0.0,15,40.29,46.56,82.96,#000000:49.2|#2f4f4f:30.4|#2e8b57:10.7|#8fbc8f:6.3|#556b2f:1.8,0.618,
564082,30 Miles from Nowhere,2018,variant,la033FX81LsiIId67AM5SEtVSXt,posters_multi/564082/la033FX81LsiIId67AM5SEtVSXt.jpg,Book:1.00|Publication:1.00|Person:1.00|Outdoors:0.99|Shelter:0.99|Housing:0.98|Bird:0.97|House:0.93|Novel:0.80|Gun:0.79,Book,1.0,0.7877,0.9735,0.9971,0.0,0.0,0.0,13,44.8,83.23,85.37,#000000:43.6|#2f4f4f:30.5|#2e8b57:12.9|#8fbc8f:6.9|#eee8aa:4.8,0.61,
564082,30 Miles from Nowhere,2018,variant,lhiUh9HudEdlXoOix1vwawfFfZG,posters_multi/564082/lhiUh9HudEdlXoOix1vwawfFfZG.jpg,Book:1.00|Publication:1.00|Outdoors:0.99|Shelter:0.99|Bird:0.97|Housing:0.94|Person:0.92|House:0.82|Novel:0.58|Wheel:0.58,Book,1.0,0.0,0.9655,0.9216,0.0,0.0,0.0,11,49.14,83.61,86.8,#2f4f4f:33.9|#000000:30.9|#c0c0c0:12.6|#808080:9.6|#556b2f:8.0,0.602,
