id,title,year,canonical_path,n_posters,n_clusters,n_discarded_variants,changed_from_primary,iso_639_1,vote_average,vote_count
492535,Darkness Wakes,2017,/2FX9OYyzASYXmwzyKyd7sHDVtpZ.jpg,5,3,2,0,en,3.334,1
495015,Post Human: An Event,2017,/1zWAZQfZenHUlLvkC3ojQyT1b8V.jpg,3,2,1,0,en,0.0,0
496586,The Call Girls,2017,/wwxySfIEL0TzNMFXuWCvzM559W5.jpg,1,1,0,0,,0.0,0
502613,M Is for Manure,2013,/7EzEoCRIFNVDwpWRt18xVg1sxrm.jpg,2,1,1,0,en,0.0,0
526144,Prisoners of the Dead,2011,/3loFRaNrsrvBSaVICYpbtXJd4GB.jpg,1,1,0,0,,0.0,0
529744,Princess: Voices from Hell,2017,/gig9VBz0jtxU2DPlbEscHq2pEY4.jpg,3,3,0,0,,0.0,0
531393,Reindeer Games,1996,/39owLICTyBVgXqwkruapLT6tStr.jpg,1,1,0,0,,0.0,0
532813,Sublimate,2017,/Ak9hs6yU4QksKPA2RmBAAwjRq0A.jpg,1,1,0,0,,0.0,0
543901,P.O.E. Pieces of Eldritch (P.O.E. 3),2014,/ifx0vnVrnl5XXLn7phxaXAiXq4i.jpg,2,2,0,0,en,3.334,1
549646,Diggerz: Black Lung Rises,2019,/9FMzuQORECkh8rDHCYbQCWoUySo.jpg,3,2,1,0,en,3.334,1
549703,Girls Just Wanna Have Blood,2020,/2k0XzSVlT4MF3HnuMS85LNCWKsU.jpg,3,3,0,0,en,0.0,0
559928,Heaven's War,2018,/wEKHTGJ5Vc8fKPQXQSOd8egLt0w.jpg,3,3,0,0,en,3.334,1
560038,The Occultist 2: Demons,2018,/nvUUpeR44SeBmlHURKaKziwf1BC.jpg,1,1,0,0,,0.0,0
567331,The Killing House,2018,/3nYNWeluTlZ7MER9LSdxbYH0Kts.jpg,2,2,0,0,en,0.0,0
573966,The Mysterious Uncle Silas,1947,/eZUIGvYJElZbbQ8JSUFbBENocws.jpg,1,1,0,0,,0.0,0
583525,65th,2019,/f30saP9z5ZVJOYfiPV94iB37egS.jpg,3,2,1,0,en,3.334,1
595951,Scare BNB,2019,/1b03sF8mTobgMog1oJkXF8j1gBg.jpg,1,1,0,0,en,1.75,2
601369,The Way She Used to Be,2018,/x4v3mPNgDDI3RZaL1eR5bdSVG1U.jpg,1,1,0,0,en,0.166,0
609616,American Freakshow,2015,/aBQNzx4jr9PraOtglaGR1r8r643.jpg,1,1,0,0,,0.0,0
609627,A Few Screws Loose,2008,/kdgWhdrf1LKyGf0QltoI4IrE1ZJ.jpg,1,1,0,0,,0.0,0
618128,Scavenger Hunt,9999,/fCoG2xrGz4KdxeINmKptoH2CPfJ.jpg,1,1,0,0,,0.0,0
651273,The Pulley by Steven Kwang,2016,/axzbceDYHR2Yf4Ffhna5h1bnJRt.jpg,2,2,0,0,,0.0,0
651448,Darkslide,2016,/tBrm4WCJu2Pybdw63qi2hoQtBSl.jpg,2,2,0,0,en,3.334,1
657343,The Evil Inside Me,1993,/l3brxESYVpBM0i8QbvmkrDwwX6J.jpg,1,1,0,0,,0.0,0
663240,America the Violent,1996,/sYwCpwKIlMPIZsUoCuQXH5yOgsn.jpg,1,1,0,0,en,0.0,0
664168,Fat Ass Zombies,2020,/d2UCD7xwWFKucozkKcKBiCayJC6.jpg,5,5,0,0,en,3.334,1
682779,They Are Here: The Real World of the Poltergeists,2007,/u1pj7A4GRMfWbdbkKYJNkjUKe8c.jpg,1,1,0,0,,0.0,0
708706,Feed Your Head! Lose Your Head!,2020,/3OQ7PgAkum1AxqZfLjjhbvSVDas.jpg,1,1,0,0,,0.0,0
719829,Dark:30,1993,/3Ojqjn3moQPKbqwXMyTAPS5tmxB.jpg,2,1,1,0,,0.166,1
721952,Homecoming Massacre,2020,/wkXu5COdeiBHN7LhYC8aQVeZ0qM.jpg,3,3,0,0,en,0.0,0
724492,Blood Tales,2020,/caendMq5RpkoxJ81jNhGPogz7bd.jpg,1,1,0,0,,0.0,0
725842,Старуха 2,2019,/aFUssdPtU1BNWammo8bf1RSUBr9.jpg,1,1,0,0,en,0.0,0
726741,The Tree Bark Romance,2020,/xAjxlou0qVl0PvwfUBLLXmiCoBc.jpg,1,1,0,0,,3.334,1
729722,Afterward,1983,/2NbFGccdKdhxaO97hKTegMt02yg.jpg,3,3,0,0,en,0.0,0
730407,Bohemian Moon,1999,/tD3lKQ9lk17uON5WS2hDYuo2ijl.jpg,1,1,0,0,,0.0,0
737885,The Test,2021,/jmf80I2U92OVjnLIetUDzt1X7a4.jpg,4,4,0,0,en,3.334,1
744388,Verdict,2018,/b6fsNVSNzdAcLbnuVFdX4GVuV9A.jpg,1,1,0,0,,0.0,0
746729,The Darkest Sorrows,2020,/qly1AEg9j9PvnvxBNs776i7g0cN.jpg,1,1,0,0,,0.0,0
749611,Blood of the Undead: The Final Chapter,1987,/x0SspX4nSIetpI2dEBuHa3pwr2L.jpg,2,2,0,0,,0.0,0
753443,Investigation of Indian Cabin Rd,2015,/aZq00khyL1uZ7aLXhUVwBIFGka2.jpg,1,1,0,0,,0.0,0
757709,M is for Mermaid,2013,/xJvx567uXfSpLsRfb3Yhtuueh5V.jpg,2,1,1,0,en,0.0,0
764813,The Project,2020,/n7iDnvaiVCb5rYTPko79B1DPTgn.jpg,3,3,0,0,en,0.0,0
769011,Something Always Happens,1928,/ujE0KqOg5LI3SabsrdU5W6kwQ0p.jpg,1,1,0,0,,0.0,0
790856,Love's a Killer: Rellik's Revenge,2017,/nPRJTZRargnF6Pw4PEFILHZLQMd.jpg,1,1,0,0,,0.0,0
801830,NEIN,2021,/1w5g6GafIeqKsPIJFul5wiTkBMo.jpg,2,2,0,0,,0.0,0
827144,The Corruption of Divine Providence,2020,/u0pPj7tSpfISawJCCWrwpob5IWj.jpg,5,3,2,0,en,3.334,2
853155,Bad Blood,2021,/ndChza4196zQcg7rmwy6sU1ebAM.jpg,3,3,0,0,en,0.0,0
922848,Deadly Doula,2022,/saZ1NgVXiPveHFiMQmpTCFCoD1M.jpg,3,2,1,0,en,3.334,1
924618,Tardy Terror,2021,/6XbXTw5aqXpllE3OrsdYzt6kvvo.jpg,3,2,1,0,en,5.238,0
927771,Guiltless,2022,/2GV86puP0Ny1SnhyLd9vnU8DSps.jpg,4,3,1,0,en,3.334,1
956056,Memento Mori,2008,/xgcm023crvd1KVP0rIbGYlYa37N.jpg,1,1,0,0,en,0.0,0
956491,Facies,2022,/2BcYFWo7xw1WVoGAEvbR60jP1ux.jpg,1,1,0,0,,0.0,0
964991,Trapped in the System,2022,/g7W3zBk1LBW1KgHs2j07XJJ1tRi.jpg,1,1,0,0,,0.0,0
971152,Shockumentary,2015,/2Oj16C4N7WWd58qeGs5NO49vIvx.jpg,1,1,0,0,,0.0,0
1027859,The Hidden,2021,/4sBIvoLbJl6J0RHlhGccI44s4ae.jpg,1,1,0,0,,0.0,0
1037355,Wickedly Evil,2023,/qQoDIwscVbS5ea99nvcxHI7vdF8.jpg,3,3,0,0,en,3.334,1
1038887,Paws,2022,/vk5pdAd8jrebSz31RYkpmOgJj0e.jpg,1,1,0,0,en,0.0,0
1042644,Chimera,2003,/aMCGMJ7LMdTa156VKCC8mAHQu8z.jpg,1,1,0,0,,0.0,0
1047662,Baobhan Sith,2017,/cXJapyK94iEAJUCTvZ8LZPMVaEI.jpg,1,1,0,0,,0.0,0
1048127,Lets fuck part 2,2022,/d24IitY2c7YPjlcLLD4AdrIER6k.jpg,3,2,1,0,en,3.334,1
1070867,The New Homeowner's Guide to Happiness,1987,/sPYvQyQpYWUSEFLEyOKobr9xboK.jpg,1,1,0,0,,0.0,0
1072680,Mark,1994,/wp7VRPV3ej1lCu7FG513IOZTucx.jpg,1,1,0,0,,3.334,1
1073077,Mortified,2013,/m4FB5rpouG1CynwTH4WNX1nJv1w.jpg,1,1,0,0,,0.0,0
1079725,5G: The Reckoning,2023,/2Vo6gIzZ9Lbh7UshNYiRiCzhG3R.jpg,1,1,0,0,en,0.0,0
1156820,Meat's Meat... And Man's Gotta Eat,1990,/j6qVsEvsrpkkfdqem305Ssew727.jpg,2,2,0,0,,3.334,1
1156834,The Smell of Death,1991,/j6qVsEvsrpkkfdqem305Ssew727.jpg,1,1,0,0,,3.334,1
1160134,Strange Stories,1953,/jAWQfvRiAW5z3tH3dxC4RzdMb0F.jpg,1,1,0,0,en,0.0,0
1167306,A Maid's Bitter Story,1949,/xTxKg3LF8lDATEj1EIQXVXAterh.jpg,1,1,0,0,en,0.0,0
1236920,Blood Fear,2022,/kjxgu2fY0FBTd7uFqTksBsGm2zm.jpg,2,2,0,0,,0.0,0
1244525,Deathkeeper,2026,/2yzSBxg93wPgNPJFZXr4MZ9fdDw.jpg,1,1,0,0,,0.0,0
1257204,Mary Magdalene,2017,/gpP2wGka0QmI1yjaRkYRkQuEBRp.jpg,1,1,0,0,en,3.334,1
1261552,Those Who Dare,1924,/w09A4ry343LJawDOSpUh1i6siRU.jpg,1,1,0,0,en,0.0,0
1289680,Horsey,2013,/8K1Pp2xpblUwcK9xuA81005dBJr.jpg,1,1,0,0,,0.0,0
1290214,Fantastic Features - Season Preview,1965,/7e3hE2s4BhAfpOr8wnMv67QkpT6.jpg,1,1,0,0,en,0.0,0
1356360,Upside Down Polaroid,2018,/CnDRprSy28X46biPcMWihCYGYY.jpg,4,3,1,0,en,3.334,1
1379372,Moving Out,2021,/9KqUuDOztKIqF8tcr8mm8lKOsbL.jpg,1,1,0,0,,0.0,0
1379718,Coming Attractions,2008,/82Dnb5naDkwh1oB9PHD066WiW0N.jpg,1,1,0,0,,0.0,0
1381878,The Day of Reckoning,1990,/3HaIA51A0Cbkch1QYedq6SeeUy8.jpg,1,1,0,0,,0.0,0
1390997,Brayden's Adventures Nature Walk - Tackling Wainuiomata Hill,2019,/vHkRqQP7CklWocrJZeAYYPFZQ9g.jpg,1,1,0,0,,3.334,1
1395245,Gruesome,2007,/oTP9wq2OKG7l9vD4Sq6cRlcVE4o.jpg,1,1,0,0,en,0.0,0
1424947,By the Throat,2026,/gogMju5zzVINnuMCiDPbutYPMWr.jpg,2,2,0,0,en,0.0,0
1447316,Smoke Alarm,1990,/5Icj2Mx6gmVR4qmysAlIP8MXBud.jpg,1,1,0,0,en,0.0,1
1451359,Heavily Pregnant Susan,2025,/ouDzi7K4CJSPFR7klhdfQElziDr.jpg,1,1,0,0,,0.0,0
1453542,The Ghost Story.,2026,/vindgdsxQIxnAgjEKDIIw9nBsiT.jpg,1,1,0,0,en,0.0,0
1466771,Welcome To Fredbear's,2025,/eqDiQr5Oso9FuE6rrTRijsbEBil.jpg,1,1,0,0,,0.0,1
