id,title,year,vote_count,imdb_id
399021,Whispers of Fear,1976,0,tt0201330
238091,Three Dangerous Ladies,1977,0,tt0441697
30990,The Kirlian Witness,1978,0,tt0077808
92418,TeenAlien,1978,0,tt0078370
193476,Sketches of a Strangler,1978,0,tt0078274
463646,Bruges-La-Morte,1978,0,tt6193494
572076,Shock Rock,1979,0,tt0157465
316979,The Intruder,1981,0,tt0151070
389286,Death in the Family,1981,0,tt5617184
224067,Fair Game,1982,0,tt0123796
255680,The Eyes of the Amaryllis,1982,0,tt0083912
256012,Deadly Sunday,1982,0,tt0238151
372358,The Dark Room,1982,0,tt0083792
752001,Victims,1982,0,tt1764732
84985,The Last Night,1983,0,tt0457033
522297,Trial by Terror,1983,0,tt0086478
776486,Silent Death,1983,0,tt3616290
84989,Evil Judgment,1984,0,tt0087221
280573,Dark Enemy,1984,0,tt0130594
399172,Lipstick and Blood,1984,0,tt0087626
432730,The Slavers,1984,0,tt2155395
461724,The Spirits of Jupiter,1984,0,tt0836701
270439,Church of the Damned,1985,0,tt10083808
546217,Southern Shockers,1985,0,tt4638144
842786,Cannibal Orgy,1985,0,tt36816916
851025,Screambook II,1985,0,tt22302618
213213,Natas: The Reflection,1986,0,tt0249050
225454,Confidential,1986,0,tt0090873
364425,Murderous Intent,1986,0,tt5350196
697181,Misty Darkness,1986,0,tt0196758
711629,Maligno,1986,0,tt27126421
133959,Frenchman's Farm,1987,0,tt0093049
214106,Distortions,1987,0,tt0092900
224645,Streets of Death,1987,0,tt0247735
331839,Rahsia,1987,0,tt0275619
426217,Tainted,1987,0,tt0096213
489186,Frightened To Death,1987,0,tt3751388
695256,Obeah,1987,0,tt0171362
104534,Jungle Heat,1988,0,tt2047840
224014,The Hackers,1988,0,tt1865523
310843,Thrilled to Death,1988,0,tt0096261
443338,Carnage Hall,1988,0,tt2083153
446862,Zodiac America 2: Evil Destroyer,1988,0,tt6958208
482591,Midnight Forest,1988,0,tt0094944
548307,Tales of the Unliving and the Undead,1988,0,tt0143918
758511,Screambook,1988,0,tt22302258
821783,Summer Horror Day,1988,0,tt38604249
1015482,Kiss of the Serpent,1988,0,tt0877493
85173,Deadly Obsession,1989,0,tt0126858
129298,Underground Terror,1989,0,tt0100846
261746,Attack of the Hideopoid,1989,0,tt0206567
265470,Pieces of Darkness,1989,0,tt0976160
271041,Devil Rider!,1989,0,tt0164537
306747,Dead Silence,1989,0,tt6278694
367251,Child of the Sabbat,1989,0,tt0495082
386782,Moonchild,1989,0,tt5528372
451173,A Taste of Hemlock,1989,0,tt0096224
464890,Vegetables,1989,0,tt1959602
479344,Witchfinder,1989,0,tt0266055
749120,Diabolo,1989,0,tt18299176
776497,Deathwalkers,1989,0,tt0148053
999640,The Devil's Playground,1989,0,tt33087821
104887,A Dozen Ways to Die!!,1990,0,tt1764150
292876,Dying Time,1990,0,tt0471668
320176,Dark Romances Vol. 2,1990,0,tt0099362
352881,Tales of the Unknown,1990,0,tt0248518
363935,The Orbitrons,1990,0,tt0100305
451293,The Inheritor,1990,0,tt0122545
184165,Neighbor Hoodz,1991,0,tt4307032
232406,Lethal Nightmare,1991,0,tt10080214
300996,Zombie Army,1991,0,tt0232992
315449,Mystery of the Merry Widow,1991,0,tt0280953
374833,Mutant Massacre,1991,0,tt40411910
413839,The Ghosting,1991,0,tt0104335
415618,Shock Cinema: Volume Three,1991,0,tt0181000
418409,Shock Cinema: Volume Four,1991,0,tt0181001
419958,Kiss and Be Killed,1991,0,tt0102222
485622,Grave Images,1991,0,tt7441950
498264,Steps From Hell,1991,0,tt13931752
637168,Lunatic,1991,0,tt0374010
996619,Slaughter Day,1991,0,tt21078174
1018055,The Hanging Judge,1991,0,tt35635316
28077,Feast,1992,0,tt0122487
28865,Marilyn Alive and Behind Bars,1992,0,tt0104817
85562,Nightmare Asylum,1992,0,tt0174068
90064,Redneck County Fever,1992,0,tt2851214
115123,Dead Is Dead,1992,0,tt0228191
120582,Hell Spa,1992,0,tt0183157
124635,Death Magic,1992,0,tt0228197
235339,Lost Prophet,1992,0,tt0104758
308787,The Scare Game,1992,0,tt13925790
393798,Red Room,1992,0,tt1069265
409168,Spooks A-Poppin',1992,0,tt0244814
418256,Halloween Horrors,1992,0,tt29426580
479322,Slaughtered Secretaries,1992,0,tt0265762
487910,Fangs! A History of Vampires in the Movies,1992,0,tt0312677
891704,Since I Don't Have You,1992,0,tt1982837
28336,Kill Kill Overkill,1993,0,tt0213031
29759,Un vampiro a Miami,1993,0,tt1849192
29772,Bloodthirsty Cannibal Demons,1993,0,tt0196389
226257,The Wrong Door,1993,0,tt0266064
278961,In a Moment of Passion,1993,0,tt0103022
312395,Dead Meat,1993,0,tt0398012
324430,Drag,1993,0,tt0370487
623591,The Hidden,1993,0,tt6180378
657343,The Evil Inside Me,1993,0,tt0113039
719829,Dark:30,1993,0,tt0106667
795444,Ulong Pugot: Naglalagot,1993,0,tt1392255
27690,Sorority Slaughter,1994,0,tt0265785
29652,Queen of Lost Island,1994,0,tt0229334
224688,Nigel the Psychopath,1994,0,tt3294830
309083,Psychotropic Overload,1994,0,tt0326622
417065,Psycho Sisters,1994,0,tt20446458
444946,Hung Jury,1994,0,tt0263454
452046,The House on Todville Road,1994,0,tt0110065
479326,Damsel in Distress 2,1994,0,tt0264511
479332,Dead in the Pool,1994,0,tt36721575
482130,Moray,1994,0,tt0234267
934841,Fantasi,1994,0,tt0270357
155537,Naked Horror,1995,0,tt0113924
