imdb_id,primaryTitle,originalTitle,startYear,titleType,runtimeMinutes,genres
tt43613879,Eternal Properties,Eternal Properties,,movie,,"Horror,Sci-Fi,Thriller"
tt43613983,Humdrum,Humdrum,,movie,,Horror
tt43614008,Graduation Day 2,Graduation Day 2,,movie,,Horror
tt43614016,Blood Stalkers 2,Blood Stalkers 2,,movie,,Horror
tt43615197,For You,For You,,movie,,Horror
tt43615338,The House on Willow Road,The House on Willow Road,,movie,,Horror
tt43615757,Prudence,Prudence,,movie,80,"Animation,Horror"
tt43616829,An Interview with Buckethead,An Interview with Buckethead,,movie,,Horror
tt43617011,Naturmort: Driven by Silence,Naturmort: Driven by Silence,,movie,,Horror
tt43617493,The Short End,The Short End,,movie,,"Comedy,Horror"
tt43618571,Alone,Alone,,movie,,Horror
tt43619464,Specimen,Specimen,,movie,,"Horror,Thriller"
tt43619501,Specimen,Specimen,,movie,,"Action,Horror,Thriller"
tt43620267,Mr. Green Returns,Mr. Green Returns,,movie,,Horror
tt43620699,The Harvesting,The Harvesting,,movie,,"Drama,Horror,Thriller"
tt43620798,I Just Like to Killl,I Just Like to Killl,,movie,,Horror
tt43620806,Psycho 2 2027,Psycho 2 2027,,movie,,"Comedy,Horror"
tt43621243,A Girl and her Monster,A Girl and her Monster,,movie,,"Comedy,Horror"
tt43621607,Freitag der Schweinzehnte,Freitag der Schweinzehnte,,movie,,"Comedy,Horror"
tt43622564,Night Owls,Night Owls,,movie,,Horror
tt43622921,Poolboy,Poolboy,,movie,70,Horror
tt43623195,Hospital,Hospital,,movie,,Horror
tt43625667,Creatures of the Red,Creatures of the Red,,movie,,Horror
tt43628015,Rise of Kwak,Rise of Kwak,,movie,,"Comedy,Horror"
tt43629600,Where Flesh Fails,Where Flesh Fails,,movie,,Horror
tt43630497,Leela,Leela,,movie,,Horror
tt43631608,Dead Men's Poetry,Dead Men's Poetry,,movie,,Horror
tt43632256,Pizza 4,Pizza 4,,movie,,Horror
tt43632570,Vespera Sanguistra,Vespera Sanguistra,,movie,,Horror
tt43633836,The Sharkrooms,The Sharkrooms,,movie,,"Horror,Mystery,Thriller"
tt43634278,What Remains,What Remains,,movie,,Horror
tt43634547,Ashwire,Ashwire,,movie,,"Horror,Sci-Fi"
tt43634608,This Machine Kills,This Machine Kills,,movie,,Horror
tt43634819,The Third Voice,The Third Voice,,movie,,Horror
tt43634846,American Legends,American Legends,,movie,,Horror
tt43635901,Voodoo Party,Voodoo Party,,movie,,Horror
tt43636006,Bloody Show,Bloody Show,,movie,,Horror
tt43636520,Taste,Taste,,movie,,Horror
