id,title,ocr_chars,overlap_max,ocr_lang,original_language
900913,Puri,370,0.0,es,en
761574,Rotten Faith,553,0.0,pt,pt
316005,Gilgamesh,590,0.0,en,en
513776,Poseído,603,0.0,es,es
375416,Toda la noche,695,0.0,en,es
1074543,,260,0.0,en,
244805,Puaka Tebing Biru,439,0.0,id,en
419018,Pearlies,709,0.0,fr,en
1379718,Coming Attractions,468,0.0,en,
1225060,ITSHAN,241,0.0,en,en
1261552,Those Who Dare,586,0.0,en,en
1533042,,296,0.0,en,
490124,Solved,581,0.0,en,en
421151,Midnight Bride,218,0.0,id,en
652947,Ondh Kathe Hella,234,0.0,en,kn
662778,2% Evil,327,0.0,et,en
1328735,,604,0.0,nl,
340018,Kick,439,0.0,en,en
358770,Portal to Hell!!!,234,0.0,en,en
1267071,,258,0.0,en,
515413,,222,0.0,fr,
554772,S,590,0.0,es,es
947335,,417,0.0,en,
575980,Rust 2,278,0.0,de,
1669254,,320,0.0,tl,
805221,Toothless,402,0.0,en,
1538109,,551,0.0,id,
494481,Kapop,282,0.0,en,th
489608,Zhigrana,604,0.0,en,ne
1629881,,291,0.0,tl,
517316,,642,0.0,en,
1530079,,515,0.0,et,
1154996,,236,0.0,es,
1124618,,310,0.0,et,
1484461,Skullface,247,0.0,en,
801824,Spirale,594,0.0,fr,fr
458784,STAR [Space Traveling Alien Reject],575,0.0,en,es
222008,Piraten Massaker,280,0.0,de,de
1030916,Eucaristía,605,0.0,es,es
888001,Upurga,263,0.0,en,lv
1319618,,553,0.0,es,
751213,Necrochorume,531,0.0,pt,pt
638788,Shitters,607,0.0,nl,en
738141,Dandelions,269,0.0,id,en
551521,,601,0.0,en,
1353560,Lís,318,0.0,et,en
1402538,Dead Air,362,0.0,id,en
1465911,Formulation,564,0.0,en,
708706,Feed Your Head! Lose Your Head!,349,0.0,en,en
578179,Bukan Pocong Biasa,294,0.0,en,id
1320139,,327,0.0,en,
925836,Nu,617,0.0,en,fr
230559,Shhh...,218,0.0,en,en
72558,Children,566,0.0,en,is
1710666,,664,0.0,et,
319365,Talking Skeleton,514,0.0,en,en
542093,Republic Z,289,0.0,cv,ru
416504,,346,0.0,en,
1536773,Phantasmatapes,583,0.0,en,en
1636276,,381,0.0,et,
848723,Evie,546,0.0,en,en
249281,Congkak,559,0.0,en,ms
57632,Khurafat - Perjanjian Syaitan,290,0.0,ms,ms
1329390,,650,0.0,et,
128643,KillerKiller,216,0.0,en,
250172,Martyris,652,0.0,es,es
488462,Dusk,276,0.0,en,ja
48015,13Hrs,545,0.0,en,en
437200,Hijacker,377,0.0,en,ru
361411,Gulyabani,445,0.0,tr,tr
1573929,Dog Skin and Other Stories,332,0.0,en,
602985,Sexorcism,385,0.0,en,xx
809207,The Great Rock ‘N’ Roll Massacre Parts 1 + 2,238,0.0,en,
1279755,Creep,406,0.0,da,
751969,,225,0.0,en,
445365,Aberration,564,0.0,en,en
39370,Ghost Month,480,0.0,en,en
945329,Raudra,599,0.0,en,mr
1361710,Petscop,353,0.0,en,en
1182330,Fake,636,0.0,la,en
1564494,,352,0.0,en,
1608753,Crisis Actress,277,0.0,en,en
1335930,,366,0.0,en,
640443,Insanium,369,0.0,en,pt
317232,Pizza Girl Massacre,277,0.0,en,en
955539,A Testemunha,570,0.0,pt,pt
1320979,Edith,418,0.0,et,en
464805,Narcosatánicos Diabólicos,412,0.0,es,es
1144340,,291,0.0,en,
1124630,Dinner By Breakfast,578,0.0,en,en
1233915,,510,0.0,en,
1535344,,562,0.0,fi,
869046,Hysteria,446,0.0,et,en
1433670,,600,0.0,en,
1157863,,495,0.0,en,
58982,Hospitality,320,0.0,en,en
795742,,325,0.0,en,
496325,,60,0.0,cs,
549689,,173,0.0,en,
1372003,,52,0.0,en,
552481,Pharisee,61,0.0,en,en
364057,Cat-Eyed Boy,168,0.0,sq,ja
539984,Cumade Fulozinha,46,0.0,pt,pt
492144,Santa,415,0.0,et,en
1113252,,166,0.0,id,
1229320,Buzz Kill,491,0.0,et,en
82465,Child's Play,206,0.0,en,en
1142663,Netmare,116,0.0,en,
227922,Bluebeard,392,0.0,en,es
1366858,H010N,457,0.0,en,en
942431,Rumah,334,0.0,en,ms
1033113,,230,0.0,en,
1528774,Mother,110,0.0,en,en
525905,Night Light,58,0.0,en,en
380639,"I, Marquis De Sade",360,0.0,en,en
764215,Irandam Kuththu,283,0.0,en,ta
1216952,Sentinel,334,0.0,en,en
1147960,Epilogue,343,0.0,en,
580605,Ouija,140,0.0,en,kn
670888,Guerreros diabólicos,424,0.0,es,es
1632413,Wyrd Welcome,101,0.0,en,
1192253,Daddy's Night,223,0.0,de,en
1646894,,42,0.0,en,
652342,Nail,67,0.0,en,en
752001,Victims,89,0.0,en,en
321707,A Regret,67,0.0,en,ko
1679072,,83,0.0,en,
892758,Kárhozat,337,0.0,hu,hu
1073077,Mortified,361,0.0,id,
1578534,Fey,50,0.0,en,en
308130,,157,0.0,en,
254874,Turtle Vision,196,0.0,en,ja
430333,Ame Onna,158,0.0,en,ja
1592257,,496,0.0,en,
912103,Mannequin,307,0.0,cy,en
1687714,,128,0.0,id,
456651,Snuff Road,159,0.0,en,de
840526,Show Me the Ghost,60,0.0,id,ko
1714093,,149,0.0,en,
793368,Korriganed,348,0.0,fr,en
732805,Night Woman,242,0.0,en,id
925931,Psychopompos,377,0.0,en,cs
366083,Cin Kuyusu,225,0.0,id,tr
249187,Death Water,155,0.0,en,ja
1716885,JAX,411,0.0,en,
1154276,Asvins,226,0.0,en,
858614,Myosotis,49,0.0,fr,en
1559738,SÁRÚ,392,0.0,id,en
1059916,,474,0.0,en,
191568,,402,0.0,en,
1372687,,106,0.0,en,
224007,Vultures,326,0.0,es,en
1205407,,392,0.0,et,
1080069,,375,0.0,en,
785662,Nymph,298,0.0,da,
1415731,Doll Thing,59,0.0,en,en
323214,Alexia,298,0.0,es,es
1367532,,51,0.0,en,
586149,The Closed Ward,46,0.0,en,ko
1310789,,472,0.0,en,
583846,Stranger Coming,62,0.0,en,ko
999114,Apokawixa,334,0.0,es,pl
1673888,,172,0.0,en,
448066,Blood Orchid,59,0.0,tl,th
762587,Climbing,46,0.0,es,ko
233208,Warhouse,320,0.0,en,en
1637073,,421,0.0,en,
1639897,,414,0.0,en,
675054,MexZombies,199,0.0,es,es
1666160,,388,0.0,et,
677063,Habitual,356,0.0,en,en
1684942,Evil Snowman,109,0.0,en,
1711762,DM from Charlie,228,0.0,en,en
1017920,,61,0.0,en,
44971,"Spooky, Spooky",166,0.0,en,cn
83833,Nostrum,436,0.0,en,en
1074236,Ego,114,0.0,cs,
1100232,,419,0.0,en,
801380,Grimoire,494,0.0,es,es
1328679,,463,0.0,en,
921469,Orngrueng,137,0.0,en,km
1552279,Catastrophe!,462,0.0,en,
1544948,,398,0.0,en,
1387642,,272,0.0,en,
756341,,345,0.0,en,
551249,,175,0.0,en,
74650,Fantasmi,176,0.0,it,it
681582,Psycho Path,205,0.0,en,en
743569,KFK,111,0.0,es,es
1085549,,207,0.0,en,
1567048,Tasteless,446,0.0,et,en
1611600,,414,0.0,et,
496369,,453,0.0,en,
1012014,Terrore,80,0.0,en,fr
112516,Blood Stained Shoes,185,0.0,en,zh
561258,SUPER Horrifying Story,140,0.0,fr,ja
835879,Sarcophaga,375,0.0,it,it
320844,Feral,293,0.0,en,en
980941,,48,0.0,en,
931329,All Consumed,231,0.0,en,en
1695883,,83,0.0,en,
526578,Uberzombiefrau,262,0.0,en,en
1204312,To the Brink,95,0.0,en,en
417656,Asian Ghost Story,60,0.0,ga,en
292992,Crazed,46,0.0,en,en
725303,Dead Heading,141,0.0,en,
982509,Pontianak,142,0.0,id,ms
397288,Kalam,377,0.0,en,ta
138875,New York Vampire,378,0.0,en,en
1710229,Bonnie and Orville,377,0.0,nl,en
719165,Cursed Ground: Doom,365,0.0,cv,ru
711468,Wade,187,0.0,en,en
457651,Saaya,241,0.0,en,ta
984826,Chompa House,307,0.0,en,bn
568407,Mad God: Part 3,45,0.0,en,en
1315297,Dire Pines,412,0.0,en,en
712972,Ruby Red,47,0.0,en,
1339334,,310,0.0,et,
1453554,,119,0.0,fi,
28529,Sorceress,46,0.0,en,en
1395245,Gruesome,49,0.0,no,
1176216,,440,0.0,en,
676981,,345,0.0,es,
301848,Reversed,115,0.0,en,es
223319,Lucky Sky Diamond,51,0.0,en,ja
1369942,,185,0.0,nl,
354794,Torment,71,0.0,en,en
1136492,,378,0.0,en,
343362,6-5=2,243,0.0,en,kn
1373760,,371,0.0,en,
642113,Paranoid,483,0.0,et,
936167,Momok II,51,0.0,id,ms
754983,Voices,308,0.0,en,en
1714026,Oh Timmy,103,0.0,en,en
1253635,,472,0.0,en,
387459,Dornröschen,366,0.0,de,de
642078,,113,0.0,en,
1403450,,231,0.0,da,
259839,Dolla Morte,77,0.0,en,en
